ID,Reduced Composition,Z,True Composition,Ionic conductivity (S cm-1),IC (Total),IC (Bulk),Space group,Space group #,a,b,c,alpha,beta,gamma,Family,DOI,Checked,Ref,Cif ID,Cif ref_1,Cif ref_2,note,close match,close match DOI,ICSD ID,Laskowski ID,Liion ID
tp2,Li1.6Ti1.4Al0.6P3O12,,Li1.6 Ti1.4 Al0.6 P3 O12,2.3e-05,,,,,,,,,,,nasicon,10.1016/s0955-2219(99)00055-2,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1999,,,,,
be9,LiGaBr4,,Li1 Ga1 Br4,7e-06,,,,,,,,,,,halides,10.1016/s0167-2738(00)00491-4,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2000,,,,,
7kf,Li1.7Ti1.6Al0.3P3O12,,Li1.7 Ti1.6 Al0.3 P3 O12,0.00122,,,,,,,,,,,nasicon,10.1016/s0167-2738(00)00493-8,1,data/database/obelix/processed/all-v1.csv,,,,ic # check; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2000,,,,,
cy2,Li0.08La0.64Ti1O3,,Li0.08 La0.64 Ti1 O3,0.000335,,,,,,,,,,,perovskites,10.1016/s0167-2738(00)00761-x,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2000,,,,,
5tl,Li0.14La0.62Ti1O3,,Li0.14 La0.62 Ti1 O3,0.000442,,,,,,,,,,,perovskites,10.1016/s0167-2738(00)00761-x,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2000,,,,,
u2y,Li0.215La0.595Ti1O3,,Li0.215 La0.595 Ti1 O3,0.000853,,,,,,,,,,,perovskites,10.1016/s0167-2738(00)00761-x,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2000,,,,,
hta,Li0.305La0.565Ti1O3,,Li0.305 La0.565 Ti1 O3,0.000957,,,,,,,,,,,perovskites,10.1016/s0167-2738(00)00761-x,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2000,,,,,
81x,Li0.1809La0.57Ti1Ag0.0891O3,,Li0.1809 La0.57 Ti1 Ag0.0891 O3,0.0001,,,,,,,,,,,perovskites,10.1021/cm001207u,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2001,,,,,
5fj,Li0.135La0.57Ti1Ag0.135O3,,Li0.135 La0.57 Ti1 Ag0.135 O3,2.3e-05,,,,,,,,,,,perovskites,10.1021/cm001207u,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2001,,,,,
0lo,Li0.27La0.57Ti1O3,,Li0.27 La0.57 Ti1 O3,0.00034,,,,,,,,,,,perovskites,10.1021/cm001207u,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2001,,,,,
o4u,Li3.8Ge0.8P0.2S4,,Li3.8 Ge0.8 P0.2 S4,1.78e-06,,,,,,,,,,,thio_lisicon,10.1149/1.1379028,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2001,,,,,
yy9,Li3.6Ge0.6P0.4S4,,Li3.6 Ge0.6 P0.4 S4,0.000175,,,,,,,,,,,thio_lisicon,10.1149/1.1379028,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2001,,,,,
mvq,Li3.4Ge0.4P0.6S4,,Li3.4 Ge0.4 P0.6 S4,0.000654,,,,,,,,,,,thio_lisicon,10.1149/1.1379028,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2001,,,,,
2yl,Li3.35Ge0.35P0.65S4,,Li3.35 Ge0.35 P0.65 S4,0.00154,,,,,,,,,,,thio_lisicon,10.1149/1.1379028,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2001,,,,,
5qm,Li3.3Ge0.3P0.7S4,,Li3.3 Ge0.3 P0.7 S4,0.00174,,,,,,,,,,,thio_lisicon,10.1149/1.1379028,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2001,,,,,
3jh,Li3.25Ge0.25P0.75S4,,Li3.25 Ge0.25 P0.75 S4,0.0022,,,,,,,,,,,thio_lisicon,10.1149/1.1379028,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2001,,,,,
j3x,Li3.2Ge0.2P0.8S4,,Li3.2 Ge0.2 P0.8 S4,0.000555,,,,,,,,,,,thio_lisicon,10.1149/1.1379028,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2001,,,,,
5e2,Li3.6Si0.6P0.4S4,,Li3.6 Si0.6 P0.4 S4,7.19e-05,,,,,,,,,,,thio_lisicon,10.1006/jssc.2002.9701,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2002,,,,,
10u,Li3.2Si0.2P0.8S4,,Li3.2 Si0.2 P0.8 S4,3.2e-06,,,,,,,,,,,thio_lisicon,10.1006/jssc.2002.9701,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2002,,,,,
ob9,Li2.667Mg0.667P2S6,,Li2.667 Mg0.667 P2 S6,4e-06,,,,,,,,,,,thio_phosphate,10.1016/s0167-2738(02)00007-3,1,data/database/obelix/processed/all-v1.csv,,,,partial occupancy corrected; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2002,,,,,
lcx,Sr0.06Li0.06La0.6Ti1O3,,Sr0.06 Li0.06 La0.6 Ti1 O3,1.13e-05,,,,,,,,,,,perovskites,10.1021/cm020609u,1,data/database/obelix/processed/all-v1.csv,,,,lattice parameter should be checked; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2003,,,,,
mam,Sr0.1Li0.1La0.56Ti1O3,,Sr0.1 Li0.1 La0.56 Ti1 O3,1.37e-05,,,,,,,,,,,perovskites,10.1021/cm020609u,1,data/database/obelix/processed/all-v1.csv,,,,lattice parameter should be checked; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2003,,,,,
0jx,Sr0.15Li0.15La0.51Ti1O3,,Sr0.15 Li0.15 La0.51 Ti1 O3,5.3e-05,,,,,,,,,,,perovskites,10.1021/cm020609u,1,data/database/obelix/processed/all-v1.csv,,,,lattice parameter should be checked; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2003,,,,,
lyq,Sr0.25Li0.25La0.41Ti1O3,,Sr0.25 Li0.25 La0.41 Ti1 O3,7.64e-05,,,,,,,,,,,perovskites,10.1021/cm020609u,1,data/database/obelix/processed/all-v1.csv,,,,lattice parameter should be checked; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2003,,,,,
2tt,Sr0.275Li0.275La0.385Ti1O3,,Sr0.275 Li0.275 La0.385 Ti1 O3,6.04e-05,,,,,,,,,,,perovskites,10.1021/cm020609u,1,data/database/obelix/processed/all-v1.csv,,,,lattice parameter should be checked; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2003,,,,,
xy0,Sr0.3Li0.3La0.36Ti1O3,,Sr0.3 Li0.3 La0.36 Ti1 O3,1.92e-05,,,,,,,,,,,perovskites,10.1021/cm020609u,1,data/database/obelix/processed/all-v1.csv,,,,lattice parameter should be checked; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2003,,,,,
nng,Li1.6Ti0.6Al0.6Ge0.8P3O12,,Li1.6 Ti0.6 Al0.6 Ge0.8 P3 O12,0.0007,,,,,,,,,,,nasicon,10.1021/cm021717j,1,data/database/obelix/processed/all-v1.csv,,,,bulk Ic; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2003,,,,,
pbz,Li3.75V0.25Ge0.75O4,,Li3.75 V0.25 Ge0.75 O4,5.66e-06,,,,,,,,,,,lisicon,10.1023/a:1026135806929,1,data/database/obelix/processed/all-v1.csv,,,,partial occupancy corrected; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2003,,,,,
7ek,Li3.7Ge0.85W0.15O4,,Li3.7 Ge0.85 W0.15 O4,3.8e-05,,,,,,,,,,,lisicon,10.1023/a:1026135806929,1,data/database/obelix/processed/all-v1.csv,,,,partial occupancy corrected; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2003,,,,,
gas,Li0.31La0.63Ti0.9Co0.1O3,,Li0.31 La0.63 Ti0.9 Co0.1 O3,0.00026,,,,,,,,,,,perovskites,10.1016/j.mseb.2004.07.003,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2004,,,,,
9ph,Li0.19La0.67Ti0.9Co0.1O3,,Li0.19 La0.67 Ti0.9 Co0.1 O3,0.000108,,,,,,,,,,,perovskites,10.1016/j.mseb.2004.07.003,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2004,,,,,
sib,Li0.11La0.63Mg0.5W0.5O3,,Li0.11 La0.63 Mg0.5 W0.5 O3,6.8e-06,,,,,,,,,,,perovskites,10.1016/j.ssi.2004.05.010,1,data/database/obelix/processed/all-v1.csv,,,,partial occupancy corrected; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2004,,,,,
r99,Li0.14La0.62Mg0.5W0.5O3,,Li0.14 La0.62 Mg0.5 W0.5 O3,1.2e-05,,,,,,,,,,,perovskites,10.1016/j.ssi.2004.05.010,1,data/database/obelix/processed/all-v1.csv,,,,partial occupancy corrected; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2004,,,,,
544,BaLi6La2Ta2O12,,Ba1 Li6 La2 Ta2 O12,4e-05,,,,,,,,,,,garnet,10.1002/adfm.200400044,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2005,,,,,
ps0,SrLi6La2Ta2O12,,Sr1 Li6 La2 Ta2 O12,7e-06,,,,,,,,,,,garnet,10.1002/adfm.200400044,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2005,,,,,
jqc,Li7BiO6,,Li7 Bi1 O6,1.58489e-06,,,,,,,,,,,hexaoxometalates,10.1002/zaac.200500231,1,data/database/obelix/processed/all-v1.csv,,,,partial occupancy not correct; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2005,,,,,
lf5,BaLi6La2Nb2O12,,Ba1 Li6 La2 Nb2 O12,6e-06,,,,,,,,,,,garnet,10.1111/j.1551-2916.2005.00060.x,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2005,,,,,
cjq,SrLi6La2Nb2O12,,Sr1 Li6 La2 Nb2 O12,4.2e-06,,,,,,,,,,,garnet,10.1111/j.1551-2916.2005.00060.x,1,data/database/obelix/processed/all-v1.csv,,,,duplicate with line 491; 374; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2005,,,,,
uaz,Li6CaLa2Nb2O12,,Li6 Ca1 La2 Nb2 O12,1.6e-06,,,,,,,,,,,garnet,10.1111/j.1551-2916.2005.00060.x,1,data/database/obelix/processed/all-v1.csv,,,,"ic # check, was wrong paper；close match: Yes；close match DOI: 10.1016/j.cej.2019.121937; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2005",,,,,
ihb,Li0.33La0.56Ti0.99Al0.01O2.99F0.01,,Li0.33 La0.56 Ti0.99 Al0.01 O2.99 F0.01,0.00098,,,,,,,,,,,perovskites,10.1007/s11581-006-0011-9,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2006,,,,,
3k7,Li0.33La0.56Ti0.98Al0.02O2.98F0.02,,Li0.33 La0.56 Ti0.98 Al0.02 O2.98 F0.02,0.00106,,,,,,,,,,,perovskites,10.1007/s11581-006-0011-9,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2006,,,,,
1sz,Li0.33La0.56Ti0.97Al0.03O2.97F0.03,,Li0.33 La0.56 Ti0.97 Al0.03 O2.97 F0.03,0.000928,,,,,,,,,,,perovskites,10.1007/s11581-006-0011-9,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2006,,,,,
