Reduced Composition,candidate_rows,distinct_conductivities,log10_min,log10_max,log10_span,median_log10,IDs,conductivities,DOIs,sources,normalized_families,preferred_family,kept_ID,kept_conductivity,kept_DOI,kept_source,kept_family,selection_rule,dropped_rows
Li6.6La3Zr1.6Ta0.4O12,4,4,-3.5044556624535517,-2.958607314841775,0.5458483476117766,-3.2322896409719135,zqx|2wb|z53|caltech_icsd_22956,0.00073|0.00047|0.000313|0.0011,10.1039/c2jm31413d|10.1149/2.024205esl|10.1021/am503731h|10.2109/jcersj2.19022,v1|v1|v1|caltech,garnet,,caltech_icsd_22956,0.0011,10.2109/jcersj2.19022,caltech,garnet,highest reported conductivity,3
Li10.2Si0.96Sn0.24P1.8S12,2,2,-2.6020599913279625,-2.106793246940152,0.4952667443878105,-2.354426619134057,7tu|caltech_icsd_5667,0.00782|0.0025,10.1021/acs.chemmater.7b00886|10.1021/acs.chemmater.9b00743,v1|caltech,lgps,,7tu,0.00782,10.1021/acs.chemmater.7b00886,v1,lgps,highest reported conductivity,1
BaLi6La2Ta2O12,5,5,-4.886056647693163,-4.3979400086720375,0.48811663902112556,-4.772113295386326,544|7o7|hud|ner|h89,4e-05|2.95e-05|1.3e-05|1.69e-05|1.5e-05,10.1002/adfm.200400044|10.1007/s11581-007-0097-8|10.1016/j.ssi.2008.10.022|10.1016/j.materresbull.2012.04.032|10.1021/am4060194,v1|v1|v1|v1|v1,garnet,,544,4e-05,10.1002/adfm.200400044,v1,garnet,highest reported conductivity,4
Li2.9Zr0.1In0.9Cl6,2,2,-3.283996656365201,-2.812479279163537,0.4715173772016641,-3.048237967764369,v19|ensm_2025_104655_x01,0.00154|0.00052,10.1021/acs.chemmater.1c01348|10.1016/j.ensm.2025.104655,literature|literature,halides,,v19,0.00154,10.1021/acs.chemmater.1c01348,literature,halides,highest reported conductivity,1
Li3In1Cl4.8F1.2,2,2,-3.4559319556497243,-3.0087739243075053,0.447158031342219,-3.2323529399786146,v47|trv1_0101,0.00098|0.00035,10.1002/aenm.202100836|10.1021/acs.jpclett.5c00947,v1|v1,halides,,v47,0.00098,10.1002/aenm.202100836,v1,halides,highest reported conductivity,1
Li3N,2,2,-3.6808939406902237,-3.2390500485891027,0.44184389210112096,-3.4599719946396634,fft|gvd,0.0002085|0.0005767,10.1016/0167-2738(83)90045-0|10.1039/c0ee00052c,v1|v1,nitrides,,gvd,0.0005767,10.1039/c0ee00052c,v1,nitrides,highest reported conductivity,1
Li1.6Al0.6Ge1.4P3O12,3,3,-3.853871964321762,-3.42021640338319,0.43365556093857194,-3.5466816599529625,0y6|1dm|liverpool_537_0443,0.00014|0.000284|0.00038,10.1016/s0955-2219(99)00055-2|10.1021/acsami.8b00842|10.1016/s0167-2738(97)00434-7,v1|v1|liverpool,glass_ceramic|nasicon,nasicon,1dm,0.000284,10.1021/acsami.8b00842,v1,nasicon,highest reported conductivity within nasicon,2
Li6.8La3Zr1.8Ta0.2O12,3,3,-3.552841968657781,-3.136677139879544,0.4161648287782369,-3.1771783546968955,o5q|v1q|caltech_icsd_22955,0.00028|0.00073|0.000665,10.1039/c2jm31413d|10.1149/2.024205esl|10.2109/jcersj2.19022,v1|v1|caltech,garnet,,v1q,0.00073,10.1149/2.024205esl,v1,garnet,highest reported conductivity,2
Li3In1Cl5.6F0.4,3,3,-3.2365720064370627,-2.8632794328435933,0.37329257359346935,-3.0969100130080562,trv1_0097|v28|aenm_202503135_x0_y04,0.0008|0.00137|0.00058,10.1021/acs.jpclett.5c00947|10.1016/j.jpowsour.2022.231939|10.1002/aenm.202503135,v1|literature|literature,halides,,v28,0.00137,10.1016/j.jpowsour.2022.231939,literature,halides,highest reported conductivity,2
Li5La3(SbO6)2,2,2,-5.47755576649368,-5.107905397309519,0.3696503691841606,-5.2927305819015995,xog|tbj,7.8e-06|3.33e-06,10.1016/j.materresbull.2007.10.035|10.1016/j.ssi.2008.01.002,v1|v1,garnet,,xog,7.8e-06,10.1016/j.materresbull.2007.10.035,v1,garnet,highest reported conductivity,1
Li3Y(BrCl)3,3,3,-3.036212172654445,-2.6819366650372385,0.3542755076172064,-2.795880017344075,v17|trv1_0075|a71299_lycb,0.0016|0.00208|0.00092,10.1021/acsenergylett.0c01690|10.1016/s1003-6326(25)66819-1|10.1002/aenm.71299,v1|v1|literature,halides,,trv1_0075,0.00208,10.1016/s1003-6326(25)66819-1,v1,halides,highest reported conductivity,2
Li6La3ZrTaO12,2,2,-3.795880017344075,-3.4559319556497243,0.33994806169435066,-3.6259059864968997,0ew|6hq,0.00016|0.00035,10.1039/c2jm31413d|10.1149/2.024205esl,v1|v1,garnet,,6hq,0.00035,10.1149/2.024205esl,v1,garnet,highest reported conductivity,1
Li0.24La0.59Ti1O3,2,2,-4.119186407719209,-3.779891911959945,0.3392944957592636,-3.949539159839577,liverpool_79_0061|liverpool_235_0194,0.000166|7.6e-05,10.1007/s10717-007-0032-5|10.1016/j.ssi.2009.08.002,liverpool|liverpool,perovskites,,liverpool_79_0061,0.000166,10.1007/s10717-007-0032-5,liverpool,perovskites,highest reported conductivity,1
Li2.4Y0.4Zr0.6Cl6,2,2,-3.0222763947111524,-2.688246138944246,0.3340302557669066,-2.855261266827699,yz6|trv1_0051,0.00095|0.00205,10.1021/acsenergylett.9b02599|10.1021/acsami.4c01352,v1|v1,halides,,trv1_0051,0.00205,10.1021/acsami.4c01352,v1,halides,highest reported conductivity,1
Li1.3Al0.3Ge1.7P3O12,2,2,-4.4089353929735005,-4.084072788302884,0.32486260467061623,-4.246504090638192,ag1|3uq,3.9e-05|8.24e-05,10.1016/s0955-2219(99)00055-2|10.1021/acsami.8b00842,v1|v1,nasicon,,3uq,8.24e-05,10.1021/acsami.8b00842,v1,nasicon,highest reported conductivity,1
LiNbCl4O,2,2,-2.3010299956639813,-1.9829666607012197,0.3180633349627615,-2.1419983281826003,v02|trv1_0078,0.0104|0.005,10.1002/anie.202217581|10.1021/acs.chemmater.5c00627,v1|v1,oxyhalides,,v02,0.0104,10.1002/anie.202217581,v1,oxyhalides,highest reported conductivity,1
Li3Br0.5Cl0.5O1,2,2,-3.0277971616209354,-2.712198270069774,0.3155988915511614,-2.8699977158453547,trv1_0002|liverpool_669_0556,0.00194|0.000938,10.1021/ja308741y|10.1021/ja305709z,v1|liverpool,antiperovskite,,trv1_0002,0.00194,10.1021/ja308741y,v1,antiperovskite,highest reported conductivity,1
Li0.18La0.61Ti1O3,2,2,-3.6989700043360187,-3.3851027839668655,0.31386722036915327,-3.542036394151442,86o|caltech_icsd_99398,0.000412|0.0002,10.1016/s0167-2738(98)00070-8|10.1039/c7ta00196g,v1|caltech,perovskites,,86o,0.000412,10.1016/s0167-2738(98)00070-8,v1,perovskites,highest reported conductivity,1
Li6.7La3Zr1.7Ta0.3O12,3,3,-3.2975694635544746,-2.987162775294828,0.31040668825964657,-3.161150909262745,e6a|caltech_icsd_885|liverpool_802_0671,0.00069|0.000504|0.00103,10.1149/2.024205esl|10.2109/jcersj2.16019|10.1016/j.ceramint.2018.09.245,v1|caltech|liverpool,garnet,,liverpool_802_0671,0.00103,10.1016/j.ceramint.2018.09.245,liverpool,garnet,highest reported conductivity,2
Li2.5Zr0.5In0.5Cl6,3,3,-3.05453141486818,-2.744727494896694,0.30980391997148615,-3.0315170514460648,v15|ensm_2025_104655_x05|caltech_icsd_122400,0.0018|0.00093|0.000882,10.1016/j.cej.2022.135413|10.1016/j.ensm.2025.104655|10.1021/acs.chemmater.1c01348,v1|literature|caltech,halides,,v15,0.0018,10.1016/j.cej.2022.135413,v1,halides,highest reported conductivity,2
Li2.7Zr0.3In0.7Cl6,2,2,-2.677780705266081,-2.3716110699496884,0.3061696353163925,-2.5246958876078844,v11|ensm_2025_104655_q03,0.0021|0.00425,10.1016/j.cej.2022.135413|10.1016/j.ensm.2025.104655,literature|literature,halides,,ensm_2025_104655_q03,0.00425,10.1016/j.ensm.2025.104655,literature,halides,highest reported conductivity,1
Li1.4Ti1.4Al0.4Ge0.2P3O12,3,3,-3.0,-2.6989700043360187,0.30102999566398125,-2.889410289700751,caltech_icsd_163298|liverpool_404_0333|liverpool_482_0400,0.002|0.00129|0.001,10.3166/acsm.32.561-572|10.1016/j.ssi.2013.09.022|10.3389/fenrg.2016.00012,caltech|liverpool|liverpool,nasicon,,caltech_icsd_163298,0.002,10.3166/acsm.32.561-572,caltech,nasicon,highest reported conductivity,2
Li5La3Nb2O12,3,3,-5.294136287716081,-5.0,0.29413628771608114,-5.096910013008056,68u|gkl|caltech_icsd_171171,8e-06|5.08e-06|1e-05,10.1111/j.1551-2916.2005.00060.x|10.1016/j.jpowsour.2011.05.031|10.1111/j.1151-2916.2003.tb03318.x,v1|v1|caltech,garnet,,caltech_icsd_171171,1e-05,10.1111/j.1151-2916.2003.tb03318.x,caltech,garnet,highest reported conductivity,2
Li0.388La0.475Ta0.238Cl3,2,2,-2.8068754016455384,-2.5199930570428495,0.2868823446026889,-2.663434229344194,v06|trv1_0114,0.00302|0.00156,10.1038/s41586-023-05899-8|10.1021/jacs.5c11480,v1|v1,halides,,v06,0.00302,10.1038/s41586-023-05899-8,v1,halides,highest reported conductivity,1
Li6.5La3Zr1.5Ta0.5O12,7,6,-3.1739251972991736,-2.896196279044043,0.27772891825513035,-3.036212172654445,caltech_icsd_894|caltech_icsd_22957|caltech_icsd_25446|caltech_icsd_135340|caltech_icsd_183686|liverpool_46_0035|liverpool_800_0669,0.000842|0.0011|0.00127|0.00127|0.00067|0.000794|0.00092,10.2109/jcersj2.16019|10.2109/jcersj2.19022|10.2109/jcersj2.19094|10.1002/celc.201800679|10.1149/2.024205esl|10.3389/fenrg.2016.00028|10.1039/c2jm31413d,caltech|caltech|caltech|caltech|caltech|liverpool|liverpool,garnet,,caltech_icsd_25446,0.00127,10.2109/jcersj2.19094,caltech,garnet,highest reported conductivity,6
Li10Sn(PS6)2,4,3,-2.42021640338319,-2.154901959985743,0.2653144433974468,-2.2775094439560277,9lx|13q|kko|trv1_0012,0.007|0.00398|0.0038|0.007,10.1021/ja407393y|10.1021/acs.chemmater.8b00266|10.1021/jacs.0c10735|10.1039/d1ta06338c,v1|v1|v1|v1,lgps|sulfides,lgps,9lx,0.007,10.1021/ja407393y,v1,lgps,highest reported conductivity within lgps,3
Li6.2La3Zr1.2Ta0.8O12,2,2,-3.494850021680094,-3.2358238676096693,0.25902615407042484,-3.3653369446448815,gdr|caltech_icsd_22959,0.00032|0.000581,10.1039/c2jm31413d|10.2109/jcersj2.19022,v1|caltech,garnet,,caltech_icsd_22959,0.000581,10.2109/jcersj2.19022,caltech,garnet,highest reported conductivity,1
Li1.7Al0.7Ge1.3P3O12,2,2,-3.8239087409443187,-3.5783960731301687,0.24551266781414993,-3.7011524070372435,tjh|liverpool_421_0347,0.000264|0.00015,10.1021/acsami.8b00842|10.1016/s0955-2219(99)00055-2,v1|liverpool,nasicon,,tjh,0.000264,10.1021/acsami.8b00842,v1,nasicon,highest reported conductivity,1
Li1.3Sc0.3Ti1.7P3O12,3,3,-3.39040559077478,-3.153044674980176,0.23736091579460394,-3.344861565188618,iwe|do2|o8s,0.000407|0.000703|0.000452,10.1016/0167-2738(86)90179-7|10.1149/1.2086597|10.1016/j.ssi.2012.03.045,v1|v1|v1,nasicon,,do2,0.000703,10.1149/1.2086597,v1,nasicon,highest reported conductivity,2
Li2.8Zr0.2In0.8Cl6,2,2,-3.1079053973095196,-2.8827287043442356,0.2251766929652841,-2.995317050826878,ensm_2025_104655_x02|acsnano_4c02678_zr,0.00078|0.00131,10.1016/j.ensm.2025.104655|10.1021/acsnano.4c02678,literature|literature,halides,,acsnano_4c02678_zr,0.00131,10.1021/acsnano.4c02678,literature,halides,highest reported conductivity,1
SrLi6La2Ta2O12,3,3,-5.376750709602099,-5.154901959985743,0.22184874961635614,-5.267606240177032,ps0|gyw|zxr,7e-06|4.2e-06|5.4e-06,10.1002/adfm.200400044|10.1111/j.1551-2916.2005.00060.x|10.1021/am4060194,v1|v1|v1,garnet,,ps0,7e-06,10.1002/adfm.200400044,v1,garnet,highest reported conductivity,2
Li1.2Al0.2Ge1.8P3O12,2,2,-4.316052869248487,-4.100179497572904,0.21587337167558385,-4.208116183410695,ed4|0fh,7.94e-05|4.83e-05,10.1016/j.jeurceramsoc.2014.11.023|10.1021/acsami.8b00842,v1|v1,nasicon,,ed4,7.94e-05,10.1016/j.jeurceramsoc.2014.11.023,v1,nasicon,highest reported conductivity,1
Li2.4Er0.4Zr0.6Cl6,2,2,-3.070581074285707,-2.8601209135987635,0.21046016068694362,-2.965350993942235,er7|v27,0.00085|0.00138,10.1021/acsenergylett.9b02599|10.1021/acsami.1c25087,v1|v1,halides,,v27,0.00138,10.1021/acsami.1c25087,v1,halides,highest reported conductivity,1
Li1.4Ti1.6In0.4P3O12,2,2,-3.721246399047171,-3.5199930570428495,0.20125334200432166,-3.6206197280450105,yn6|liverpool_869_0727,0.000302|0.00019,10.1149/1.2086597|10.1016/0167-2738(86)90176-1,v1|liverpool,nasicon,,yn6,0.000302,10.1149/1.2086597,v1,nasicon,highest reported conductivity,1
Li1.3Cr0.3Ge1.7P3O12,2,2,-4.61261017366127,-4.432973633840939,0.179636539820331,-4.522791903751105,liverpool_361_0291|liverpool_474_0392,3.69e-05|2.44e-05,10.1016/0167-2738(88)90368-2|10.1246/bcsj.65.2200,liverpool|liverpool,nasicon,,liverpool_361_0291,3.69e-05,10.1016/0167-2738(88)90368-2,liverpool,nasicon,highest reported conductivity,1
Li2.5Y0.5Zr0.5Cl6,2,2,-2.853871964321762,-2.677780705266081,0.1760912590556809,-2.765826334793921,n7a|v10,0.0014|0.0021,10.1021/acsenergylett.9b02599|10.1016/j.cej.2021.130630,v1|v1,halides,,v10,0.0021,10.1016/j.cej.2021.130630,v1,halides,highest reported conductivity,1
Li6.75La3Zr1.75Ta0.25O12,2,2,-3.2006594505464183,-3.0604807473813813,0.140178703165037,-3.1305700989639,7w5|4vd,0.00087|0.00063,10.1016/j.jpowsour.2012.01.131|10.1149/2.024205esl,v1|v1,garnet,,7w5,0.00087,10.1016/j.jpowsour.2012.01.131,v1,garnet,highest reported conductivity,1
Li0.29La0.57Ti1O3,2,2,-2.9208187539523753,-2.795880017344075,0.12493873660830035,-2.858349385648225,85t|caltech_icsd_19945,0.0016|0.0012,10.1016/j.jpowsour.2012.11.098|10.1016/j.ssi.2020.115486,v1|caltech,perovskites,,85t,0.0016,10.1016/j.jpowsour.2012.11.098,v1,perovskites,highest reported conductivity,1
Li2.6Zr0.4In0.6Cl6,2,2,-3.0222763947111524,-2.9030899869919438,0.11918640771920863,-2.962683190851548,ensm_2025_104655_x04|caltech_icsd_122399,0.00095|0.00125,10.1016/j.ensm.2025.104655|10.1021/acs.chemmater.1c01348,literature|caltech,halides,,caltech_icsd_122399,0.00125,10.1021/acs.chemmater.1c01348,caltech,halides,highest reported conductivity,1
Li2.25Zr0.75Fe0.25Cl6,2,2,-3.0,-2.906578314837765,0.09342168516223515,-2.953289157418882,v46|trv1_0139,0.001|0.00124,10.1002/aenm.202003190|10.1021/acsaem.6c01288,v1|v1,halides,,trv1_0139,0.00124,10.1021/acsaem.6c01288,v1,halides,highest reported conductivity,1
LiTaCl4O,2,2,-2.0,-1.9065783148377649,0.09342168516223515,-1.9532891574188824,v01|trv1_0124,0.0124|0.01,10.1002/anie.202217581|10.1002/smll.74036,v1|v1,oxyhalides,,v01,0.0124,10.1002/anie.202217581,v1,oxyhalides,highest reported conductivity,1
Li3In1Cl5.4F0.6,2,2,-3.309803919971486,-3.2218487496163566,0.08795517035512956,-3.265826334793921,trv1_0098|aenm_202503135_x0_y06,0.0006|0.00049,10.1021/acs.jpclett.5c00947|10.1002/aenm.202503135,v1|literature,halides,,trv1_0098,0.0006,10.1021/acs.jpclett.5c00947,v1,halides,highest reported conductivity,1
Li3InCl5F,2,2,-3.431798275933005,-3.3467874862246565,0.08501078970834852,-3.3892928810788305,trv1_0100|aenm_202503135_x0_y10,0.00045|0.00037,10.1021/acs.jpclett.5c00947|10.1002/aenm.202503135,v1|literature,halides,,trv1_0100,0.00045,10.1021/acs.jpclett.5c00947,v1,halides,highest reported conductivity,1
Li5.5P1S4.5Cl1.5,2,2,-2.1079053973095196,-2.026410376572743,0.08149502073677661,-2.067157886941131,trv1_0072|caltech_icsd_22269,0.0078|0.00941,10.1007/s10854-025-14581-w|10.1002/anie.201814222,v1|caltech,argyrodites,,caltech_icsd_22269,0.00941,10.1002/anie.201814222,caltech,argyrodites,highest reported conductivity,1
Li6CaLa2Nb2O12,2,2,-5.876148359032914,-5.795880017344075,0.08026834168883923,-5.836014188188495,uaz|gcj,1.6e-06|1.33e-06,10.1111/j.1551-2916.2005.00060.x|10.1016/j.ssi.2008.01.047,v1|v1,garnet,,uaz,1.6e-06,10.1111/j.1551-2916.2005.00060.x,v1,garnet,highest reported conductivity,1
Li3In1Cl5.2F0.8,2,2,-3.3665315444204134,-3.3010299956639813,0.0655015487564321,-3.333780770042197,trv1_0099|aenm_202503135_x0_y08,0.0005|0.00043,10.1021/acs.jpclett.5c00947|10.1002/aenm.202503135,v1|literature,halides,,trv1_0099,0.0005,10.1021/acs.jpclett.5c00947,v1,halides,highest reported conductivity,1
Li5La3(BiO6)2,2,2,-4.721246399047171,-4.657577319177793,0.06366907986937775,-4.689411859112482,kbq|b7v,1.9e-05|2.2e-05,10.1016/j.mseb.2007.07.009|10.1016/j.ssi.2017.03.030,v1|v1,garnet,,b7v,2.2e-05,10.1016/j.ssi.2017.03.030,v1,garnet,highest reported conductivity,1
SrLi6La2Nb2O12,2,2,-5.432973633840939,-5.376750709602099,0.05622292423884012,-5.404862171721519,cjq|20k,4.2e-06|3.69e-06,10.1111/j.1551-2916.2005.00060.x|10.1016/j.ssi.2008.01.047,v1|v1,garnet,,cjq,4.2e-06,10.1111/j.1551-2916.2005.00060.x,v1,garnet,highest reported conductivity,1
Ba0.5Sr0.5Li6La2Ta2O12,2,2,-5.1487416512809245,-5.092588639225414,0.05615301205551049,-5.120665145253169,sqm|liverpool_289_0233,7.1e-06|8.08e-06,10.1021/am4060194|10.1149/1.2800764,v1|liverpool,garnet,,liverpool_289_0233,8.08e-06,10.1149/1.2800764,liverpool,garnet,highest reported conductivity,1
Li3.25Ge0.25P0.75S4,2,2,-2.692503962086787,-2.657577319177794,0.034926642908993166,-2.6750406406322904,3jh|liverpool_44_0033,0.0022|0.00203,10.1149/1.1379028|10.1016/j.ssi.2015.02.014,v1|liverpool,thio_lisicon,,3jh,0.0022,10.1149/1.1379028,v1,thio_lisicon,highest reported conductivity,1
Li2HBrO,2,2,-5.920818753952375,-5.889410289700751,0.03140846425162369,-5.9051145218265635,hx7|trv1_0020,1.2e-06|1.29e-06,10.1002/ange.201604554|10.1039/d2ta01462a,v1|v1,antiperovskite,,trv1_0020,1.29e-06,10.1039/d2ta01462a,v1,antiperovskite,highest reported conductivity,1
Li1.2Sc0.2Ti1.8P3O12,2,2,-3.6363880201078556,-3.6090648928966207,0.027323127211234866,-3.622726456502238,liverpool_29_0022|liverpool_333_0267,0.000231|0.000246,10.1021/acs.inorgchem.6b02274|10.1016/0167-2738(86)90179-7,liverpool|liverpool,nasicon,,liverpool_333_0267,0.000246,10.1016/0167-2738(86)90179-7,liverpool,nasicon,highest reported conductivity,1
Li1.4Al0.4Ge1.6P3O12,2,2,-3.7520267336381936,-3.72584215073632,0.026184582901873643,-3.738934442187257,gw2|liverpool_406_0335,0.000188|0.000177,10.1021/acsami.8b00842|10.1016/j.ssi.2013.09.022,v1|liverpool,nasicon,,gw2,0.000188,10.1021/acsami.8b00842,v1,nasicon,highest reported conductivity,1
Li6.4La3Zr1.4Ta0.6O12,2,2,-3.0109953843014634,-3.0,0.010995384301463407,-3.0054976921507315,kji|caltech_icsd_22958,0.001|0.000975,10.1039/c2jm31413d|10.2109/jcersj2.19022,v1|caltech,garnet,,kji,0.001,10.1039/c2jm31413d,v1,garnet,highest reported conductivity,1
Li0.34La0.51Ti1O2.94,2,2,-3.0,-2.9913998282380825,0.008600171761917519,-2.995699914119041,sv7|liverpool_603_0499,0.001|0.00102,10.1016/0167-2738(94)90309-3|10.1016/0038-1098(93)90841-a,v1|liverpool,perovskites,,liverpool_603_0499,0.00102,10.1016/0038-1098(93)90841-a,liverpool,perovskites,highest reported conductivity,1
Li1.3La0.3Ti1.7P3O12,2,2,-3.281498311132726,-3.277366077466188,0.004132233666537921,-3.279432194299457,ctg|qkr,0.000528|0.000523,10.1149/1.2096693|10.1149/1.2086597,v1|v1,nasicon,,ctg,0.000528,10.1149/1.2096693,v1,nasicon,highest reported conductivity,1
Li1.3Sc0.2Ti1.7Al0.1P3O12,2,2,-3.370590400897281,-3.3675427078152755,0.003047693082005587,-3.3690665543562783,dq4|czo,0.000426|0.000429,10.1007/s10008-012-1780-x|10.1016/j.ssi.2012.03.045,v1|v1,nasicon,,czo,0.000429,10.1016/j.ssi.2012.03.045,v1,nasicon,highest reported conductivity,1
Li1.5La0.5Ti1.5P3O12,2,2,-3.55129368009492,-3.549750891680639,0.0015427884142811266,-3.5505222858877796,vus|liverpool_470_0388,0.000281|0.000282,10.1149/1.2086597|10.1149/1.2096693,v1|liverpool,nasicon,,liverpool_470_0388,0.000282,10.1149/1.2096693,liverpool,nasicon,highest reported conductivity,1
Li1.4La0.4Ti1.6P3O12,2,2,-3.3036436112666676,-3.3027706572402824,0.0008729540263852087,-3.303207134253475,e0z|liverpool_469_0387,0.000498|0.000497,10.1149/1.2086597|10.1149/1.2096693,v1|liverpool,nasicon,,e0z,0.000498,10.1149/1.2086597,v1,nasicon,highest reported conductivity,1
Li10.35Si1.08Sn0.27P1.65S12,2,1,-1.958607314841775,-1.958607314841775,0.0,-1.958607314841775,ui6|caltech_icsd_5669,0.011|0.011,10.1021/acs.chemmater.7b00886|10.1021/acs.chemmater.9b00743,v1|caltech,lgps,,ui6,0.011,10.1021/acs.chemmater.7b00886,v1,lgps,highest reported conductivity,1
Li10Sn0.33Ge0.66P2S12,2,1,-2.193820026016113,-2.193820026016113,0.0,-2.193820026016113,kop|caltech_icsd_30165,0.0064|0.0064,10.1021/jacs.0c10735|10.1021/acs.chemmater.8b00266,v1|caltech,lgps,,kop,0.0064,10.1021/jacs.0c10735,v1,lgps,highest reported conductivity,1
