ID,Reduced Composition,Z,True Composition,Ionic conductivity (S cm-1),IC (Total),IC (Bulk),Space group,Space group #,a,b,c,alpha,beta,gamma,Family,DOI,Checked,Ref,Cif ID,Cif ref_1,Cif ref_2,note,close match,close match DOI,ICSD ID,Laskowski ID,Liion ID,removed_reason
08e,Li1Zr0.2Ti1.8P3O12,,Li1 Zr0.2 Ti1.8 P3 O12,8.5e-08,,,,,,,,,,,nasicon,10.1016/0167-2738(86)90179-7,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1986,,,,,,model threshold: conductivity < 1e-06
xkh,Li1Zr1.9Ti0.1P3O12,,Li1 Zr1.9 Ti0.1 P3 O12,3.2e-08,,,,,,,,,,,nasicon,10.1016/0167-2738(86)90179-7,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1986,,,,,,model threshold: conductivity < 1e-06
tka,LiSi2N3,,Li1 Si2 N3,6.17e-08,,,,,,,,,,,nitride,10.1016/0167-2738(87)90119-6,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1987,,,,,,model threshold: conductivity < 1e-06
4kt,Li2CrCl4,,Li2 Cr1 Cl4,1e-10,,,,,,,,,,,halides,10.1016/0022-4596(88)90301-5,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1988,,,,,,model threshold: conductivity < 1e-06
x94,Li4SiS4,,Li4 Si1 S4,4.93e-08,,,,,,,,,,,thio_lisicon,10.1016/0025-5408(89)90053-6,1,data/database/obelix/processed/all-v1.csv,,,,appendix: diffraction data available; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1989,,,,,,model threshold: conductivity < 1e-06
lkm,Li6Ge2O7,,Li6 Ge2 O7,8.5e-07,,,,,,,,,,,germanates,10.4028/www.scientific.net/msf.76.107,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1991,,,,,,model threshold: conductivity < 1e-06
lh8,Li1.3Hf1.7Cr0.3P3O12,,Li1.3 Hf1.7 Cr0.3 P3 O12,5.26e-07,,,,,,,,,,,nasicon,10.1016/0167-2738(93)90387-i,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1993,,,,,,model threshold: conductivity < 1e-06
ia5,LiLaNb2O7,,Li1 La1 Nb2 O7,1e-08,,,,,,,,,,,perovskites,10.1016/0925-8388(93)90192-p,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1993,,,,,,model threshold: conductivity < 1e-06
3we,Li0.34Nd0.55Ti1O3,,Li0.34 Nd0.55 Ti1 O3,8e-08,,,,,,,,,,,perovskites,10.1016/0167-2738(94)90310-7,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1994,,,,,,model threshold: conductivity < 1e-06
i6k,Li0.38Sm0.52Ti1O2.97,,Li0.38 Sm0.52 Ti1 O2.97,2e-07,,,,,,,,,,,perovskites,10.1016/0167-2738(94)90310-7,1,data/database/obelix/processed/all-v1.csv,,,,IC number should be read from the graph; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1994,,,,,,model threshold: conductivity < 1e-06
uxo,Li2.88P1N0.14O3.73,,Li2.88 P1 N0.14 O3.73,1.4e-13,,,,,,,,,,,lisicon,10.1006/jssc.1995.1140,1,data/database/obelix/processed/all-v1.csv,,,,refer 79426-ICSD; po information is missing; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1995,,,,,,model threshold: conductivity < 1e-06
ux3,Li0.284Sm4.512Si3O12.91,,Li0.284 Sm4.512 Si3 O12.91,1e-10,,,,,,,,,,,silicates,10.1016/0167-2738(95)00240-5,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1996,,,,,,model threshold: conductivity < 1e-06
dnt,Li2TiCr(PO4)3,,Li2 Ti1 Cr1 P3 O12,4.41e-07,,,,,,,,,,,nasicon,10.1016/s0167-2738(96)00565-6,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1997,,,,,,model threshold: conductivity < 1e-06
g5g,Li2ZrCr(PO4)3,,Li2 Zr1 Cr1 P3 O12,5.91e-07,,,,,,,,,,,nasicon,10.1016/s0167-2738(96)00565-6,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1997,,,,,,model threshold: conductivity < 1e-06
hpu,Li2HfCr(PO4)3,,Li2 Hf1 Cr1 P3 O12,4.2e-08,,,,,,,,,,,nasicon,10.1016/s0167-2738(96)00565-6,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1997,,,,,,model threshold: conductivity < 1e-06
c6h,Li2TiFe(PO4)3,,Li2 Ti1 Fe1 P3 O12,3.34e-07,,,,,,,,,,,nasicon,10.1016/s0167-2738(96)00565-6,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1997,,,,,,model threshold: conductivity < 1e-06
vzu,Li2ZrFe(PO4)3,,Li2 Zr1 Fe1 P3 O12,1.44e-07,,,,,,,,,,,nasicon,10.1016/s0167-2738(96)00565-6,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1997,,,,,,model threshold: conductivity < 1e-06
a3e,Li2HfIn(PO4)3,,Li2 Hf1 In1 P3 O12,2.74e-08,,,,,,,,,,,nasicon,10.1016/s0167-2738(96)00565-6,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1997,,,,,,model threshold: conductivity < 1e-06
9z8,Li2ZrIn(PO4)3,,Li2 Zr1 In1 P3 O12,8.22e-08,,,,,,,,,,,nasicon,10.1016/s0167-2738(96)00565-6,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1997,,,,,,model threshold: conductivity < 1e-06
t3k,Li1.9Mn0.9Ga0.1Cl4,,Li1.9 Mn0.9 Ga0.1 Cl4,2.37e-07,,,,,,,,,,,chlorides,10.1016/s0167-2738(96)00592-9,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1997,,,,,,model threshold: conductivity < 1e-06
uxi,Li1.65Mn0.65In0.35Cl4,,Li1.65 Mn0.65 In0.35 Cl4,9.9e-08,,,,,,,,,,,chlorides,10.1016/s0167-2738(96)00592-9,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1997,,,,,,model threshold: conductivity < 1e-06
ix1,Li0.91Hf2.022P3O12,,Li0.91 Hf2.022 P3 O12,3.2e-07,,,,,,,,,,,nasicon,10.1021/cm970078n,1,data/database/obelix/processed/all-v1.csv,,,,true formula: Hf2.032 Li0.87 O12 P3;  partial occupancy corrected; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1997,,,,,,model threshold: conductivity < 1e-06
z7n,Li0.86Hf2.035P3O12,,Li0.86 Hf2.035 P3 O12,9.2e-08,,,,,,,,,,,nasicon,10.1021/cm970078n,1,data/database/obelix/processed/all-v1.csv,,,,double check with ID 11; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1997,,,,,,model threshold: conductivity < 1e-06
dl7,Li2MgTi3O8,,Li2 Mg1 Ti3 O8,1e-10,,,,,,,,,,,oxides,10.1039/a800234g,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1998,,,,,,model threshold: conductivity < 1e-06
i12,Li2Ti3CoO8,,Li2 Ti3 Co1 O8,1e-10,,,,,,,,,,,oxides,10.1039/a800234g,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1998,,,,,,model threshold: conductivity < 1e-06
aui,Li2CoGe3O8,,Li2 Co1 Ge3 O8,1e-10,,,,,,,,,,,oxides,10.1039/a800234g,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1998,,,,,,model threshold: conductivity < 1e-06
mfs,Li2ZnGe3O8,,Li2 Zn1 Ge3 O8,1e-10,,,,,,,,,,,oxides,10.1039/a800234g,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1998,,,,,,model threshold: conductivity < 1e-06
il5,Li0.25Nd0.25Ta1O3,,Li0.25 Nd0.25 Ta1 O3,1.31e-08,,,,,,,,,,,perovskites,10.1016/s0167-2738(98)00414-7,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1999,,,,,,model threshold: conductivity < 1e-06
r1m,Li0.25Sm0.25Ta1O3,,Li0.25 Sm0.25 Ta1 O3,4.32e-10,,,,,,,,,,,perovskites,10.1016/s0167-2738(98)00414-7,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1999,,,,,,model threshold: conductivity < 1e-06
xq3,Sr3Li4Nb5.77Fe0.23O19.77,,Sr3 Li4 Nb5.77 Fe0.23 O19.77,1e-10,,,,,,,,,,,perovskites,10.1021/cm980736j,1,data/database/obelix/processed/all-v1.csv,,,,partial occupancy incorrect; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1999,,,,,,model threshold: conductivity < 1e-06
wgw,Sr3Li4Nb6O20,,Sr3 Li4 Nb6 O20,1e-10,,,,,,,,,,,perovskites,10.1021/cm980736j,1,data/database/obelix/processed/all-v1.csv,,,,partial occupancy incorrect; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1999,,,,,,model threshold: conductivity < 1e-06
lc1,Li1.2Ta0.9Al1.1P3O12,,Li1.2 Ta0.9 Al1.1 P3 O12,6.5e-07,,,,,,,,,,,nasicon,10.1039/a807007e,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1999,,,,,,model threshold: conductivity < 1e-06
sxv,LiTaAl(PO4)3,,Li1 Ta1 Al1 P3 O12,6.5e-07,,,,,,,,,,,nasicon,10.1039/a807007e,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1999,,,,,,model threshold: conductivity < 1e-06
e6b,Li4GeS4,,Li4 Ge1 S4,2e-07,,,,,,,,,,,thio_lisicon,10.1016/s0167-2738(00)00277-0,1,data/database/obelix/processed/all-v1.csv,,,,partial occupancy corrected; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2000,,,,,,model threshold: conductivity < 1e-06
nua,LiLaTiO4,,Li1 La1 Ti1 O4,1e-10,,,,,,,,,,,perovskites,10.4028/www.scientific.net/msf.321-324.965,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2000,,,,,,model threshold: conductivity < 1e-06
3rx,LiNdTiO4,,Li1 Nd1 Ti1 O4,1e-10,,,,,,,,,,,perovskites,10.4028/www.scientific.net/msf.321-324.965,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2000,,,,,,model threshold: conductivity < 1e-06
uu4,LiVO3,,Li1 V1 O3,2.05e-09,,,,,,,,,,,oxides,10.1006/jssc.2000.9009,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2001,,,,,,model threshold: conductivity < 1e-06
0vd,Li0.0891La0.57Ti1Ag0.1809O3,,Li0.0891 La0.57 Ti1 Ag0.1809 O3,2e-07,,,,,,,,,,,perovskites,10.1021/cm001207u,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2001,,,,,,model threshold: conductivity < 1e-06
hai,Li1.96Ca1.9P6Pb6.12O24,,Li1.96 Ca1.9 P6 Pb6.12 O24,1e-10,,,,,,,,,,,phosphates,10.1006/jssc.2002.9596,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2002,,,,,,model threshold: conductivity < 1e-06
b4c,Li4SiS4,,Li4 Si1 S4,1.59e-08,,,,,,,,,,,thio_lisicon,10.1006/jssc.2002.9701,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2002,,,,,,model threshold: conductivity < 1e-06
gl0,Li4.2Al0.2Si0.8S4,,Li4.2 Al0.2 Si0.8 S4,2.4e-08,,,,,,,,,,,thio_lisicon,10.1006/jssc.2002.9701,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2002,,,,,,model threshold: conductivity < 1e-06
wmr,Li4.4Al0.4Si0.6S4,,Li4.4 Al0.4 Si0.6 S4,3.05e-08,,,,,,,,,,,thio_lisicon,10.1006/jssc.2002.9701,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2002,,,,,,model threshold: conductivity < 1e-06
xxq,Li4.6Al0.6Si0.4S4,,Li4.6 Al0.6 Si0.4 S4,1.46e-08,,,,,,,,,,,thio_lisicon,10.1006/jssc.2002.9701,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2002,,,,,,model threshold: conductivity < 1e-06
h8o,Li4.8Al0.8Si0.2S4,,Li4.8 Al0.8 Si0.2 S4,2.29e-07,,,,,,,,,,,thio_lisicon,10.1006/jssc.2002.9701,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2002,,,,,,model threshold: conductivity < 1e-06
l2w,Li3.333Mg0.333P2S6,,Li3.333 Mg0.333 P2 S6,8.2e-08,,,,,,,,,,,thio_phosphate,10.1016/s0167-2738(02)00007-3,1,data/database/obelix/processed/all-v1.csv,,,,partial occupancy corrected; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2002,,,,,,model threshold: conductivity < 1e-06
2r7,Li3Cr(MoO4)3,,Li3 Cr1 Mo3 O12,3.19e-09,,,,,,,,,,,molybdates,10.1039/b301189e,1,data/database/obelix/processed/all-v1.csv,,,,close match: Yes；close match DOI: 10.1016/j.jssc.2009.09.012; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2003,,,,,,model threshold: conductivity < 1e-06
b56,Li2Mg2(MoO4)3,,Li2 Mg2 Mo3 O12,1e-10,,,,,,,,,,,molybdates,10.1039/b301189e,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2003,,,,,,model threshold: conductivity < 1e-06
mfu,Li3Fe(MoO4)3,,Li3 Fe1 Mo3 O12,5.89e-10,,,,,,,,,,,molybdates,10.1039/b301189e,1,data/database/obelix/processed/all-v1.csv,,,,close match: Yes；close match DOI: icsd-16176; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2003,,,,,,model threshold: conductivity < 1e-06
86k,Li0.2Ca0.4Ta1O3,,Li0.2 Ca0.4 Ta1 O3,3.53e-09,,,,,,,,,,,perovskites,10.1016/j.solidstatesciences.2004.05.006,1,data/database/obelix/processed/all-v1.csv,,,,"structure avialble for x=0.15, but no conductivity; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2004",,,,,,model threshold: conductivity < 1e-06
7e5,Li0.05La0.65Mg0.5W0.5O3,,Li0.05 La0.65 Mg0.5 W0.5 O3,1.8e-07,,,,,,,,,,,perovskites,10.1016/j.ssi.2004.05.010,1,data/database/obelix/processed/all-v1.csv,,,,partial occupancy corrected; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2004,,,,,,model threshold: conductivity < 1e-06
lrh,Li2.5V2P3O12,,Li2.5 V2 P3 O12,1.9e-07,,,,,,,,,,,nasicon,10.1021/cm034802f,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2004,,,,,,model threshold: conductivity < 1e-06
oi6,Li7SbO6,,Li7 Sb1 O6,6.7e-08,,,,,,,,,,,hexaoxometalates,10.1021/ic030208w,1,data/database/obelix/processed/all-v1.csv,,,,partial occupancy not correct; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2004,,,,,,model threshold: conductivity < 1e-06
7ta,Li7TaO6,,Li7 Ta1 O6,2.36e-08,,,,,,,,,,,hexaoxometalates,10.1021/ic030208w,1,data/database/obelix/processed/all-v1.csv,,,,Missing OBLiX row reconstructed from article Tables 1 and 7；由50°C按Ea=0.68 eV外推至27°C; synthesis_method=unknow; measured_temperature=27（外推）; amorphous=unknow; source_year=2004,,,,,,model threshold: conductivity < 1e-06
7bi,Li7BiO6,,Li7 Bi1 O6,8.81e-07,,,,,,,,,,,hexaoxometalates,10.1021/ic030208w,1,data/database/obelix/processed/all-v1.csv,,,,Missing conductivity row reconstructed from article Table 7; no matched structure in source；由50°C按Ea=0.58 eV外推至27°C; synthesis_method=unknow; measured_temperature=27（外推）; amorphous=unknow; source_year=2004,,,,,,model threshold: conductivity < 1e-06
00x,LiGd(PO3)4,,Li1 Gd1 P4 O12,1e-10,,,,,,,,,,,phosphates,10.1016/j.jssc.2006.06.003,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2006,,,,,,model threshold: conductivity < 1e-06
bqx,Li3Nd3(TeO6)2,,Li3 Nd3 Te2 O12,1e-10,,,,,,,,,,,garnet,10.1021/cm060992t,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2006,,,,,,model threshold: conductivity < 1e-06
4t5,LiCrSb(PO4)3,,Li1 Cr1 Sb1 P3 O12,3.57e-10,,,,,,,,,,,nasicon,10.1063/1.2357843,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2006,,,,,,model threshold: conductivity < 1e-06
smk,LiAlSb(PO4)3,,Li1 Al1 Sb1 P3 O12,3.17e-08,,,,,,,,,,,nasicon,10.1063/1.2357843,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2006,,,,,,model threshold: conductivity < 1e-06
vqu,Li5Nd3(SbO6)2,,Li5 Nd3 Sb2 O12,1.3e-07,,,,,,,,,,,garnet,10.1016/j.materresbull.2007.04.002,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2008,,,,,,model threshold: conductivity < 1e-06
lpt,Li4Nd3SbTeO12,,Li4 Nd3 Sb1 Te1 O12,8.7e-09,,,,,,,,,,,garnet,10.1021/cm703677q,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2008,,,,,,model threshold: conductivity < 1e-06
n27,LiBO2,,Li1 B1 O2,1e-08,,,,,,,,,,,borates,10.1140/epjst/e2008-00753-4,1,data/database/obelix/processed/all-v1.csv,,,,"Value for nanocrystalline ceramic (16h) other values for micro, single crystal and amorphous; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2008",,,,,,model threshold: conductivity < 1e-06
mde,LiB6O9F,,Li1 B6 O9 F1,1e-10,,,,,,,,,,,fluorooxoborate,10.1002/zaac.200900056,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2009,,,,,,model threshold: conductivity < 1e-06
jy6,Li6PClO5,,Li6 P1 Cl1 O5,1e-09,,,,,,,,,,,argyrodites,10.1002/zaac.201000121,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2010,,,,,,model threshold: conductivity < 1e-06
jl4,Li1.07Mg0.395Ti1.535O4,,Li1.07 Mg0.395 Ti1.535 O4,6.56e-10,,,,,,,,,,,oxides,10.1016/j.ssi.2010.06.003,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2010,,,,,,model threshold: conductivity < 1e-06
jkq,Li0.995Mg0.505Ti1.5O4,,Li0.995 Mg0.505 Ti1.5 O4,1.53e-11,,,,,,,,,,,oxides,10.1016/j.ssi.2010.06.003,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2010,,,,,,model threshold: conductivity < 1e-06
m0v,Li1.34Ti1.66O4,,Li1.34 Ti1.66 O4,6.03e-08,,,,,,,,,,,oxides,10.1016/j.ssi.2010.06.003,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2010,,,,,,model threshold: conductivity < 1e-06
6du,Li1.268Mg0.1Ti1.634O4,,Li1.268 Mg0.1 Ti1.634 O4,1.73e-08,,,,,,,,,,,oxides,10.1016/j.ssi.2010.06.003,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2010,,,,,,model threshold: conductivity < 1e-06
u0c,Li1.2Mg0.2Ti1.6O4,,Li1.2 Mg0.2 Ti1.6 O4,4.24e-09,,,,,,,,,,,oxides,10.1016/j.ssi.2010.06.003,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2010,,,,,,model threshold: conductivity < 1e-06
xub,Li1.14Mg0.3Ti1.56O4,,Li1.14 Mg0.3 Ti1.56 O4,1.51e-09,,,,,,,,,,,oxides,10.1016/j.ssi.2010.06.003,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2010,,,,,,model threshold: conductivity < 1e-06
883,LiAlH4,,Li1 Al1 H4,8.7e-09,,,,,,,,,,,hydrides,10.1063/1.3356981,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2010,,,,,,model threshold: conductivity < 1e-06
95j,Li3AlH6,,Li3 Al1 H6,1.4e-07,,,,,,,,,,,hydrides,10.1063/1.3356981,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2010,,,,,,model threshold: conductivity < 1e-06
tws,Li6Zr2O7,,Li6 Zr2 O7,5.2e-10,,,,,,,,,,,zirconates,10.3103/s1062873810050199,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2010,,,,,,model threshold: conductivity < 1e-06
xz4,Li0.5Ce0.5Mo1O4,,Li0.5 Ce0.5 Mo1 O4,1.3e-08,,,,,,,,,,,molybdates,10.1007/s12039-011-0068-5,1,data/database/obelix/processed/all-v1.csv,,,,partial occupancy corrected; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2011,,,,,,model threshold: conductivity < 1e-06
hja,Li0.5Ce0.25Pr0.25Mo1O4,,Li0.5 Ce0.25 Pr0.25 Mo1 O4,1e-09,,,,,,,,,,,molybdates,10.1007/s12039-011-0068-5,1,data/database/obelix/processed/all-v1.csv,,,,partial occupancy corrected; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2011,,,,,,model threshold: conductivity < 1e-06
