ID,Reduced Composition,DOI,source,previous_family,recommended_family,confidence,assignment_method,evidence
caltech_icsd_196467,Li4.5Al0.5Te1O6,10.1016/j.materresbull.2015.12.011,caltech,unknown,oxides,low,composition_rule,composition: oxide
caltech_icsd_235184,Li8GeP4,10.1021/acs.chemmater.8b02759,caltech,unknown,phosphates,medium,doi_series_unique_family,phosphates
caltech_icsd_238601,Li6.6Si1P1O8,10.1021/jacs.5b04444,caltech,unknown,lisicon,medium,doi_series_unique_family,lisicon
caltech_icsd_238603,Li4SiO4,10.1016/0022-4596(84)90114-2,caltech,unknown,lisicon,high,exact_formula_unique_family,lisicon
caltech_icsd_239304,Li3.2V1N0.24O3.76,10.1039/c5ta07823g,caltech,unknown,oxides,low,composition_rule,composition: oxide
caltech_icsd_239762,LiY(BH4)4,10.1039/c6ta02761j,caltech,unknown,hydrides,low,composition_rule,composition: lithium hydride
caltech_icsd_239763,LiBH4,10.1039/c6ta02761j,caltech,unknown,other,high,exact_formula_unique_family,other
caltech_icsd_240749,Li9S3N,10.1039/c5ta05432j,caltech,unknown,nitrides,low,composition_rule,composition: nitride
caltech_icsd_241829,Li2VS2O9,10.1021/acs.chemmater.6b02759,caltech,unknown,oxides,low,composition_rule,composition: oxide
caltech_icsd_243915,Li2Mg2P3NO9,10.1021/jacs.7b02323,caltech,unknown,phosphates,low,composition_rule,composition: phosphate
caltech_icsd_248343,Li3B(PO4)2,10.1016/j.jssc.2014.11.024,caltech,unknown,borophosphates,high,exact_formula_unique_family,borophosphates
caltech_icsd_248836,Li4CoTeO6,10.1021/ic301125n,caltech,unknown,oxides,low,composition_rule,composition: oxide
caltech_icsd_254406,LiGa2GeS6,10.1016/j.ssi.2014.04.015,caltech,unknown,sulfides,medium,doi_series_unique_family,sulfides
caltech_icsd_255464,Li4Zn(PO4)2,10.1021/acs.chemmater.7b05139,caltech,unknown,phosphates,medium,doi_series_unique_family,phosphates
caltech_icsd_258921,Li6.5La3Hf1.5Ta0.5O12,10.2109/jcersj2.16273,caltech,unknown,garnet,low,composition_rule,composition: Li-La-O12 garnet-like
caltech_icsd_258922,Li6.5La3Ta0.5Sn1.5O12,10.2109/jcersj2.16273,caltech,unknown,garnet,low,composition_rule,composition: Li-La-O12 garnet-like
caltech_icsd_259001,Li5La3Ta2O12,10.1039/c6dt04021g,caltech,unknown,garnet,high,exact_formula_unique_family,garnet
caltech_icsd_259002,Li5.3La3Gd0.15Ta1.85O12,10.1039/c6dt04021g,caltech,unknown,garnet,low,composition_rule,composition: Li-La-O12 garnet-like
caltech_icsd_259003,Li5.5La3Gd0.25Ta1.75O12,10.1039/c6dt04021g,caltech,unknown,garnet,low,composition_rule,composition: Li-La-O12 garnet-like
caltech_icsd_259004,Li5.7La3Gd0.35Ta1.65O12,10.1039/c6dt04021g,caltech,unknown,garnet,low,composition_rule,composition: Li-La-O12 garnet-like
caltech_icsd_259005,Li5.9La3Gd0.45Ta1.55O12,10.1039/c6dt04021g,caltech,unknown,garnet,low,composition_rule,composition: Li-La-O12 garnet-like
caltech_icsd_259006,Li6.1La3Gd0.55Ta1.45O12,10.1039/c6dt04021g,caltech,unknown,garnet,low,composition_rule,composition: Li-La-O12 garnet-like
caltech_icsd_259199,Li5B3H13N,10.1021/acs.jpcc.7b00821,caltech,unknown,hydrides,low,composition_rule,composition: lithium hydride
caltech_icsd_259200,Li6PS5Cl,10.1021/jacs.7b06327,caltech,unknown,argyrodites,high,exact_formula_unique_family,argyrodites
caltech_icsd_261343,LiZnSO4F,10.1002/anie.201006331,caltech,unknown,oxyhalides,low,composition_rule,composition: oxide + halide
caltech_icsd_262046,LiMn2TeO6,10.1016/j.solidstatesciences.2011.08.019,caltech,unknown,oxides,low,composition_rule,composition: oxide
caltech_icsd_262922,Li14Ce5Si11N19O7F2,10.1021/ja302255d,caltech,unknown,nitridosilicates,medium,doi_series_unique_family,nitridosilicates
caltech_icsd_264462,Li1.69Zn0.66P1S4,10.1021/acs.chemmater.7b05108,caltech,unknown,sulfides,medium,doi_series_unique_family,sulfides
caltech_icsd_264463,Li1.19Zn0.9P1S4,10.1021/acs.chemmater.7b05108,caltech,unknown,sulfides,medium,doi_series_unique_family,sulfides
caltech_icsd_264522,Li6.74La3Hf2Al0.08O12,10.1016/j.jpowsour.2018.04.066,caltech,unknown,garnet,low,composition_rule,composition: Li-La-O12 garnet-like
caltech_icsd_264526,Li6B0.9P1H3.6S4.9,10.1021/acsomega.8b00377,caltech,unknown,hydrides,low,composition_rule,composition: lithium hydride; conflicting_reference_labels=argyrodites|glass
caltech_icsd_267193,Li6PS5Br,10.1021/acs.inorgchem.8b02443,caltech,unknown,argyrodites,high,exact_formula_unique_family,argyrodites
caltech_icsd_280927,BaLiP2O7,10.1007/s11581-014-1261-6,caltech,unknown,pyrophosphate,medium,doi_series_unique_family,pyrophosphate
caltech_icsd_281119,LiMgSO4F,10.1021/jp304767d,caltech,unknown,oxyhalides,low,composition_rule,composition: oxide + halide
caltech_icsd_290831,Li4GeS4,10.1016/j.ssi.2004.02.025,caltech,unknown,thio_lisicon,high,exact_formula_unique_family,thio_lisicon
caltech_icsd_290979,Li3SNO3,10.1016/j.solidstatesciences.2013.08.004,caltech,unknown,oxides,low,composition_rule,composition: oxide
caltech_icsd_291218,LiLa9(Si3O13)2,10.1016/0167-2738(95)00240-5,caltech,unknown,silicates,medium,doi_series_unique_family,silicates
caltech_icsd_291220,LiEu9(Si3O13)2,10.1016/0167-2738(95)00240-5,caltech,unknown,silicates,medium,doi_series_unique_family,silicates
caltech_icsd_291520,Sr0.69Li0.16Ta0.75Ga0.25O3,10.1016/j.jssc.2015.01.007,caltech,unknown,perovskites,low,composition_rule,composition: ABO3 stoichiometry
caltech_icsd_402062,Li2ZnI4,10.1016/j.ssi.2007.10.018,caltech,unknown,halides,low,composition_rule,composition: halide
caltech_icsd_403573,Li10.34Si1.35P1.65S9.68O2.3,10.1021/acs.chemmater.9b00505,caltech,unknown,lisicon,low,composition_rule,composition: Li-(Si/Ge)-P-O
caltech_icsd_403574,Li13.73Si1.35P1.65S10.46O1.54,10.1021/acs.chemmater.9b00505,caltech,unknown,lisicon,low,composition_rule,composition: Li-(Si/Ge)-P-O
caltech_icsd_403592,Li6.22Si0.2P0.8S5I1,10.1021/acs.chemmater.9b01857,caltech,unknown,argyrodites,low,composition_rule,composition: Li-P-chalcogen-halide
caltech_icsd_414244,LiI,10.1149/1.2403248,caltech,unknown,rocksalt,high,exact_formula_unique_family,rocksalt
caltech_icsd_415121,Li2TeSe3,10.1002/zaac.200500007,caltech,unknown,sulfides,low,composition_rule,composition: chalcogenide
caltech_icsd_420126,Li2SiN2,10.1016/0167-2738(87)90119-6,caltech,unknown,nitride,medium,doi_series_unique_family,nitride
caltech_icsd_421130,Li7PS6,10.1021/acsami.8b19181,caltech,unknown,thio_phosphate,low,composition_rule,composition: Li-P-chalcogen
caltech_icsd_422259,Li7La3Zr2O12,10.1016/j.ssi.2010.12.010,caltech,unknown,garnet,high,exact_formula_unique_family,garnet
caltech_icsd_424834,Li3SbS3,10.1016/0167-2738(83)90222-9,caltech,unknown,sulfides,high,exact_formula_unique_family,sulfides
caltech_icsd_427619,Li1.2Ti1.8Al0.2P3O12,10.1016/j.jeurceramsoc.2014.11.023,caltech,unknown,nasicon,medium,doi_series_unique_family,nasicon
caltech_icsd_428404,LiFePO4F,10.1016/j.electacta.2012.08.073,caltech,unknown,fluorophosphates,low,composition_rule,composition: P-O-F
caltech_icsd_430574,Li6.16La2.94Zr2Al0.07Ga0.15O12,10.1021/acs.chemmater.6b00579,caltech,unknown,garnet,low,composition_rule,composition: Li-La-O12 garnet-like
caltech_icsd_430575,Li6.85La2.94Zr2Al0.11Ga0.08O12,10.1021/acs.chemmater.6b00579,caltech,unknown,garnet,low,composition_rule,composition: Li-La-O12 garnet-like
caltech_icsd_430576,Li5.55La2.88Zr2Al0.19Ga0.05O12,10.1021/acs.chemmater.6b00579,caltech,unknown,garnet,low,composition_rule,composition: Li-La-O12 garnet-like
caltech_icsd_431128,Li2Ti3O7,10.1016/0038-1098(79)90780-4,caltech,unknown,oxides,low,composition_rule,composition: oxide
caltech_icsd_432169,Li4.117P1S4I1,10.1021/acs.chemmater.7b00013,caltech,unknown,argyrodites,low,composition_rule,composition: Li-P-chalcogen-halide; conflicting_reference_labels=argyrodites|thio_lisicon
caltech_icsd_433117,Li3CoTeO6,10.1039/c7dt02663c,caltech,unknown,oxides,low,composition_rule,composition: oxide
