audit_stage,duplicate_group,Reduced Composition,normalized_DOIs,candidate_rows,sources,IDs,conductivities,log10_min,log10_max,log10_span,kept_source,kept_ID,kept_conductivity,dropped_rows
formula_span,,Li6PS5Br,10.1002/zaac.201100158|10.1021/acs.chemmater.1c01170|10.1021/acs.chemmater.9b03852|10.1021/acs.inorgchem.8b02443|10.1021/acsaem.8b00280|10.1021/jacs.7b06327|10.1039/c7ta08581h|10.1039/c9ta02126d,8,caltech|caltech|caltech|caltech|caltech|caltech|caltech|liverpool,caltech_icsd_14761|caltech_icsd_122370|caltech_icsd_133005|caltech_icsd_234584|caltech_icsd_259202|caltech_icsd_259208|caltech_icsd_267193|liverpool_561_0460,0.00115|0.00023|0.00153|0.000701|0.00115|2.41e-05|0.00277|0.00019,-4.617982957425132,-2.5575202309355514,2.0604627264895803,caltech,caltech_icsd_267193,0.00277,7
formula_span,,Li3SbS3,10.1002/zaac.201200277|10.1016/0167-2738(83)90222-9,2,v1|caltech,1e9|caltech_icsd_424834,1e-09|1e-07,-9.0,-7.0,2.0,caltech,caltech_icsd_424834,1e-07,1
doi_formula,534,Li4SnSeS3,10.1021/acs.chemmater.0c04150,2,v1|caltech,ar1|caltech_icsd_111756,7.5e-05|9.33e-07,-6.0301183562535,-4.1249387366083,1.9051796196452004,v1,ar1,7.5e-05,1
formula_span,,Li1.4P0.6S2.2,10.1016/j.jpowsour.2006.04.037|10.1016/j.jpowsour.2008.09.044|10.1016/j.ssi.2006.07.017,3,liverpool|liverpool|liverpool,liverpool_147_0119|liverpool_158_0128|liverpool_181_0150,0.0032|0.002|4.64e-05,-4.333482019445119,-2.494850021680094,1.8386319977650252,liverpool,liverpool_147_0119,0.0032,2
formula_span,,Li3.8Si0.8P0.2S4,10.1006/jssc.2002.9701|10.1021/acs.chemmater.9b00657,2,v1|caltech,7se|caltech_icsd_14937,8.11e-07|5.19e-05,-6.090979145788844,-4.284832642151542,1.8061465036373017,caltech,caltech_icsd_14937,5.19e-05,1
doi_formula,50,Li1.1Hf1.9In0.1P3O12,10.1016/0167-2738(93)90387-i,2,v1|liverpool,6xc|liverpool_381_0311,5.13e-05|1e-06,-6.0,-4.289882634888183,1.7101173651118167,v1,6xc,5.13e-05,1
formula_span,,Li4SnS4,10.1016/j.jpowsour.2019.227338|10.1021/acs.chemmater.9b01059|10.1021/cm3011315,3,v1|caltech|caltech,kmv|caltech_icsd_12642|caltech_icsd_130197,7e-05|2.7e-06|1.43e-06,-5.844663962534939,-4.154901959985743,1.6897620025491955,v1,kmv,7e-05,2
doi_formula,1320,Li1.4P0.6S2.2,10.1016/j.jpowsour.2008.09.044,2,liverpool|liverpool,liverpool_158_0128|liverpool_160_0130,0.002|4.33e-05,-4.363512103646634,-2.6989700043360187,1.6645420993106157,liverpool,liverpool_158_0128,0.002,1
doi_formula,105,Sr3Li4Nb6O20,10.1021/cm980736j,2,v1|caltech,wgw|caltech_icsd_87824,1e-10|2.35e-12,-11.628932137728263,-10.0,1.6289321377282633,v1,wgw,1e-10,1
formula_span,,Li0.36La0.55Ti1O3,10.1016/s0167-2738(98)00070-8|10.1021/cm9810382,2,v1|liverpool,2lu|liverpool_683_0567,0.000688|2e-05,-4.698970004336019,-3.162411561764489,1.53655844257153,v1,2lu,0.000688,1
formula_span,,Li1.5Al0.5Ge1.5P3O12,10.1016/j.jeurceramsoc.2014.11.023|10.1016/j.jpowsour.2009.11.037|10.1016/s0167-2738(97)00434-7|10.1016/s0955-2219(99)00055-2|10.1021/acsami.8b00842|10.1111/j.1551-2916.2007.01827.x|10.1149/1.2988731|10.1149/1.3122903|10.1246/bcsj.65.2200,9,v1|v1|v1|caltech|caltech|liverpool|liverpool|liverpool|liverpool,u5t|vg0|1xf|caltech_icsd_36779|caltech_icsd_263764|liverpool_249_0208|liverpool_829_0692|liverpool_832_0695|liverpool_892_0750,0.00028|0.00019|0.000336|0.0004|0.000286|0.000218|0.00443|0.00526|0.006309,-3.721246399047171,-2.2000394725940167,1.5212069264531545,liverpool,liverpool_892_0750,0.006309,8
doi_formula,418,Li3.5Zn0.5Ga0.5P2O8,10.1021/acs.chemmater.7b05139,2,v1|caltech,tbu|caltech_icsd_255468,1e-10|3.02e-12,-11.51999305704285,-10.0,1.51999305704285,v1,tbu,1e-10,1
formula_span,,Li1.2Hf1.8In0.2P3O12,10.1016/0167-2738(86)90179-7|10.1016/0167-2738(93)90387-i,2,v1|liverpool,wng|liverpool_364_0294,4e-06|0.000132,-5.3979400086720375,-3.87942606879415,1.5185139398778875,liverpool,liverpool_364_0294,0.000132,1
formula_span,,Li6Br3N,10.1002/anie.198000741|10.1016/j.jallcom.2015.01.082,2,v1|liverpool,kkn|liverpool_703_0586,1e-08|3.1e-07,-8.0,-6.508638306165727,1.491361693834273,liverpool,liverpool_703_0586,3.1e-07,1
doi_formula,946,LiSc(PS3)2,10.1002/zaac.201800363,2,caltech|caltech,caltech_icsd_130090|caltech_icsd_130091,4.5e-11|1.2e-09,-10.346787486224656,-8.920818753952375,1.4259687322722812,caltech,caltech_icsd_130090,4.5e-11,1
doi_formula,68,Li0.284Sm4.512Si3O12.91,10.1016/0167-2738(95)00240-5,2,v1|caltech,ux3|caltech_icsd_83279,1e-10|5.05e-12,-11.296708621881338,-10.0,1.2967086218813382,v1,ux3,1e-10,1
doi_formula,831,Li1.396Fe0.42Ge1.58P3O12,10.1016/j.jallcom.2020.156338,6,caltech|caltech|caltech|caltech|caltech|caltech,caltech_icsd_36789|caltech_icsd_36790|caltech_icsd_36791|caltech_icsd_36792|caltech_icsd_36793|caltech_icsd_36794,1.07e-06|1.71e-05|1.4e-05|1.65e-05|1.62e-05|1.83e-05,-5.97061622231479,-4.73754891026957,1.23306731204522,caltech,caltech_icsd_36789,1.07e-06,5
doi_formula,957,Li6PS5Br,10.1021/acs.chemmater.9b03852,9,caltech|caltech|caltech|caltech|caltech|caltech|caltech|caltech|caltech,caltech_icsd_133005|caltech_icsd_133006|caltech_icsd_133007|caltech_icsd_133008|caltech_icsd_133009|caltech_icsd_133010|caltech_icsd_133011|caltech_icsd_133012|caltech_icsd_133013,0.00153|0.0018|0.00199|0.00184|0.000983|0.00108|0.001|0.00891|0.000521,-3.2831622767004753,-2.050122295963125,1.2330399807373502,caltech,caltech_icsd_133005,0.00153,8
formula_span,,Li1.3Hf1.7In0.3P3O12,10.1016/0167-2738(86)90179-7|10.1016/0167-2738(93)90387-i,2,liverpool|liverpool,liverpool_339_0273|liverpool_365_0295,1e-05|0.000142,-5.0,-3.8477116556169433,1.1522883443830567,liverpool,liverpool_365_0295,0.000142,1
doi_formula,98,Li0.25La0.25Ta1O3,10.1016/s0167-2738(98)00414-7,2,v1|liverpool,o23|liverpool_617_0513,2.61e-05|0.000366,-4.583359492661719,-3.4365189146055894,1.1468405780561297,v1,o23,2.61e-05,1
doi_formula,200,Li5La3(SbO6)2,10.1016/j.ssi.2008.01.002,3,v1|caltech|liverpool,tbj|caltech_icsd_161389|liverpool_2005_0794,3.33e-06|2.38e-07|2.06e-06,-6.623423042943488,-5.47755576649368,1.145867276449808,v1,tbj,3.33e-06,2
formula_span,,Li5La3Ta2O12,10.1016/j.ssi.2009.11.015|10.1021/acs.inorgchem.7b00816|10.1039/c6dt04021g|10.1111/j.1151-2916.2003.tb03318.x,4,caltech|caltech|caltech|liverpool,caltech_icsd_154400|caltech_icsd_259001|caltech_icsd_259164|liverpool_239_0198,1.2e-06|1.65e-05|1.59e-05|1.51e-06,-5.920818753952375,-4.782516055786093,1.1383026981662816,caltech,caltech_icsd_259001,1.65e-05,3
formula_span,,LiHf2(PO4)3,10.1002/chin.199345017|10.1016/0167-2738(93)90387-i|10.1016/b978-0-08-021592-1.50024-6,3,v1|v1|liverpool,a3l|ncr|liverpool_388_0318,2.83e-07|6.85e-07|3.8e-06,-6.548213564475709,-5.42021640338319,1.1279971610925195,liverpool,liverpool_388_0318,3.8e-06,2
doi_formula,139,Li3.333Mg0.333P2S6,10.1016/s0167-2738(02)00007-3,2,v1|caltech,l2w|caltech_icsd_95606,8.2e-08|6.77e-09,-8.169411331314855,-7.086186147616283,1.0832251836985716,v1,l2w,8.2e-08,1
formula_span,,Li5I2N,10.1002/anie.198000741|10.1016/0025-5408(81)90124-0,2,caltech|liverpool,caltech_icsd_16800|liverpool_701_0585,1.71e-06|1.5e-07,-6.823908740944319,-5.767003889607846,1.0569048513364727,caltech,caltech_icsd_16800,1.71e-06,1
doi_formula,411,Li5AlS4,10.1016/j.jssc.2017.09.018,3,v1|caltech|liverpool,y2l|caltech_icsd_433369|liverpool_901_0759,1.4e-09|1.23e-09|1.26e-08,-8.910094888560602,-7.8996294548824375,1.0104654336781644,v1,y2l,1.4e-09,2
doi_formula,484,Sr0.9Li1Ta2O6F0.8,10.2497/jjspm.65.26,2,v1|caltech,yab|caltech_icsd_236012,1e-10|1.03e-11,-10.987162775294827,-10.0,0.9871627752948271,v1,yab,1e-10,1
doi_formula,363,Li3BrO,10.1016/j.ssi.2015.11.027,3,v1|caltech|liverpool,qbb|caltech_icsd_67265|liverpool_504_0418,1.1e-06|1.02e-05|1.06e-06,-5.97469413473523,-4.991399828238082,0.9832943064971476,v1,qbb,1.1e-06,2
doi_formula,284,Li6.5La3Zr1.75Te0.25O12,10.1016/j.jpowsour.2013.03.166,2,v1|liverpool,uht|liverpool_23_0017,0.00102|0.000107,-3.9706162223147903,-2.9913998282380825,0.9792163940767078,v1,uht,0.00102,1
doi_formula,283,Li6.75La3Zr1.875Te0.125O12,10.1016/j.jpowsour.2013.03.166,2,v1|liverpool,r07|liverpool_771_0641,0.00033|3.77e-05,-4.423658649794207,-3.4814860601221125,0.9421725896720949,v1,r07,0.00033,1
doi_formula,14,LiZr2(PO4)3,10.1016/0025-5408(86)90194-7,2,v1|caltech,ur9|caltech_icsd_201935,1e-09|1.15e-10,-9.939302159646388,-9.0,0.9393021596463882,v1,ur9,1e-09,1
doi_formula,78,Li1.65Mn0.65In0.35Cl4,10.1016/s0167-2738(96)00592-9,2,v1|caltech,uxi|caltech_icsd_50306,9.9e-08|1.4e-08,-7.853871964321762,-7.00436480540245,0.8495071589193115,v1,uxi,9.9e-08,1
doi_formula,147,Li1.6Ti0.6Al0.6Ge0.8P3O12,10.1021/cm021717j,2,v1|liverpool,nng|liverpool_432_0356,0.0007|0.00011,-3.958607314841775,-3.154901959985743,0.803705354856032,v1,nng,0.0007,1
doi_formula,486,Sr1Li1.1Zr0.1Ta1.9O6F1,10.2497/jjspm.65.26,2,v1|caltech,e81|caltech_icsd_236014,1e-10|1.65e-11,-10.782516055786093,-10.0,0.7825160557860933,v1,e81,1e-10,1
doi_formula,202,SrLi6La2Nb2O12,10.1016/j.ssi.2008.01.047,3,v1|caltech|liverpool,20k|caltech_icsd_161387|liverpool_197_0162,3.69e-06|3.69e-06|6.21e-07,-6.20690839982342,-5.432973633840939,0.7739347659824807,v1,20k,3.69e-06,2
doi_formula,183,Li7P3S11,10.1016/j.ssi.2006.04.017|10.1016/j.ssi.2007.05.020|10.1039/c3ee41655k,5,v1|caltech|liverpool|liverpool|liverpool,mdp|caltech_icsd_157654|liverpool_39_0029|liverpool_698_0582|liverpool_778_0648,0.0032|0.0032|0.0032|0.017|0.0032,-2.494850021680094,-1.7695510786217261,0.7252989430583681,v1,mdp,0.0032,4
