ID,Reduced Composition,Z,True Composition,Ionic conductivity (S cm-1),IC (Total),IC (Bulk),Space group,Space group #,a,b,c,alpha,beta,gamma,Family,DOI,Checked,Ref,Cif ID,Cif ref_1,Cif ref_2,note,close match,close match DOI,ICSD ID,Laskowski ID,Liion ID
qkr,Li1.3La0.3Ti1.7P3O12,,Li1.3 La0.3 Ti1.7 P3 O12,0.000523,,,,,,,,,,,NASICON,10.1149/1.2086597,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1990,,,,,
e0z,Li1.4La0.4Ti1.6P3O12,,Li1.4 La0.4 Ti1.6 P3 O12,0.000498,,,,,,,,,,,NASICON,10.1149/1.2086597,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1990,,,,,
vus,Li1.5La0.5Ti1.5P3O12,,Li1.5 La0.5 Ti1.5 P3 O12,0.000281,,,,,,,,,,,NASICON,10.1149/1.2086597,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1990,,,,,
lkm,Li6Ge2O7,,Li6 Ge2 O7,8.5e-07,,,,,,,,,,,germanates,10.4028/www.scientific.net/msf.76.107,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1991,,,,,
a3l,LiHf2(PO4)3,,Li1 Hf2 P3 O12,2.83e-07,,,,,,,,,,,NASICON,10.1002/chin.199345017,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1993,,,,,
ncr,LiHf2(PO4)3,,Li1 Hf2 P3 O12,6.85e-07,,,,,,,,,,,NASICON,10.1016/0167-2738(93)90387-i,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1993,,,,,
dx2,Li1.1Hf1.9Fe0.1P3O12,,Li1.1 Hf1.9 Fe0.1 P3 O12,0.000107,,,,,,,,,,,NASICON,10.1016/0167-2738(93)90387-i,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1993,,,,,
6xc,Li1.1Hf1.9In0.1P3O12,,Li1.1 Hf1.9 In0.1 P3 O12,5.13e-05,,,,,,,,,,,NASICON,10.1016/0167-2738(93)90387-i,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1993,,,,,
21m,Li1.1Lu0.1Hf1.9P3O12,,Li1.1 Lu0.1 Hf1.9 P3 O12,5.88e-05,,,,,,,,,,,NASICON,10.1016/0167-2738(93)90387-i,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1993,,,,,
4k1,Li1.1Hf1.9Sc0.1P3O12,,Li1.1 Hf1.9 Sc0.1 P3 O12,2.45e-05,,,,,,,,,,,NASICON,10.1016/0167-2738(93)90387-i,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1993,,,,,
gzp,Li1.2Lu0.2Hf1.8P3O12,,Li1.2 Lu0.2 Hf1.8 P3 O12,9.79e-05,,,,,,,,,,,NASICON,10.1016/0167-2738(93)90387-i,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1993,,,,,
lh8,Li1.3Hf1.7Cr0.3P3O12,,Li1.3 Hf1.7 Cr0.3 P3 O12,5.26e-07,,,,,,,,,,,NASICON,10.1016/0167-2738(93)90387-i,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1993,,,,,
ew5,Li1.3Hf1.7Fe0.3P3O12,,Li1.3 Hf1.7 Fe0.3 P3 O12,5.4e-05,,,,,,,,,,,NASICON,10.1016/0167-2738(93)90387-i,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1993,,,,,
jdk,Li1.3Lu0.3Hf1.7P3O12,,Li1.3 Lu0.3 Hf1.7 P3 O12,3.56e-05,,,,,,,,,,,NASICON,10.1016/0167-2738(93)90387-i,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1993,,,,,
h8a,Li1.3Hf1.7Sc0.3P3O12,,Li1.3 Hf1.7 Sc0.3 P3 O12,8.32e-05,,,,,,,,,,,NASICON,10.1016/0167-2738(93)90387-i,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1993,,,,,
jq7,Li1.3Y0.3Hf1.7P3O12,,Li1.3 Y0.3 Hf1.7 P3 O12,3.19e-05,,,,,,,,,,,NASICON,10.1016/0167-2738(93)90387-i,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1993,,,,,
ylt,Li1.4Hf1.6In0.4P3O12,,Li1.4 Hf1.6 In0.4 P3 O12,0.000142,,,,,,,,,,,NASICON,10.1016/0167-2738(93)90387-i,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1993,,,,,
gnq,Li1.4Lu0.4Hf1.6P3O12,,Li1.4 Lu0.4 Hf1.6 P3 O12,2.06e-05,,,,,,,,,,,NASICON,10.1016/0167-2738(93)90387-i,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1993,,,,,
sso,Li1.4Y0.4Hf1.6P3O12,,Li1.4 Y0.4 Hf1.6 P3 O12,2.09e-05,,,,,,,,,,,NASICON,10.1016/0167-2738(93)90387-i,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1993,,,,,
ia5,LiLaNb2O7,,Li1 La1 Nb2 O7,<1E-8,,,,,,,,,,,perovskites,10.1016/0925-8388(93)90192-p,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1993,,,,,
sv7,Li0.34La0.51Ti1O2.94,,Li0.34 La0.51 Ti1 O2.94,0.001,,,,,,,,,,,perovskites,10.1016/0167-2738(94)90309-3,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1994,,,,,
kxh,Li0.34Pr0.56Ti1O3.01,,Li0.34 Pr0.56 Ti1 O3.01,1e-06,,,,,,,,,,,perovskites,10.1016/0167-2738(94)90310-7,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1994,,,,,
3we,Li0.34Nd0.55Ti1O3,,Li0.34 Nd0.55 Ti1 O3,8e-08,,,,,,,,,,,perovskites,10.1016/0167-2738(94)90310-7,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1994,,,,,
i6k,Li0.38Sm0.52Ti1O2.97,,Li0.38 Sm0.52 Ti1 O2.97,2e-07,,,,,,,,,,,perovskites,10.1016/0167-2738(94)90310-7,1,data/obelix/processed/all-v1.csv,,,,IC number should be read from the graph; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1994,,,,,
uxo,Li2.88P1N0.14O3.73,,Li2.88 P1 N0.14 O3.73,1.4e-13,,,,,,,,,,,LISICON,10.1006/jssc.1995.1140,1,data/obelix/processed/all-v1.csv,,,,refer 79426-ICSD; po information is missing; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1995,,,,,
ux3,Li0.284Sm4.512Si3O12.91,,Li0.284 Sm4.512 Si3 O12.91,<1E-10,,,,,,,,,,,silicates,10.1016/0167-2738(95)00240-5,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1996,,,,,
dnt,Li2TiCr(PO4)3,,Li2 Ti1 Cr1 P3 O12,4.41e-07,,,,,,,,,,,NASICON,10.1016/s0167-2738(96)00565-6,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1997,,,,,
g5g,Li2ZrCr(PO4)3,,Li2 Zr1 Cr1 P3 O12,5.91e-07,,,,,,,,,,,NASICON,10.1016/s0167-2738(96)00565-6,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1997,,,,,
hpu,Li2HfCr(PO4)3,,Li2 Hf1 Cr1 P3 O12,4.2e-08,,,,,,,,,,,NASICON,10.1016/s0167-2738(96)00565-6,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1997,,,,,
c6h,Li2TiFe(PO4)3,,Li2 Ti1 Fe1 P3 O12,3.34e-07,,,,,,,,,,,NASICON,10.1016/s0167-2738(96)00565-6,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1997,,,,,
vzu,Li2ZrFe(PO4)3,,Li2 Zr1 Fe1 P3 O12,1.44e-07,,,,,,,,,,,NASICON,10.1016/s0167-2738(96)00565-6,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1997,,,,,
a3e,Li2HfIn(PO4)3,,Li2 Hf1 In1 P3 O12,2.74e-08,,,,,,,,,,,NASICON,10.1016/s0167-2738(96)00565-6,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1997,,,,,
ubi,Li2TiIn(PO4)3,,Li2 Ti1 In1 P3 O12,8.3e-06,,,,,,,,,,,NASICON,10.1016/s0167-2738(96)00565-6,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1997,,,,,
9z8,Li2ZrIn(PO4)3,,Li2 Zr1 In1 P3 O12,8.22e-08,,,,,,,,,,,NASICON,10.1016/s0167-2738(96)00565-6,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1997,,,,,
t3k,Li1.9Mn0.9Ga0.1Cl4,,Li1.9 Mn0.9 Ga0.1 Cl4,2.37e-07,,,,,,,,,,,chlorides,10.1016/s0167-2738(96)00592-9,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1997,,,,,
uxi,Li1.65Mn0.65In0.35Cl4,,Li1.65 Mn0.65 In0.35 Cl4,9.9e-08,,,,,,,,,,,chlorides,10.1016/s0167-2738(96)00592-9,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1997,,,,,
w1l,Sr0.5Li0.5Ta0.75Cr0.25O3,,Sr0.5 Li0.5 Ta0.75 Cr0.25 O3,6e-05,,,,,,,,,,,perovskites,10.1016/s0378-7753(97)02645-1,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1997,,,,,
jce,Sr0.5Li0.5Ta0.75Fe0.25O3,,Sr0.5 Li0.5 Ta0.75 Fe0.25 O3,0.0001,,,,,,,,,,,perovskites,10.1016/s0378-7753(97)02645-1,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1997,,,,,
ix1,Li0.91Hf2.022P3O12,,Li0.91 Hf2.022 P3 O12,3.2e-07,,,,,,,,,,,NASICON,10.1021/cm970078n,1,data/obelix/processed/all-v1.csv,,,,true formula: Hf2.032 Li0.87 O12 P3;  partial occupancy corrected; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1997,,,,,
z7n,Li0.86Hf2.035P3O12,,Li0.86 Hf2.035 P3 O12,9.2e-08,,,,,,,,,,,NASICON,10.1021/cm970078n,1,data/obelix/processed/all-v1.csv,,,,double check with ID 11; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1997,,,,,
86o,Li0.18La0.61Ti1O3,,Li0.18 La0.61 Ti1 O3,0.000412,,,,,,,,,,,perovskites,10.1016/s0167-2738(98)00070-8,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1998,,,,,
2lu,Li0.36La0.55Ti1O3,,Li0.36 La0.55 Ti1 O3,0.000688,,,,,,,,,,,perovskites,10.1016/s0167-2738(98)00070-8,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=退火（有序相，P4/mmm）; measured_temperature=RT; amorphous=unknow; source_year=1998,,,,,
bd5,Li0.39La0.54Ti1O3,,Li0.39 La0.54 Ti1 O3,0.000651,,,,,,,,,,,perovskites,10.1016/s0167-2738(98)00070-8,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=退火（有序相，P4/mmm）; measured_temperature=RT; amorphous=unknow; source_year=1998,,,,,
ukw,Li0.45La0.52Ti1O3,,Li0.45 La0.52 Ti1 O3,0.000501,,,,,,,,,,,perovskites,10.1016/s0167-2738(98)00070-8,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=退火（有序相，P4/mmm）; measured_temperature=RT; amorphous=unknow; source_year=1998,,,,,
5h8,Li0.27La0.58Ti1O3,,Li0.27 La0.58 Ti1 O3,0.000599,,,,,,,,,,,perovskites,10.1016/s0167-2738(98)00070-8,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=退火（有序相，P4/mmm）; measured_temperature=RT; amorphous=unknow; source_year=1998,,,,,
epv,Li0.27La0.58Ti1O3,,Li0.27 La0.58 Ti1 O3,0.000832,,,,,,,,,,,perovskites,10.1016/s0167-2738(98)00070-8,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=淬火（无序相，Pm-3m）; measured_temperature=RT; amorphous=unknow; source_year=1998,,,,,
yhc,Li0.36La0.55Ti1O3,,Li0.36 La0.55 Ti1 O3,0.00154,,,,,,,,,,,perovskites,10.1016/s0167-2738(98)00070-8,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=淬火（无序相，Pm-3m）; measured_temperature=RT; amorphous=unknow; source_year=1998,,,,,
q3c,Li0.39La0.54Ti1O3,,Li0.39 La0.54 Ti1 O3,0.00125,,,,,,,,,,,perovskites,10.1016/s0167-2738(98)00070-8,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=淬火（无序相，Pm-3m）; measured_temperature=RT; amorphous=unknow; source_year=1998,,,,,
pdv,Li0.45La0.52Ti1O3,,Li0.45 La0.52 Ti1 O3,0.000785,,,,,,,,,,,perovskites,10.1016/s0167-2738(98)00070-8,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=淬火（无序相，Pm-3m）; measured_temperature=RT; amorphous=unknow; source_year=1998,,,,,
