Reduced Composition,row_count,log10_min,log10_max,log10_span,IDs,conductivities,DOIs
Li1.2Sc0.2Ti1.8P3O12,3,-4.000869458712629,-3.161150909262745,0.8397185494498838,0x9|1wm|0o6,0.000246|0.00069|9.98e-05,10.1016/0167-2738(86)90179-7|10.1149/1.2086597|10.1021/acs.inorgchem.6b02274
Li1.2La0.2Ti1.8P3O12,2,-4.096910013008056,-3.277366077466188,0.8195439355418683,fkt|p4l,0.000528|8e-05,10.1149/1.2096693|10.1149/1.2086597
Li3.4Si0.4P0.6S4,2,-3.1791420105603,-2.3757179041643317,0.8034241063959682,dj2|3sx,0.000662|0.00421,10.1006/jssc.2002.9701|10.1039/c4fd00143e
Li8GeP4,2,-4.7447274948966935,-4.0655015487564325,0.679225946140261,rwr|240,1.8e-05|8.6e-05,10.1021/acs.chemmater.8b02759|10.1021/acs.chemmater.8b02759
Li3ErCl6,3,-4.045757490560675,-3.3675427078152755,0.6782147827453993,er0|v61|v60,0.00009|0.000407|0.000429,10.1021/acsenergylett.9b02599|10.1126/sciadv.abh1896|10.1021/acsami.1c25087
Li1.2Ti1.8In0.2P3O12,2,-4.0851281824599495,-3.408935392973501,0.6761927894864486,5u3|i8k,0.00039|8.22e-05,10.1149/1.2086597|10.1021/cm030422i
Li3ScCl6,3,-3.167491087293764,-2.5199930570428495,0.6474980302509143,v05|v33|v55,0.00302|0.00125|0.00068,10.1021/jacs.0c00134|10.1126/sciadv.abh1896|10.1016/j.cej.2022.140509
Li1.3Sc0.1Ti1.7Al0.2P3O12,2,-3.570247719997592,-3.0123337350737254,0.5579139849238666,0fa|hzf,0.000269|0.000972,10.1007/s10008-012-1780-x|10.1016/j.ssi.2012.03.045
Li3PS4,2,-6.585026652029182,-6.049148541111453,0.5358781109177286,joc|nhq,2.6e-07|8.93e-07,10.1021/ja3110895|10.1021/ja3110895
Li6.5La3Zr1.5Ta0.5O12,3,-3.552841968657781,-3.036212172654445,0.5166297960033361,kh3|g5q|dbs,0.00092|0.00028|0.000794,10.1039/c2jm31413d|10.1149/2.024205esl|10.3389/fenrg.2016.00028
Li4SiS4,2,-7.798602875679548,-7.30715308072277,0.491449794956778,x94|b4c,4.93e-08|1.59e-08,10.1016/0025-5408(89)90053-6|10.1006/jssc.2002.9701
BaLi6La2Ta2O12,5,-4.886056647693163,-4.3979400086720375,0.48811663902112556,544|7o7|hud|ner|h89,4e-05|2.95e-05|1.3e-05|1.69e-05|1.5e-05,10.1002/adfm.200400044|10.1007/s11581-007-0097-8|10.1016/j.ssi.2008.10.022|10.1016/j.materresbull.2012.04.032|10.1021/am4060194
Li3InCl6,11,-3.1739251972991736,-2.6903698325741012,0.4835553647250723,de5|v12|v23|v49|v22|v24|v31|v54|v56|trv1_0089|trv1_0119,0.00204|0.00204|0.00149|0.00083|0.0015|0.00142|0.0013|0.0007|0.00067|1.30e-3|1.86e-3,10.1002/anie.201909805|10.1002/anie.201909805|10.1039/c9ee02311a|10.1039/c9ee02311a|10.1016/j.nanoen.2020.105015|10.1021/acs.nanolett.0c01156|10.1002/aenm.202100836|10.1002/adfm.202108805|10.1021/acsami.2c21022|10.1021/acs.jpclett.5c00947|10.1039/d5ta05447h
Li3In1Cl4.8F1.2,2,-3.4559319556497243,-3.0087739243075053,0.447158031342219,v47|trv1_0101,0.00098|3.5e-4,10.1002/aenm.202100836|10.1021/acs.jpclett.5c00947
Li3N,2,-3.6808939406902237,-3.2390500485891027,0.44184389210112096,fft|gvd,0.0002085|0.0005767,10.1016/0167-2738(83)90045-0|10.1039/c0ee00052c
Li7P3S11,2,-2.494850021680094,-2.065501548756432,0.4293484729236621,mdp|ptg,0.0032|0.0086,10.1039/c3ee41655k|10.1016/j.ssi.2007.05.020|10.1016/j.ssi.2006.04.017|10.1021/acs.chemmater.6b02163
Li6.8La3Zr1.8Ta0.2O12,2,-3.552841968657781,-3.136677139879544,0.4161648287782369,o5q|v1q,0.00028|0.00073,10.1039/c2jm31413d|10.1149/2.024205esl
LiHf2(PO4)3,2,-6.548213564475709,-6.164309428507575,0.3839041359681348,a3l|ncr,2.83e-07|6.85e-07,10.1002/chin.199345017|10.1016/0167-2738(93)90387-i
Li5La3(SbO6)2,2,-5.47755576649368,-5.107905397309519,0.3696503691841606,xog|tbj,7.8e-06|3.33e-06,10.1016/j.materresbull.2007.10.035|10.1016/j.ssi.2008.01.002
Li6.6La3Zr1.6Ta0.4O12,3,-3.5044556624535517,-3.136677139879544,0.36777852257400756,zqx|2wb|z53,0.00073|0.00047|0.000313,10.1039/c2jm31413d|10.1149/2.024205esl|10.1021/am503731h
Li0.36La0.55Ti1O3,2,-3.162411561764489,-2.812479279163537,0.3499322826009519,2lu|yhc,0.000688|0.00154,10.1016/s0167-2738(98)00070-8|10.1016/s0167-2738(98)00070-8
Li6La3ZrTaO12,2,-3.795880017344075,-3.4559319556497243,0.33994806169435066,0ew|6hq,0.00016|0.00035,10.1039/c2jm31413d|10.1149/2.024205esl
Li2.4Y0.4Zr0.6Cl6,2,-3.0222763947111524,-2.688246138944246,0.3340302557669066,yz6|trv1_0051,0.00095|2.05e-3,10.1021/acsenergylett.9b02599|10.1021/acsami.4c01352
Li1.3Al0.3Ge1.7P3O12,2,-4.4089353929735005,-4.084072788302884,0.32486260467061623,ag1|3uq,3.9e-05|8.24e-05,10.1016/s0955-2219(99)00055-2|10.1021/acsami.8b00842
LiNbCl4O,2,-2.3010299956639813,-1.9829666607012197,0.3180633349627615,v02|trv1_0078,0.0104|5.0e-3,10.1002/anie.202217581|10.1021/acs.chemmater.5c00627
Li1.6Al0.6Ge1.4P3O12,2,-3.853871964321762,-3.5466816599529625,0.30719030436879935,0y6|1dm,0.00014|0.000284,10.1016/s0955-2219(99)00055-2|10.1021/acsami.8b00842
Li0.388La0.475Ta0.238Cl3,2,-2.8068754016455384,-2.5199930570428495,0.2868823446026889,v06|trv1_0114,0.00302|1.56e-3,10.1038/s41586-023-05899-8|10.1021/jacs.5c11480
Li0.39La0.54Ti1O3,2,-3.1864190114318083,-2.9030899869919438,0.2833290244398645,bd5|q3c,0.000651|0.00125,10.1016/s0167-2738(98)00070-8|10.1016/s0167-2738(98)00070-8
Li10Sn(PS6)2,4,-2.42021640338319,-2.154901959985743,0.2653144433974468,9lx|13q|kko|trv1_0012,0.007|0.00398|0.0038|7e-3,10.1021/ja407393y|10.1021/acs.chemmater.8b00266|10.1021/jacs.0c10735|10.1039/d1ta06338c
Li7BiO6,2,-6.055024091587952,-5.800000874803203,0.2550232167847488,7bi|jqc,8.81e-07|1.58489e-06,10.1021/ic030208w|10.1002/zaac.200500231
Li1.5Al0.5Ge1.5P3O12,3,-3.721246399047171,-3.473660722610156,0.24758567643701523,u5t|vg0|1xf,0.00028|0.00019|0.000336,10.1016/s0955-2219(99)00055-2|10.1016/j.jeurceramsoc.2014.11.023|10.1021/acsami.8b00842
Li3YBr6,3,-2.962573502059376,-2.7166987712964503,0.24587473076292587,elz|v43|trv1_0076,0.00192|0.00109|1.1e-3,10.1002/adma.201803075|10.1126/sciadv.abh1896|10.1016/s1003-6326(25)66819-1
Li1.3Sc0.3Ti1.7P3O12,3,-3.39040559077478,-3.153044674980176,0.23736091579460394,iwe|do2|o8s,0.000407|0.000703|0.000452,10.1016/0167-2738(86)90179-7|10.1149/1.2086597|10.1016/j.ssi.2012.03.045
SrLi6La2Ta2O12,3,-5.376750709602099,-5.154901959985743,0.22184874961635614,ps0|gyw|zxr,7e-06|4.2e-06|5.4e-06,10.1002/adfm.200400044|10.1111/j.1551-2916.2005.00060.x|10.1021/am4060194
Li2HBrO,3,-5.920818753952375,-5.701146923590294,0.21967183036208127,hx7|trv1_0020|trv1_0021,1.2e-06|1.29e-6|1.99e-6,10.1002/ange.201604554|10.1039/d2ta01462a|10.1039/d2ta01462a
Li1.2Al0.2Ge1.8P3O12,2,-4.316052869248487,-4.100179497572904,0.21587337167558385,ed4|0fh,7.94e-05|4.83e-05,10.1016/j.jeurceramsoc.2014.11.023|10.1021/acsami.8b00842
Li2.4Er0.4Zr0.6Cl6,2,-3.070581074285707,-2.8601209135987635,0.21046016068694362,er7|v27,0.00085|0.00138,10.1021/acsenergylett.9b02599|10.1021/acsami.1c25087
Li5La3Nb2O12,2,-5.294136287716081,-5.096910013008056,0.1972262747080249,68u|gkl,8e-06|5.08e-06,10.1111/j.1551-2916.2005.00060.x|10.1016/j.jpowsour.2011.05.031
Li0.45La0.52Ti1O3,2,-3.300162274132754,-3.1051303432547472,0.19503193087800685,ukw|pdv,0.000501|0.000785,10.1016/s0167-2738(98)00070-8|10.1016/s0167-2738(98)00070-8
Li2.5Y0.5Zr0.5Cl6,3,-2.853871964321762,-2.677780705266081,0.1760912590556809,n7a|yz7|v10,0.0014|0.0014|0.0021,10.1021/acsenergylett.9b02599|10.1021/acsenergylett.9b02599|10.1016/j.cej.2021.130630
Li0.27La0.58Ti1O3,2,-3.2225731776106885,-3.079876673709276,0.14269650390141253,5h8|epv,0.000599|0.000832,10.1016/s0167-2738(98)00070-8|10.1016/s0167-2738(98)00070-8
Li6.75La3Zr1.75Ta0.25O12,2,-3.2006594505464183,-3.0604807473813813,0.140178703165037,7w5|4vd,0.00087|0.00063,10.1016/j.jpowsour.2012.01.131|10.1149/2.024205esl
Li3Y(BrCl)3,2,-2.795880017344075,-2.6819366650372385,0.1139433523068365,v17|trv1_0075,0.0016|2.08e-3,10.1021/acsenergylett.0c01690|10.1016/s1003-6326(25)66819-1
ZnH12C4(Br2N)2,2,-3.638272163982407,-3.537602002101044,0.10067016188136302,trv1_0149|trv1_0150,2.9e-4|2.3e-4,10.1038/s41467-026-68394-4|10.1038/s41467-026-68394-4
Li2.25Zr0.75Fe0.25Cl6,2,-3.0,-2.906578314837765,0.09342168516223515,v46|trv1_0139,0.001|1.24e-3,10.1002/aenm.202003190|10.1021/acsaem.6c01288
LiTaCl4O,2,-2.0,-1.9065783148377649,0.09342168516223515,v01|trv1_0124,0.0124|~1.0e-2,10.1002/anie.202217581|10.1002/smll.74036
Li6CaLa2Nb2O12,2,-5.876148359032914,-5.795880017344075,0.08026834168883923,uaz|gcj,1.6e-06|1.33e-06,10.1111/j.1551-2916.2005.00060.x|10.1016/j.ssi.2008.01.047
Li5La3(BiO6)2,2,-4.721246399047171,-4.657577319177793,0.06366907986937775,kbq|b7v,1.9e-05|2.2e-05,10.1016/j.mseb.2007.07.009|10.1016/j.ssi.2017.03.030
SrLi6La2Nb2O12,2,-5.432973633840939,-5.376750709602099,0.05622292423884012,cjq|20k,4.2e-06|3.69e-06,10.1111/j.1551-2916.2005.00060.x|10.1016/j.ssi.2008.01.047
Li1.3La0.3Ti1.7P3O12,2,-3.281498311132726,-3.277366077466188,0.004132233666537921,ctg|qkr,0.000528|0.000523,10.1149/1.2096693|10.1149/1.2086597
Li1.3Sc0.2Ti1.7Al0.1P3O12,2,-3.370590400897281,-3.3675427078152755,0.003047693082005587,dq4|czo,0.000426|0.000429,10.1007/s10008-012-1780-x|10.1016/j.ssi.2012.03.045
Li6CaLa2Ta2O12,2,-5.657577319177793,-5.657577319177793,0.0,jej|l9r,2.2e-06|2.2e-06,10.1016/j.ssi.2008.10.022|10.1021/am4060194
