doi,split,pair_rows,decrease_rows,increase_rows,unchanged_rows,selection_key
10.1016/0025-5408(89)90053-6,train,1,0,0,1,0896c26c521ed024dfaaea7a71258c2fc31ca7cea3fb652fde4ea2af5f74c161
10.1016/0167-2738(81)90021-7,train,1,0,0,1,4f3465441e3d492ec860eb76832d7c8b73a093488ae138393ab745466bfac2d0
10.1016/0167-2738(83)90223-0,train,3,0,0,3,514c2abb5b765186bab0482b7ec7582bfc5d523d093505ee7d7d1ad8a4aae9f4
10.1016/0167-2738(86)90179-7,validation,28,6,11,11,1cedb355d5c9d4ab69216d34e46006f6dabbc16038243a0ecbe93b2db2085ec7
10.1016/0167-2738(93)90387-i,train,105,12,4,89,c4391917701d418b0b88ddfde04ba321d20e45ba080c035106fbf3548d31cb59
10.1016/0167-2738(94)90310-7,train,3,0,0,3,374571f11a22642b04047e87e8c28081b54c4e31378aa92820cc3c9fc3fbdfcb
10.1016/j.cej.2021.130630,train,1,0,1,0,584ab17e89caa350295f6a5b309e638cc733ab5bd3429fd5860df7dbf1256978
10.1016/j.cej.2022.140509,train,1,0,1,0,db5fa026eb349e3d3d7b890b1d15766a4551125e0c8f446137c1cc6c3a490b9d
10.1016/j.ensm.2024.103444,train,21,12,9,0,53e2760346647983e2d5d893199625ecc9474bca3d48f7b783d52f83db755aee
10.1016/j.est.2024.111700,train,1,1,0,0,714e148faf5b170b11f5c36fa4ad4b41ee20ec07957ad1182d5f71fdbace2bc5
10.1016/j.jallcom.2017.05.278,train,3,3,0,0,a9d0b53d356488ee23fc5efd4114fcb3e3a5a14ce46b5e5950a7b58add2e593d
10.1016/j.jeurceramsoc.2014.11.023,train,6,3,2,1,d7012b7f310cd5c2e44656fd9c4b86b61a358369f7fcc47ef3752c979c0ef1fe
10.1016/j.jpowsour.2011.05.031,train,15,0,0,15,a17df0c6ee24ac4a732eee9f41249ed38d7b9d018e6d2fe232e2825679cbf41c
10.1016/j.jpowsour.2012.01.131,train,3,0,2,1,bc79788da1a785d17ec1669ab53f69abdcd8c569637d47c0855775a6205b1330
10.1016/j.jpowsour.2013.03.166,train,1,0,1,0,3567476a661e1c03c8558a9ed3cc744af5690df5776fef3fc4d265e85464cbc7
10.1016/j.jssc.2005.12.025,train,1,0,0,1,af7c956113c564268cd311a306a36d1622258ef797526fbb89829eb46b3ce97b
10.1016/j.materresbull.2007.10.035,train,1,0,0,1,c7d21c9905aa8a0a4e3cfcef1620a064d2e13b027c06dcad7cf8daf5a4b4e729
10.1016/j.mseb.2004.07.003,train,1,1,0,0,4afe2f713682cdbc55e18a9ee4b1ecfc618d74e5e1475f75f6108ed06755c95b
10.1016/j.mseb.2007.07.009,train,1,0,0,1,0adcc147af024d956456786772a452c041172958f7b6a4f560da2cb6d72ddc3d
10.1016/j.physb.2011.11.006,train,2,0,0,2,2b37afb1f2896046d3c36b9106d686426daeded4cf51560841c91f63ed6e8610
10.1016/j.ssi.2004.05.010,train,2,0,0,2,14a105467e0f138a52a873c727ed24143115ce846241906d5209aec19871f984
10.1016/j.ssi.2008.01.047,train,1,0,0,1,a4c707d0cb608f7129757912c8788a860ca4546c35d83150881bd838a9d23cab
10.1016/j.ssi.2008.10.022,train,1,0,0,1,a18e0c8d74809783e1d5ae67ee759a39f3d8e93118f87703dbc4e021b47aa17c
10.1016/j.ssi.2010.06.003,train,15,0,0,15,d00d199d2c3c078efccfda301443b683c0d9a2b186ce467bf4d9d81a4076c437
10.1016/j.ssi.2012.03.045,train,10,5,4,1,c34ea666361a54e9ab1d6ba5f7afcb089b19cfde6e306fc119a94dbfb68d3982
10.1016/j.ssi.2012.05.011,train,2,0,1,1,a5848a84f6f9c034542438d99e26911f7783492450d8d92b34e5ad9bb47747a9
10.1016/j.ssi.2014.07.018,train,78,26,47,5,b9af878c67845c8a4a925a74880533fd109ed373955ff95e7a3cab34cb6e072c
10.1016/j.ssi.2015.09.001,train,1,0,0,1,3b290dfa264dab5469a0cabcfd98560b8a98e6e4cce10fff5d92135015007f9d
10.1016/j.ssi.2015.10.016,train,3,0,0,3,eefc76487db297fe36f43f8604e89dc63e104a0e3080e312a1001f25699da22d
10.1016/j.ssi.2017.01.014,train,15,7,7,1,b7762721b000bf5e0da06977e0d7b15afb516a22eb5e7f50a6944c5b8ee9ff8b
10.1016/s0167-2738(00)00761-x,train,4,3,0,1,500f64029b82d51f35135f927192473cd2d132d01503166adbd2dfb01c4ed1da
10.1016/s0167-2738(02)00007-3,train,1,0,0,1,f93994174d4a02fe80929eb4bcb512539e0a36f6bd53c527069ca5c2d0f1d641
10.1016/s0167-2738(96)00565-6,train,28,0,0,28,8feb77bcbd91364067b06a3b103487e7aa0b2acfd2c26e3265b3dab11eee867d
10.1016/s0167-2738(96)00592-9,train,1,0,0,1,43843a796c0f6a11ead462390e10694275ce53c0efeb36dc4f49ac6a9e562a74
10.1016/s0167-2738(98)00070-8,train,8,2,3,3,622b7f8e028fb1fea9b23083be7230b3281ca8c8fe325e254321246d542702fd
10.1016/s0167-2738(98)00414-7,train,3,0,0,3,434ab68276c7040da8bcd7877206c8c9d330a0db9a4d784c0ea83c6d8467885c
10.1016/s0378-7753(97)02645-1,train,1,0,0,1,2b13ac5c43b4c1173ae30ee80f6d34ffe613a9aeb303014827a7979f5c47eef1
10.1016/s0955-2219(99)00055-2,train,21,3,8,10,55b882a430703c98e79f0bbf05ea14b660fb91c15a91c7a405d0fba09b5bf9ca
10.1016/s1003-6326(25)66819-1,train,1,1,0,0,e2a781dadae349575f7e618c9c26d191e88ed083f7bb63d4224b6ca70c751a4b
10.1021/acs.chemmater.0c04150,train,55,0,0,55,a18963e2d44b48ab44153a0d251b438281b0fd2fea2dba8bcb91ded80a293dab
10.1021/acs.chemmater.5c00627,train,5,3,2,0,27acbe1f6f38ee7d74d4261b5ba472a0f42a2c88bb8f97148630c2ebbe9f6d62
10.1021/acs.chemmater.6b02516,train,1,0,1,0,eefe11f2ce2d7e4aaae663eafa2b32ce5849070307c0bf938170510e75dab1f7
10.1021/acs.chemmater.7b00886,train,2,1,1,0,9b8d0772e9fc94e999b9165eaf442549f1aefaf8394c46eb395540f24ec3c290
10.1021/acs.chemmater.7b05108,train,3,0,2,1,82c78f447222f40cc6c155c68ad895ba34e905f50c0d0b6b264ea9da8d25a9a9
10.1021/acs.chemmater.7b05139,train,1,0,0,1,0bde5379081aee03293cc0b2553e21471f161edd74d2a22e432b382d1cacae83
10.1021/acs.chemmater.8b00266,train,6,3,3,0,c94f20bac9baf6a0248c23e3114371418196d2265ff55fe49e338cf044cfa5bd
10.1021/acs.chemmater.8b01504,train,105,0,0,105,0cd8b2af7f0c371f09fa5e653d976d3d0ab140b5ab368c24ecc1137db8608549
10.1021/acs.chemmater.8b02759,train,2,0,0,2,e3bc4db271d63cde6881bb2d87c96db6a88b365056e11bfeff23646d51e7c40b
10.1021/acs.chemmater.8b03175,train,1,0,0,1,a5576505bfe96b39d42eb9767aab85214a5fce07ce0f949d4b20f9e95d4fb5fe
10.1021/acs.chemmater.9b01926,train,1,0,0,1,7e107412404eb4dce658fbbf92430375e0d6c9758871973fb5cc7e6b7e37c3bc
10.1021/acs.energyfuels.6c01704,train,10,9,1,0,acac5cf6076b54759ac5b640d0dd6c9a14c08583df44b5dd6117bf64b80c85b2
10.1021/acs.inorgchem.5b01895,train,4,0,1,3,60950570d5bf1ba98e204c9f1ebde231cba30e07db2f3f536c06bb97f6ae394a
10.1021/acs.inorgchem.7b00816,train,15,0,0,15,5d4b61d7ad01db63d5ff17102cc2a81a165b244652956ad429ba0aca52731134
10.1021/acs.inorgchem.8b02443,validation,55,29,19,7,013d65097109dbbfe17bf87df413c75eff707ac17b17efe5103fd094bf53424a
10.1021/acs.jpcc.5c05412,train,4,0,1,3,8922e45301080d2977ba49a87c7af03c0105d5d43ea9643d563989ae2fb39ffa
10.1021/acs.jpclett.5c00947,train,105,39,51,15,9e7bd630bb3a2038b674d51c9429886ed2093e1d386325210456aeacf715d106
10.1021/acs.nanolett.0c01156,train,1,0,1,0,4f578c1771a9037b7a064bb3f67a6e0bfe298645266ad29c3a26bebc8b99b50f
10.1021/acsaem.6c01288,train,66,38,18,10,4c3ba0bab3e49f39378bd1f33542ceebae59cdf9c040121f2c95e3f32b028d07
10.1021/acsami.2c21022,train,1,0,1,0,b19a7da362d8564154c34d3ad32d9b84a92a91de412aac31021c3a6be00ea893
10.1021/acsami.4c01352,train,15,1,14,0,925441a85769ffd99f8667b1ec1c0603bf1d22a3a0c1fd4f43bc0ba04ccea8ee
10.1021/acsami.6b14402,train,3,0,0,3,8dcfe0b1fc9ba7a5cea02f354f25086ba81262f0fe1c3ac1a2a8580d2276b2c4
10.1021/acsami.8b00842,train,28,8,9,11,681201855d8595ee7e8d4dba37b797df71f1c4b8f0c7e5a5d3d03657c6752e7b
10.1021/acsenergylett.9b02599,train,120,30,76,14,8b0c5548fde8f6e65539793c8c8342dbf376acdbbdaff6cdf882ea2491211be7
10.1021/acsmaterialslett.1c00142,train,3,0,2,1,e1d38b38c982f810dae42272b28c1167548f8e40ee8cf2720e7a1ea732ad648a
10.1021/acsnano.4c16514,validation,36,12,16,8,119977eeedd6c7e39e3ae348622f1237e569f6c20efe93513d2dea6540221727
10.1021/am4060194,validation,6,0,0,6,11bd79064c8ef2e04cda419d4f67e3fcb33891640651aa0c2ab866952f138a4c
10.1021/am503731h,validation,6,2,1,3,1d62114f9e525478d4fbd7879e4116e470b7904a998a9c5c7d3f9c18d6764726
10.1021/cm001207u,train,6,0,3,3,28c9016ec23a63e4a4ef93b82b1f296c06a96fe2c2003ea102ab19ade0f42760
10.1021/cm020609u,validation,5,0,0,5,105e401e68e2b21a2ed1b9e6623710e4dc61a6dd6515a4737a3a8a111e7c00de
10.1021/cm970078n,train,1,0,0,1,b1d74f39899df1b1e3762d45d24e9956371ce83abd9b022db20f58056b0383b1
10.1021/ic030208w,train,1,0,0,1,da745a62064e0eb223c28bccf0a29222365c8915516a0d9d6ab3133f51edf328
10.1021/ic400577v,train,1,1,0,0,0c84e0eed80c0e446a8eb60fa930ca94485d969df44796c45d8f177bd79fc743
10.1021/ja308741y,train,1,1,0,0,f9371b770b98ad842a4d6d123ba5f1b270bc7ea0ec2375b440fa5ca29316b7f9
10.1021/jacs.0c10735,train,6,3,3,0,4cfe244b731219373b0cd6d984bd00f2a256fd81c8a7caa8774b64fc40269826
10.1021/jacs.5b04444,train,1,0,0,1,6ef0a89fb677166e48c783cc3362876edda69666e3bd29b2f27c0bbe8303855a
10.1021/jacs.5c11480,train,3,1,2,0,2ca1e5c76f14d75479c3bd9b66bdb74a800190d52e3c84a921a156af6778ff05
10.1021/jacs.7b06327,train,36,19,13,4,ba9c8b8930ca8370ac428f0979eab3d5c9e56908ea06f24b5e07153670355098
10.1021/jacs.8b10282,train,55,9,40,6,d30e91b9bf7cec436876c9523e8fa2cc7214dbee8534034a0eb595970e9167da
10.1021/jp304737x,train,5,1,0,4,4389fb08a00f681da9cd6b05ae57d567f8da041560d7ae4a28b4665968727323
10.1023/a:1026135806929,train,1,0,0,1,ac5edc8aedd7589d93c7cdb4da032e242638d43d6391188e52fbe2462e954a10
10.1038/nenergy.2016.30,train,1,1,0,0,4a9c811613818e929bd3d760838c88b765fe6bd31584c06bd253c10009a3008c
10.1038/s41467-023-39197-8,train,21,15,5,1,c9d0c2032858fb9a08f2e23c25a2551d2139b4b3eb5ba8047214de21e613f806
10.1038/s41467-024-45864-1,train,1,0,1,0,aeb9ac0fb8cd1954dc6937e74707b617c3e32f543785fdb46e54322a41916fe7
10.1038/s41467-025-68210-5,validation,24,9,10,5,014144fbaa6d6b861445bcd825fdf034c1c10e77f1e46a7fe1cb15478fab9891
10.1038/srep18053,train,1,0,1,0,f94d864ec62175274895dcbdf413001f9d3528224a98fe93f373175d7e46e5df
10.1039/a807007e,train,1,0,0,1,991f14044399ca8b25e86871cc9f7699aceb3dfac20b769372818f70a7947347
10.1039/b301189e,train,1,0,0,1,a4da17b47a7dd0578a66e1812fad6a14866fd8f9fcf213fc7d41fa134a0f2959
10.1039/c2jm31413d,validation,21,8,10,3,43bd5295b3003cd6b5013194fcc8a2fb2d0f0a4f4de45b79173b99e1d442c834
10.1039/c3cp50991e,train,4,3,1,0,864e220f0745d0c747bcb790258017dd2a8934624abdbf983363a4b11d853814
10.1039/c4fd00143e,train,45,13,30,2,c3baefa375af74cdb0447a57aecabe2e1b4db7fe67e1b3005aa11b329eecee44
10.1039/c4ta05231e,validation,3,1,2,0,103e682cc1bfeba611b7174e0ead3732d25d90efa133ffcf2b31445d9c45cef4
10.1039/c7ta08581h,train,78,62,6,10,2ca2051b2ec4c2504e25f1a3124ca1982a833ec7aaf64d636f2bbd5f67eebea8
10.1039/d0ee01017k,train,1,1,0,0,758e8eb838386bb5f6801ffd0b235f7eb9c4988ad345004024f40943c88794fd
10.1039/d1ta06338c,train,3,2,1,0,38f4541417e89da5d748e4c13d3d635aaabf86ac4aea4f9a05661d1cc90d2830
10.1039/d2ta01462a,train,6,0,0,6,aaa50b0c66a0bfa822e5905b9367b9dcc14cf56a0c3ac351f31aa0bbfe417e99
10.1039/d5ta05447h,train,6,5,1,0,bbd69e6e9e1f9ce6f8472ca5616e873a39605324df715020344b46f736d2214c
10.1063/1.2357843,train,3,0,0,3,ef1fa59bb03dd7584b73d04eda97cee923a73a4f33c96fa5f3650e2cd9923c60
10.1063/1.3356981,train,1,0,0,1,a9f630dba16eb539bbe5d1f91cb2c85de3c26a3013829f6ebaea88589d9eec48
10.1107/s2052520615022283,train,1,0,1,0,d347f73a89c547881d86eec1a0b0f1a60ac3effe7756bedf95fd834dd6bc4cd3
10.1111/j.1551-2916.2005.00060.x,train,10,0,0,10,220f80745405dceafcc9c005bc3f3a0a63e6ba6373634f685aca9ec7b529bf86
10.1126/sciadv.abh1896,train,3,1,2,0,23e5516a48d6d35833fc8fed1263c15422abc942b05dc6d09f4b2533d8c8e3e2
10.1134/s002016851103006x,train,6,0,0,6,a355313a8f9ccb2bdb0b86c1c3355c49f039d858a343b015044b6fb815bc4850
10.1149/1.1379028,train,6,5,1,0,38d2f1b5921dfe9796d32d234d8497d107a0441f7f4dcde9b48fb88f7799772c
10.1149/1.2086597,train,435,151,178,106,6aabed1fbfedb5b88a48a34e9bc52ed6077bc2c0eb5d5c594d3c593d1bb645f4
10.1149/1.2096693,train,1,0,0,1,9fab33cc0a78184cf852f28392aea52864bf1e3e417a712cbf48dd6778d2efd6
10.1149/2.024205esl,train,36,28,0,8,ebb5d53c7ed2e166422b7b773e9894c94d613510d1d7ad9e5ee4d4401203a9cf
10.3389/fenrg.2016.00028,train,10,5,2,3,fe915bcc7f77428a999c6ed036e90a5696dccddb7aec43b1cc5804bde7dd5995
