compound	icsd_collectioncode	conductivity_doi	conductivity_siemens_per_cm	lowest_extrapolation_temperature_K
LiBO2	200891	10.1140/epjst/e2008-00753-4	2.07E-13	509
(K0.1Li0.9)(SbO3)	200984	10.1016/0167-2738(81)90178-8	1.36E-08	na
LiZr2(PO4)3	201935	10.1016/0025-5408(86)90194-7	1.15E-10	337
Li6CoCl8	202401	10.1002/zaac.19875531020	4.60E-09	373
Li2CrCl4	202627	10.1016/0022-4596(88)90301-5	5.66E-13	385
Li6PS5Br	234584	10.1039/C7TA08581H	0.000701	na
Li6.025P0.975Si0.025S5Br	234585	10.1039/C7TA08581H	0.000878	na
Li6.05P0.95Si0.05S5Br	234586	10.1039/C7TA08581H	0.000437	na
Li6.075P0.925Si0.075S5Br	234587	10.1039/C7TA08581H	0.000873	na
Li6.1P0.95Si0.1S5Br	234588	10.1039/C7TA08581H	0.000799	na
Li6.125P0.875Si0.125S5Br	234589	10.1039/C7TA08581H	0.000902	na
Li6.175P0.825Si0.175S5Br	234591	10.1039/C7TA08581H	0.000931	na
Li6.2P0.8Si0.2S5Br	234592	10.1039/C7TA08581H	0.00169	na
Li6.225P0.775Si0.225S5Br	234593	10.1039/C7TA08581H	0.00108	na
Li6.25P0.75Si0.25S5Br	234594	10.1039/C7TA08581H	0.00141	na
Li6.3P0.7Si0.3S5Br	234595	10.1039/C7TA08581H	0.00165	na
Li6.35P0.65Si0.35S5Br	234596	10.1039/C7TA08581H	0.00234	na
Li6.5P0.5Si0.5S5Br	234597	10.1039/C7TA08581H	0.00219	na
Li8GeP4	235184	10.1021/acs.chemmater.8b02759	1.80E-05	na
?-Li8GeP4	235185	10.1021/acs.chemmater.8b02759	8.60E-05	na
Li8SiP4	235186	10.1021/acs.chemmater.8b02759	4.50E-05	na
Li4.4Al0.4Ge0.6S4	235201	10.1021/acs.chemmater.8b03175	4.33E-05	na
Li4.4Al0.4Sn0.6S4	235207	10.1021/acs.chemmater.8b03175	4.39E-06	na
Fe2Na2K(Li3Si12O30)	235750	10.1016/j.jssc.2018.05.008	1.91E-19	723
LiSrNb2O6F	236009	10.2497/jjspm.65.26	2.62E-11	473
LiSrTa2O6F	236010	10.2497/jjspm.65.26	2.72E-11	473
LiSr0.9Nb2O6F0.8	236011	10.2497/jjspm.65.26	2.80E-11	473
LiSr0.9Ta2O6F0.8	236012	10.2497/jjspm.65.26	1.03E-11	473
Li1.1SrNb1.9Zr0.1O6F	236013	10.2497/jjspm.65.26	9.67E-11	473
Li1.1SrTa1.9Zr0.1O6F	236014	10.2497/jjspm.65.26	1.65E-11	473
Li6La3Nb1.5Y0.5O12	237141	10.1021/jp304737x	0.000188	na
Li5.2La3Nb1.9Y0.1O12	237143	10.1021/jp304737x	1.81E-05	na
Li5.4La3Nb1.8Y0.2O12	237144	10.1021/jp304737x	2.92E-05	na
Li5.5La3Nb1.75Y0.25O12	237145	10.1021/jp304737x	7.20E-05	na
Li6.5La3Nb1.25Y0.75O12	237146	10.1021/jp304737x	0.00027	na
Li6Ba0.5Sr0.5La2Ta2O12	237199	10.1021/am4060194	7.10E-06	na
Li6SrLa2Ta2O12	237200	10.1021/am4060194	5.40E-06	na
Li6BaLa2Ta2O12	237201	10.1021/am4060194	1.50E-05	na
Li6CaLa2Ta2O12	237202	10.1021/am4060194	2.20E-06	na
Li6.5O8P1.5Si0.5	238600	10.1021/jacs.5b04444	4.49E-07	323
Li6.6SiPO8	238601	10.1021/jacs.5b04444	1.48E-07	323
Li7.22Si1.5P0.5O8	238602	10.1021/jacs.5b04444	1.64E-07	323
Li4SiO4	238603	10.1016/0022-4596(84)90114-2	5.00E-10	na
LiClC3H7NO	238683	10.1021/acs.chemmater.5b00940	0.00016	na
Li7La3Zr2O12	238687	10.1016/j.ssi.2013.09.008	9.90E-06	na
Li6.5La3Zr1.75Mo0.25O12	239128	10.1021/acs.inorgchem.5b01895	0.000333	na
Ba3LiTa5ZrSi4O26	239277	10.1016/j.ssi.2015.08.011	5.83E-13	500
LaLiO2	239278	10.1016/j.ssi.2015.09.001	6.61E-13	424
(La0.9Sr0.1)LiO2	239279	10.1016/j.ssi.2015.09.001	6.29E-10	424
La(Li0.76Mg0.08)O2	239280	10.1016/j.ssi.2015.09.001	7.27E-10	424
Li3VO4	239303	10.1039/C5TA07823G	4.37E-18	636
Li3.2V(O3.76N0.24)	239304	10.1039/C5TA07823G	4.52E-13	604
Li5.74La3Zr1.5Ta0.5O12	239663	10.1002/aenm.201500096	0.000903	na
La3Li5.08Ta1.51Zr0.39O12	239664	10.1002/aenm.201500096	0.000103	na
LiY(BH4)4	239762	10.1039/C6TA02761J	1.26E-06	na
Li(BH4)	239763	10.1039/C6TA02761J	1.00E-08	na
Li2.5V2(PO4)3	240269	10.1021/cm034802f	1.90E-07	na
H2Ca1Li2N2	240676	10.1039/c2cp23636b	6.40E-06	na
Li9NS3	240749	10.1039/C5TA05432J	8.30E-07	na
Li51.2Al1.6La24Zr16O96	241475	10.1038/srep18053	0.000254	na
Li49.6Al1.6La24Zr14.4Ta1.6O96	241476	10.1038/srep18053	0.000614	na
Li2VO(SO4)2	241829	10.1021/acs.chemmater.6b02759	4.20E-10	na
Li4P2S6	242170	10.1016/j.ssi.2015.10.015	2.38E-07	na
Li2Mg2P3O9N	243915	10.1021/jacs.7b02323	9.00E-07	na
"	Li3Cr(MoO4)3"	247057	10.1039/B301189e	9.59E-15	477
Li3BP2O8	248343	10.1016/j.jssc.2014.11.024	9.60E-12	na
Li4P2O7	248414	10.1016/j.jssc.2013.12.015	1.80E-20	769
Li8Co2Te2O12	248836	10.1021/ic301125n	1.66E-06	na
Li2SnS3	251656	10.1021/cm5037524	1.50E-05	na
Li10.35Si1.35P1.65S12	252037	10.1107/S2052520615022283	0.0065	na
Li9.81Sn0.81P2.19S12	252040	10.1107/S2052520615022283	0.0055	na
Li2P2S6	253894	10.1021/acs.inorgchem.7b00751	7.80E-11	na
La0.5Li0.5O3Ti1	254044	10.1016/j.jallcom.2017.05.278	0.000626	na
(La0.55Li0.45)(Ti0.9Al0.1)O3	254045	10.1016/j.jallcom.2017.05.278	0.001471176	na
(La0.6Li0.4)(Ti0.8Al0.2)O3	254046	10.1016/j.jallcom.2017.05.278	0.000552732	na
(La0.65Li0.35)(Ti0.7Al0.3)O3	254047	10.1016/j.jallcom.2017.05.278	0.000157618	na
(La0.7Li0.3)(Ti0.6Al0.4)O3	254048	10.1016/j.jallcom.2017.05.278	1.00E-07	na
LiGa2GeS6	254406	10.1016/j.ssi.2014.04.015	3.80E-08	na
Li4Zn(PO4)2	255464	10.1021/acs.chemmater.7b05139	5.44E-18	473
Li4Zn(PO4)2	255465	10.1021/acs.chemmater.7b05139	1.19E-14	473
Li3.7Zn0.7Ga0.3(PO4)2	255466	10.1021/acs.chemmater.7b05139	1.02E-11	398
Li3.5Zn0.5Ga0.5(PO4)2	255468	10.1021/acs.chemmater.7b05139	3.02E-12	398
Li10(Ge0.416Sn0.584)P2S12	255747	10.1021/acs.chemmater.8b00266	0.0048	na
Li10(Ge0.776Sn0.224)P2S12	255748	10.1021/acs.chemmater.8b00266	0.0064	na
Li10GeP2S12	255749	10.1021/acs.chemmater.8b00266	0.0076	na
Li10SnP2S12	255750	10.1021/acs.chemmater.8b00266	0.0038	na
Li1.3Al0.3Ti1.7(PO4)3	257190	10.1016/j.ssi.2012.03.045	0.0051	na
Li3AlN2	257464	10.1016/0167-2738(85)90106-7	5.00E-08	na
LiGaGeO4	257739	10.1149/2.1111610jes	9.62E-18	673
LiGa0.5Al0.5GeO4	257740	10.1149/2.1111610jes	1.30E-17	673
LiAlGeO4	257741	10.1149/2.1111610jes	2.22E-16	673
LiScO2	257819	10.2320/matertrans.Y-M2016816	1.36E-17	573
Li0.9Sc0.9Zr0.1O2	257820	10.2320/matertrans.Y-M2016816	3.92E-14	573
Li10.35(Sn0.27Si1.08)P1.65S12	257946	10.1021/acs.chemmater.7b00886	0.011	na
Li10.5(Sn0.2Si0.8)1.5P1.5S12	257947	10.1021/acs.chemmater.7b00886	0.00293	na
Li10.2(Sn0.2Si0.8)1.2P1.8S12	257948	10.1021/acs.chemmater.7b00886	0.00269	na
Li7Ge3PS12	258187	10.1016/j.jssc.2016.12.001	0.00011	na
Li6.5La3Hf1.5Ta0.5O12	258921	10.2109/jcersj2.16273	0.0004	na
Li6.5La3Sn1.5Ta0.5O12	258922	10.2109/jcersj2.16273	0.00019	na
Li5La3Ta2O12	259001	10.1039/C6DT04021G	1.65E-05	na
Li5.3La3Ta1.85Gd0.15O12	259002	10.1039/C6DT04021G	4.86E-06	na
Li5.5La3Ta1.75Gd0.25O12	259003	10.1039/C6DT04021G	6.50E-05	na
Li5.7La3Ta1.65Gd0.35O12	259004	10.1039/C6DT04021G	8.18E-05	na
Li5.9La3Ta1.55Gd0.45O12	259005	10.1039/C6DT04021G	4.32E-06	na
Li6.10La3Ta1.45Gd0.55O12	259006	10.1039/C6DT04021G	8.56E-07	na
Li5La3Ta2O12	259164	10.1021/acs.inorgchem.7b00816	1.59E-05	na
Li5.3La3Ta1.85Sm0.15O12	259165	10.1021/acs.inorgchem.7b00816	7.11E-06	na
Li5.5La3Ta1.75Sm0.25O12	259166	10.1021/acs.inorgchem.7b00816	5.17E-06	na
Li5.70La3Ta1.65Sm0.35O12	259167	10.1021/acs.inorgchem.7b00816	2.15E-05	na
Li5.90La3Ta1.55Sm0.45O12	259168	10.1021/acs.inorgchem.7b00816	1.18E-05	na
Li6.10La3Ta1.45Sm0.55O12	259169	10.1021/acs.inorgchem.7b00816	1.40E-05	na
Li5(BH4)3(NH)	259199	10.1021/acs.jpcc.7b00821	1.04E-07	na
Li6PS5Cl	259200	10.1021/jacs.7b06327	0.00205	na
Li6PS5Cl0.5Br0.5	259201	10.1021/jacs.7b06327	0.00333	na
Li6PS5Br	259202	10.1021/jacs.7b06327	0.00115	na
Li6PS5Br0.5I0.5	259203	10.1021/jacs.7b06327	2.62E-05	na
Li6PS5I	259204	10.1021/jacs.7b06327	1.30E-06	na
Li6PS5Cl0.75Br0.25	259206	10.1021/jacs.7b06327	0.00226	na
Li6PS5Br	259208	10.1002/zaac.201100158	2.41E-05	na
Li6PS5Br0.75I0.25	259209	10.1021/jacs.7b06327	0.000112	na
Li6PS5Br0.25I0.75	259211	10.1021/jacs.7b06327	4.72E-06	na
LiZnSO4F	261343	10.1002/anie.201006331	2.80E-05	na
LiMn2TeO6	262046	10.1016/j.solidstatesciences.2011.08.019	2.00E-07	na
LiSbO2	262075	10.1021/ic201183e	5.66E-14	410
Li14Ce5(Si11N19O5)O2F2	262922	10.1021/ja302255d	1.70E-10	433
Li14Nd5(Si11N19O5)O2F2	262923	10.1021/ja302255d	1.70E-10	433
Li1.2Al0.2Ge1.8(PO4)3	263760	10.1021/acsami.8b00842	4.83E-05	na
Li1.4Al0.4Ge1.6(PO4)3	263762	10.1021/acsami.8b00842	0.000188	na
Li1.5Al0.5Ge1.5(PO4)3	263763	10.1021/acsami.8b00842	0.000336	na
Li1.5Al0.5Ge1.5(PO4)3	263764	10.1246/bcsj.65.2200	0.000286	na
Li1.7Al0.7Ge1.3(PO4)3	263765	10.1021/acsami.8b00842	0.000264	na
Li1.8Al0.8Ge1.2(PO4)3	263766	10.1021/acsami.8b00842	0.000137	na
LiGe2(PO4)3	263767	10.1149/1.2220723	3.33E-07	na
Li1.69Zn0.66PS4	264462	10.1021/acs.chemmater.7b05108	0.00013	na
Li1.19Zn0.9PS4	264463	10.1021/acs.chemmater.7b05108	1.65E-05	na
Hf2La3(Li6.74Al0.08)O12	264522	10.1016/j.jpowsour.2018.04.066	8.00E-05	na
Li6B0.9PH3.6S4.9	264526	10.1021/acsomega.8b00377	0.0018	na
Li6PS5Br	267193	10.1021/acs.inorgchem.8b02443	0.00277	na
Li6P(S4.9Se0.1)Br	267194	10.1021/acs.inorgchem.8b02443	0.0032	na
Li6P(S4.8Se0.2)Br	267195	10.1021/acs.inorgchem.8b02443	0.00392	na
Li6P(S4.7Se0.3)Br	267196	10.1021/acs.inorgchem.8b02443	0.00362	na
Li6P(S4.6Se0.4)Br	267197	10.1021/acs.inorgchem.8b02443	0.00364	na
Li6P(S4.5Se0.5)Br	267198	10.1021/acs.inorgchem.8b02443	0.00268	na
Li6P(S4.4Se0.6)Br	267199	10.1021/acs.inorgchem.8b02443	0.00278	na
Li6P(S4.3Se0.7)Br	267200	10.1021/acs.inorgchem.8b02443	0.00301	na
Li6P(S4.2Se0.8)Br	267201	10.1021/acs.inorgchem.8b02443	0.00348	na
Li6P(S4.1Se0.9)Br	267202	10.1021/acs.inorgchem.8b02443	0.00382	na
Li6P(S4Se)Br	267203	10.1021/acs.inorgchem.8b02443	0.00361	na
LiTa2PO8	267438	10.1039/C8TA09170F	0.0016	na
LiBaP2O7	280927	10.1007/s11581-014-1261-6	2.03E-12	589
LiMgSO4F	281119	10.1021/jp304767d	5.40E-08	na
LiCl*H2O	281198	10.1002/cphc.200390060	1.00E-08	na
Li4GeS4	290831	10.1016/j.ssi.2004.02.025	2.00E-07	na
Li4SnS4	290832	10.1021/cm3011315	7.00E-05	na
Li3(SO3)N	290979	10.1016/j.solidstatesciences.2013.08.004	1.00E-14	476
LiLa9Si6O26	291218	10.1016/0167-2738(95)00240-5	1.45E-12	531
LiEu9Si6O26	291220	10.1016/0167-2738(95)00240-5	9.70E-14	531
Li2NaBP2O8	291512	10.1016/j.jssc.2014.11.024	4.40E-18	573
(Li0.16Sr0.69)(Ga0.25Ta0.75)O3	291520	10.1016/j.jssc.2015.01.007	3.69E-06	na
Li3Na5(TiS4)2	391258	10.1016/j.jssc.2008.01.023	8.80E-06	na
Li2ZnI4	402062	10.1016/j.ssi.2007.10.018	4.00E-08	na
Li10.34Si1.35P1.65S9.68O2.3	403573	10.1021/acs.chemmater.9b00505	0.00313	na
Li13.73Si1.35P1.65S10.46O1.54	403574	10.1021/acs.chemmater.9b00505	0.00269	na
Li6PS5I	403591	10.1021/acs.chemmater.9b01857	1.71E-06	na
Li6.22P0.8Si0.2S5I	403592	10.1021/acs.chemmater.9b01857	7.79E-06	na
Li3(Mo8S8O8(OH)8(HWO5(H2O)))*(H2O)18	412011	10.1002/1521-3765(20020118)8:2<349::AID-CHEM349>3.0.CO;2-5	3.80E-07	na
Li7SbO6	413370	10.1021/ic030208w	6.70E-08	na
LiI	414244	10.1149/1.2403248	1.00E-07	na
Li2TeSe3	415121	10.1002/zaac.200500007	1.82E-10	383
LiGd(PO3)4	416442	10.1016/j.jssc.2006.06.003	3.99E-25	682
Li6PS5I	418489	10.1002/zaac.201100158	4.10E-07	na
Li2SiN2	420126	10.1016/0167-2738(87)90119-6	6.99E-06	na
LiB6O9F	420286	10.1002/zaac.200900056	3.98E-23	539
Li7PS6	421130	10.1021/acsami.8b19181	0.00011	na
Li6PO5Cl	421479	10.1002/zaac.201000121	5.54E-10	na
Li7La3Zr2O12	422259	10.1016/j.ssi.2010.12.010	0.000569	na
Li3SbS3	424834	10.1016/0167-2738(83)90222-9	1.00E-07	na
Li9Mg3(PO4)4F3	426103	10.1039/C3TA15264B	3.39E-11	373
Li1.2Al0.2Ti1.8(PO4)3	427619	10.1016/j.jeurceramsoc.2014.11.023	0.00338	na
LiFe(PO4)F	428404	10.1016/j.electacta.2012.08.073	6.00E-08	na
Li17Sb13S28	429902	doi.org/10.1002/chem.201502052	1.05E-09	na
Li6.16Al0.07Ga0.15La2.94Zr2O12	430574	10.1021/acs.chemmater.6b00579	0.00106	na
Li6.85Al0.11Ga0.08La2.94Zr2O12	430575	10.1021/acs.chemmater.6b00579	0.00063	na
Li5.55Al0.19Ga0.05La2.88Zr2O12	430576	10.1021/acs.chemmater.6b00579	0.00038	na
Li2Ti3O7	431128	10.1016/0038-1098(79)90780-4	7.44E-07	na
Li2Sr2Al(PO4)3	431319	10.1016/j.jssc.2016.08.006	1.36E-13	500
Fe0.16La2.95Li5.68Zr2O12	431391	10.1021/acs.chemmater.6b02516	0.000935	na
Fe0.19La2.95Li5.57Zr2O12	431392	10.1021/acs.chemmater.6b02516	0.00138	na
Li4.117PS4I	432169	10.1021/acs.chemmater.7b00013	0.00012	na
Li3CoTeO6	433117	10.1039/C7DT02663C	5.83E-16	523
Li5AlS4	433369	10.1016/j.jssc.2017.09.018	1.23E-09	323
Li3P	642223	10.1016/0167-2738(89)90438-4	0.000703	na
Li3BN2	655673	10.1016/0022-4596(87)90135-6	1.60E-10	400
