ID,True Composition,Z_by_element,χ_all,χ-,χ+(incl Li+),χ+(excl Li+),χ+(incl Li+) - χ-,χ+(excl Li+) - χ-,χ_max - χ_min,r_all (pm),r- (pm),r+(incl Li+) (pm),r+(excl Li+) (pm),r+(excl Li+) - r-,r+(incl Li+) - r-,r+(excl Li+) / r-,r+(incl Li+) / r-,ρ_all (C m⁻³),ρ- (C m⁻³),ρ+(incl Li+) (C m⁻³),ρ+(excl Li+) (C m⁻³),ρ+(incl Li+) / ρ-,ρ+(incl Li+) - ρ-,Φ+(incl Li+) (|Z| pm⁻¹),Φ+(excl Li+) (|Z| pm⁻¹),n_halide,n_host_cation,n_anion,n_Li,Ionic conductivity (S cm-1)
bq9,Li24.0Bi8.0O24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Bi"", ""value"": 3.0}]",2.165714285714286,3.44,1.21,1.9,-2.23,-1.54,2.46,102.87142857142855,138.2,76.375,103.0,-35.19999999999999,-61.82499999999999,0.7452966714905934,0.5526410998552822,80714184902.04243,28978758058.690765,119515755034.55618,104998593861.9137,4.124253868730349,90536996975.86542,0.018392664509169362,0.02912621359223301,0.0,0.14285714285714285,0.42857142857142855,0.42857142857142855,2.4e-10
skm,Li10.0Bi2.0O10.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Bi"", ""value"": 5.0}]",2.1818181818181817,3.44,1.1333333333333335,1.9,-2.3066666666666666,-1.54,2.46,100.4090909090909,138.2,68.91666666666667,76.0,-62.19999999999999,-69.28333333333332,0.5499276410998554,0.49867342016401356,109298467189.18188,28978758058.690765,176231558131.2578,435615304993.695,6.081404792239043,147252800072.56705,0.02331059129304743,0.06578947368421052,0.0,0.09090909090909091,0.45454545454545453,0.45454545454545453,3.9e-09
pwr,Li7.22Si1.5P0.5O8.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""O"", ""value"": -2.0}]",2.238130081300813,3.366470588235294,1.138256880733945,1.8999999999999997,-2.228213707501349,-1.4664705882352942,2.46,95.8739837398374,131.0705882352941,61.565366972477065,33.0,-98.07058823529411,-69.50522126281705,0.25177273135266137,0.4697115333148327,1566555804249.14,2316814050818.2354,835226091423.7603,4256886531984.5776,0.3605063130244662,-1481587959394.475,0.0331171037593056,0.12121212121212122,0.0,0.08710801393728224,0.4936120789779327,0.41927990708478513,1.64e-07
o4u,Li91.2Ge19.2P4.8S96.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",1.8284090909090909,2.5614285714285714,1.1591304347826086,2.01,-1.4022981366459628,-0.5514285714285716,1.6,117.35227272727273,176.04761904761904,63.760869565217384,46.0,-130.04761904761904,-112.28674948240166,0.2612929402218015,0.3621796756477049,1086753614285.4729,1865131029855.7112,376061191373.5161,1571666508793.5586,0.20162722369302316,-1489069838482.195,0.02736119862773927,0.08695652173913043,0.0,0.09090909090909091,0.4772727272727273,0.4318181818181819,1.78e-06
yy9,Li86.4Ge14.4P9.6S96.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",1.8523255813953488,2.544545454545455,1.127142857142857,2.01,-1.4174025974025979,-0.5345454545454551,1.6,117.83720930232558,168.81818181818184,64.42857142857142,46.0,-122.81818181818184,-104.38961038961043,0.2724824986537426,0.3816447419032232,1977751545255.3354,3549542289179.1313,331113623049.4544,1571666508793.5588,0.09328347039528521,-3218428666129.677,0.025120772946859903,0.08695652173913045,0.0,0.06976744186046512,0.5116279069767441,0.4186046511627907,0.000175
mvq,Li81.6Ge9.6P14.4S96.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",1.8773809523809526,2.5291304347826085,1.088421052631579,2.01,-1.4407093821510295,-0.5191304347826087,1.6,118.3452380952381,162.2173913043478,65.23684210526316,46.0,-116.21739130434781,-96.98054919908465,0.28357008844813725,0.4021568931710139,2911177949128.525,5087483004213.558,276703408762.43225,1571666508793.5586,0.05438905811248133,-4810779595451.125,0.022408678701584882,0.08695652173913043,0.0,0.047619047619047616,0.5476190476190477,0.40476190476190477,0.000654
2yl,Li80.4Ge8.4P15.6S96.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",1.8838323353293411,2.525483870967742,1.0774324324324323,2.01,-1.4480514385353096,-0.5154838709677421,1.6,118.4760479041916,160.65591397849465,65.46621621621621,46.0,-114.65591397849465,-95.18969776227844,0.28632621645137535,0.4074933477081927,3151521274676.711,5451296936802.347,261262672275.57465,1571666508793.5586,0.047926699885262096,-5190034264526.772,0.021639030334682507,0.08695652173913043,0.0,0.041916167664670656,0.5568862275449101,0.40119760479041916,0.00154
5qm,Li79.2Ge7.2P16.8S96.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",1.8903614457831326,2.521914893617021,1.0658333333333332,2.01,-1.4560815602836878,-0.5119148936170212,1.6,118.60843373493977,159.12765957446808,65.70833333333333,46.0,-113.12765957446808,-93.41932624113475,0.2890760796897981,0.4129284218032714,3394760302942.3457,5807370147421.161,244964117095.0027,1571666508793.5588,0.04218159181807659,-5562406030326.158,0.020826623725174447,0.08695652173913045,0.0,0.03614457831325302,0.5662650602409639,0.3975903614457832,0.00174
3jh,Li78.0Ge6.0P18.0S96.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",1.8969696969696972,2.518421052631579,1.0535714285714286,2.01,-1.4648496240601505,-0.5084210526315793,1.6,118.74242424242425,157.6315789473684,65.96428571428571,46.0,-111.63157894736841,-91.6672932330827,0.2918196994991653,0.4184712616265204,3640947683065.7456,6155947079921.686,227734215904.11237,1571666508793.5586,0.0369941802532535,-5928212864017.573,0.01996779388083736,0.08695652173913043,0.0,0.030303030303030304,0.5757575757575758,0.3939393939393939,0.0022
j3x,Li76.8Ge4.8P19.2S96.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",1.9036585365853658,2.515,1.0405882352941176,2.01,-1.4744117647058825,-0.5050000000000003,1.6,118.8780487804878,156.16666666666669,66.23529411764707,46.0,-110.16666666666669,-89.93137254901961,0.2945570971184631,0.4241320861322117,3890137348312.6006,6497261992995.115,209490791113.7579,1571666508793.5586,0.032242934229774936,-6287771201881.357,0.019058444633892207,0.08695652173913043,0.0,0.024390243902439022,0.5853658536585366,0.39024390243902435,0.000555
b4c,Li8.0Si2.0S8.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""S"", ""value"": -2.0}]",1.7933333333333334,2.58,1.1640000000000001,1.9,-1.416,-0.6800000000000002,1.6,115.44444444444444,184.0,60.6,33.0,-151.0,-123.4,0.1793478260869565,0.3293478260869565,533713371713.27313,12278644599.949677,950861153403.9319,4256886531984.5776,77.44023745160186,938582508803.9822,0.036094276094276095,0.12121212121212122,0.0,0.1111111111111111,0.4444444444444444,0.4444444444444444,1.59e-08
7se,Li91.2Si19.2P4.8S96.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",1.818409090909091,2.5614285714285714,1.14,1.9,-1.4214285714285715,-0.6614285714285715,1.6,116.17045454545456,176.04761904761904,61.5,33.0,-143.04761904761904,-114.54761904761904,0.1874492832025967,0.34933730051393025,1330864525484.6565,1865131029855.7112,843055978015.4325,4256886531984.5776,0.4520089819537517,-1022075051840.2787,0.033318694188259404,0.12121212121212122,0.0,0.09090909090909091,0.4772727272727273,0.4318181818181819,8.11e-07
5e2,Li86.4Si14.4P9.6S96.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",1.8446511627906976,2.544545454545455,1.1114285714285712,1.9,-1.4331168831168837,-0.644545454545455,1.6,116.93023255813954,168.81818181818184,62.57142857142856,33.0,-135.81818181818184,-106.24675324675329,0.19547657512116315,0.3706438956842833,2165092477105.8718,3549542289179.1313,714716483505.3143,4256886531984.5776,0.20135454807346442,-2834825805673.817,0.03001443001443001,0.12121212121212122,0.0,0.06976744186046512,0.5116279069767441,0.4186046511627907,7.19e-05
dj2,Li81.6Si9.6P14.4S96.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",1.872142857142857,2.5291304347826085,1.0768421052631578,1.9,-1.4522883295194506,-0.6291304347826085,1.6,117.72619047619047,162.2173913043478,63.86842105263159,33.0,-129.2173913043478,-98.34897025171622,0.2034307156258376,0.39372116971603505,3039045569280.478,5087483004213.558,559358148045.6975,4256886531984.5776,0.10994791482987278,-4528124856167.86,0.026014531277689178,0.12121212121212122,0.0,0.047619047619047616,0.5476190476190477,0.40476190476190477,0.000662
10u,Li76.8Si4.8P19.2S96.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",1.9009756097560973,2.515,1.0341176470588236,1.9,-1.4808823529411765,-0.6150000000000002,1.6,118.56097560975608,156.16666666666669,65.47058823529412,33.0,-123.16666666666669,-90.69607843137257,0.21131270010672357,0.41923535689622693,3955630519609.9424,6497261992995.115,367444910124.9943,4256886531984.5776,0.05655380843825403,-6129817082870.121,0.02107347989700931,0.12121212121212122,0.0,0.024390243902439022,0.5853658536585366,0.39024390243902435,3.2e-06
s3r,Li8.0Al0.66Si0.66P0.66O8.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""O"", ""value"": -2.0}]",2.1758620689655173,3.34473441108545,1.0897639484978539,1.7550000000000001,-2.254970462587596,-1.5897344110854499,2.46,95.05700778642937,128.96304849884527,63.55203862660944,39.625,-89.33804849884527,-65.41100987223584,0.3072585555416271,0.49279262057129863,1695788586970.712,2993125638516.207,490323043367.2799,2708312344024.913,0.16381639215464056,-2502802595148.9272,0.025893704863661944,0.09303849303849304,0.0,0.07341490545050056,0.48164627363737483,0.44493882091212456,3.25e-06
max,Li8.5Si1.5Al0.5O8.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}]",2.1354054054054052,3.44,1.1414285714285715,1.8275,-2.2985714285714285,-1.6125,2.46,94.70135135135135,138.2,61.55952380952381,36.3125,-101.88749999999999,-76.64047619047618,0.26275325615050654,0.44543794362897116,446164584590.7332,28978758058.690765,764020452424.6703,3482599438004.745,26.36484458296306,735041694365.9795,0.032397765731099065,0.10712530712530713,0.0,0.10810810810810811,0.43243243243243246,0.4594594594594595,2.02e-08
k5y,Li7.5Si1.5P0.5O8.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""O"", ""value"": -2.0}]",2.218,3.366470588235294,1.1333333333333333,1.8999999999999997,-2.2331372549019606,-1.4664705882352942,2.46,95.42,131.0705882352941,61.75,33.0,-98.07058823529411,-69.32058823529411,0.25177273135266137,0.471120186697783,1543480588321.294,2316814050818.2354,813110095963.0715,4256886531984.5776,0.35096044746271426,-1503703954855.1638,0.03254769921436588,0.12121212121212122,0.0,0.08571428571428572,0.4857142857142857,0.42857142857142855,5.54e-07
y2l,Li10.0Al2.0S8.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""S"", ""value"": -2.0}]",1.6830000000000003,2.58,1.0850000000000002,1.61,-1.4949999999999999,-0.97,1.6,111.975,184.0,63.958333333333336,46.25,-137.75,-120.04166666666666,0.2513586956521739,0.3475996376811594,183062677825.8899,12278644599.949677,296918699976.5167,1159738156065.2485,24.181716276545185,284640055376.567,0.02315648982315649,0.06486486486486487,0.0,0.1,0.4,0.5,1.4e-09
gl0,Li8.4Si1.6Al0.4S8.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""S"", ""value"": -2.0}]",1.7693478260869566,2.58,1.1457692307692307,1.842,-1.4342307692307694,-0.738,1.6,114.69021739130437,184.0,61.37499999999999,35.650000000000006,-148.35,-122.625,0.19375000000000003,0.3335597826086956,457484959998.62463,12278644599.949677,799951356459.1437,3637456856800.712,65.14980948812723,787672711859.194,0.033108633108633115,0.10994266994266996,0.0,0.10869565217391305,0.4347826086956522,0.4565217391304348,2.4e-08
wmr,Li8.8Si1.2Al0.8S8.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""S"", ""value"": -2.0}]",1.7463829787234042,2.58,1.1288888888888888,1.784,-1.4511111111111112,-0.796,1.6,113.96808510638297,184.0,62.09259259259259,38.3,-145.7,-121.90740740740742,0.20815217391304347,0.3374597423510467,384500310484.59937,12278644599.949677,660220062991.7473,3018027181616.846,53.769783596021114,647941418391.7976,0.030344148862667383,0.09867321867321867,0.0,0.10638297872340426,0.425531914893617,0.46808510638297873,3.05e-08
xxq,Li9.2Si0.8Al1.2S8.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""S"", ""value"": -2.0}]",1.7243750000000002,2.58,1.1132142857142857,1.726,-1.4667857142857144,-0.8540000000000001,1.6,113.27604166666667,184.0,62.75892857142858,40.95,-143.05,-121.24107142857142,0.22255434782608696,0.34108113354037267,314556688033.6586,12278644599.949677,530469576200.59357,2398597506432.98,43.20261669620828,518190931600.6439,0.02777712777712778,0.0874037674037674,0.0,0.10416666666666667,0.4166666666666667,0.47916666666666663,1.46e-08
h8o,Li9.6Si0.4Al1.6S8.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""S"", ""value"": -2.0}]",1.703265306122449,2.58,1.0986206896551725,1.6680000000000001,-1.4813793103448276,-0.9119999999999999,1.6,112.61224489795917,184.0,63.379310344827594,43.6,-140.4,-120.62068965517241,0.23695652173913045,0.34445277361319343,247467907315.40924,12278644599.949677,409667398843.31244,1779167831249.1143,33.364219927417025,397388754243.3628,0.02538714262852194,0.07613431613431615,0.0,0.1020408163265306,0.4081632653061224,0.48979591836734687,2.29e-07
de5,Li6.0In2.0Cl12.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""In"", ""value"": 3.0}, {""element"": ""Cl"", ""value"": -1.0}]",2.368,3.16,1.18,1.78,-1.9800000000000002,-1.3800000000000001,2.18,136.85,181.0,70.625,80.0,-101.0,-110.375,0.4419889502762431,0.39019337016574585,63585391045.03652,6449680150.445432,149288957386.92316,224091403271.38156,23.146722613308643,142839277236.47772,0.02048611111111111,0.0375,0.6,0.1,0.0,0.3,0.00204
cfy,Li4.0P4.0S12.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",2.182,2.4825,0.98,,-1.5025,,1.6,127.3,142.25,67.5,,,-74.75,,0.47451669595782076,7816673895505.914,9739753667192.7,124354808758.77036,,0.012767757071479743,-9615398858433.93,0.014814814814814815,,0.0,0.0,0.8,0.2,7.8e-11
na5,Li6.0Mo16.0S16.0O80.0H94.0W2.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""H"", ""value"": 1.0}, {""element"": ""Mo"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}, {""element"": ""W"", ""value"": 6.0}]",2.650093457943925,3.296666666666667,2.1240677966101695,2.185357142857143,-1.1725988700564973,-1.1113095238095236,2.46,59.49065420560748,145.83333333333334,-10.754237288135593,-14.946428571428571,-160.77976190476193,-156.58757062146893,-0.10248979591836734,-0.07374334140435836,222508015087.73248,26195405815.56725,1007758452176.3934,1302226333315.601,38.47080893770727,981563046360.8262,0.07581292122248691,0.09614562335837762,0.0,0.5233644859813084,0.4485981308411215,0.028037383177570093,3.8e-07
pe2,Li17.0Sb13.0S28.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Sb"", ""value"": 3.0}, {""element"": ""S"", ""value"": -2.0}]",1.992241379310345,2.5800000000000005,1.4436666666666667,2.05,-1.1363333333333339,-0.5300000000000007,1.6,125.94540229885057,184.0,71.7611111111111,77.33333333333333,-106.66666666666667,-112.2388888888889,0.42028985507246375,0.39000603864734296,97980994145.39894,12278644599.949677,177969853721.15158,248081835595.03473,14.494258895797097,165691209121.2019,0.025205406555981268,0.03879310344827586,0.0,0.22413793103448276,0.4827586206896552,0.29310344827586204,1.05e-09
opo,Li4.8Sn4.8S12.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Sn"", ""value"": 4.0}, {""element"": ""S"", ""value"": -2.0}]",2.0866666666666664,2.58,1.47,1.96,-1.11,-0.6200000000000001,1.6,132.55555555555554,184.0,68.25000000000001,69.0,-115.0,-115.74999999999999,0.375,0.3709239130434783,137940085739.35696,12278644599.949677,295016887163.6161,465678965568.46185,24.026828430625415,282738242563.6664,0.03639291465378422,0.057971014492753624,0.0,0.2222222222222222,0.5555555555555555,0.2222222222222222,0.00012
elz,Li6.0Y2.0Br12.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Y"", ""value"": 3.0}, {""element"": ""Br"", ""value"": -1.0}]",2.1919999999999997,2.9599999999999995,1.04,1.22,-1.9199999999999995,-1.7399999999999995,1.98,147.445,196.0,74.6125,95.94999999999999,-100.05000000000001,-121.3875,0.48954081632653057,0.38067602040816323,53342571951.02763,5079321332.016004,125737447879.54507,129885365241.86926,24.754773258190255,120658126547.52907,0.018927682241908404,0.031266284523189164,0.6,0.1,0.0,0.3,0.00192
lkm,Li24.0Ge8.0O28.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""O"", ""value"": -2.0}]",2.265333333333333,3.44,1.2374999999999998,2.01,-2.2025,-1.4300000000000002,2.46,97.62666666666665,138.2,62.125,46.0,-92.19999999999999,-76.07499999999999,0.3328509406657019,0.4495296671490594,272820878436.705,28978758058.690765,486182733767.4674,1571666508793.5586,16.777210837772966,457203975708.7766,0.03285024154589372,0.08695652173913043,0.0,0.13333333333333333,0.4666666666666667,0.4,8.5e-07
p81,Li4.0Al4.0Cl16.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""Cl"", ""value"": -1.0}]",2.5383333333333336,3.16,1.295,1.61,-1.8650000000000002,-1.55,2.18,139.625,181.0,56.875,46.25,-134.75,-124.125,0.255524861878453,0.31422651933701656,218315280904.30008,6449680150.445433,642046482412.0094,1159738156065.2485,99.54702674173197,635596802261.564,0.03983983983983984,0.06486486486486487,0.6666666666666666,0.16666666666666666,0.0,0.16666666666666666,1e-06
bv2,Li4.0Y4.0O8.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Y"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}]",2.27,3.44,1.1,1.22,-2.34,-2.2199999999999998,2.46,109.96249999999999,138.2,81.725,95.94999999999999,-42.25,-56.474999999999994,0.6942836468885673,0.5913531114327062,78049422529.50528,28978758058.690765,127120087000.31981,129885365241.86926,4.386664423053021,98141328941.62904,0.02304054966900199,0.031266284523189164,0.0,0.25,0.5,0.25,1.8e-08
be9,Li4.0Ga4.0Br16.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ga"", ""value"": 3.0}, {""element"": ""Br"", ""value"": -1.0}]",2.438333333333333,2.96,1.395,1.81,-1.565,-1.15,1.98,151.0,196.0,61.0,54.5,-141.5,-135.0,0.2780612244897959,0.3112244897959184,142240436975.12537,5079321332.016004,416562668261.3441,708770527763.9178,82.01148165910753,411483346929.3281,0.03493034318722392,0.05504587155963303,0.6666666666666666,0.16666666666666666,0.0,0.16666666666666666,7e-06
