ID,True Composition,Z_by_element,n_Li,χ⁻,χ⁺(excl Li⁺),r⁺(excl Li⁺) (pm),r⁻ (pm),nₕₒₛₜ cₐₜᵢₒₙ,ρ⁺(excl Li⁺) (C m⁻³),Φ⁺(excl Li⁺) (|Z| pm⁻¹),Ionic conductivity (S cm-1),conductivity_value,conductivity_qualifier,conductivity_used,sample_weight,log10_conductivity
s3r,Li8.0Al0.66Si0.66P0.66O8.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""P"", ""value"": 5.0}]",0.4449388209121245,3.44,1.9000000000000004,32.083333333333336,138.2,0.1101223581757508,14779601141006.926,0.1600648777119365,3.25e-06,3.25e-06,exact,3.25e-06,1.0,-5.488116639021126
de5,Li6.0In2.0Cl12.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""In"", ""value"": 3.0}, {""element"": ""Cl"", ""value"": -1.0}]",0.3,3.16,1.78,80.0,181.0,0.1,224091403271.3816,0.0375,0.00204,0.00204,exact,0.00204,1.0,-2.6903698325741012
opo,Li4.8Sn4.8S12.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Sn"", ""value"": 4.0}, {""element"": ""S"", ""value"": -2.0}]",0.2222222222222222,2.58,1.96,69.0,184.0,0.2222222222222222,465678965568.46185,0.0579710144927536,0.00012,0.00012,exact,0.00012,1.0,-3.9208187539523753
elz,Li6.0Y2.0Br12.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Y"", ""value"": 3.0}, {""element"": ""Br"", ""value"": -1.0}]",0.3,2.9599999999999995,1.22,95.95,196.0,0.1,129885365241.86926,0.0312662845231891,0.00192,0.00192,exact,0.00192,1.0,-2.7166987712964503
p81,Li4.0Al4.0Cl16.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""Cl"", ""value"": -1.0}]",0.1666666666666666,3.16,1.61,46.25,181.0,0.1666666666666666,1159738156065.2483,0.0648648648648648,1e-06,1e-06,exact,1e-06,1.0,-6.0
be9,Li4.0Ga4.0Br16.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ga"", ""value"": 3.0}, {""element"": ""Br"", ""value"": -1.0}]",0.1666666666666666,2.96,1.81,54.5,196.0,0.1666666666666666,708770527763.9178,0.055045871559633,7e-06,7e-06,exact,7e-06,1.0,-5.154901959985743
xas,Li16.0Sn8.0S24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Sn"", ""value"": 4.0}, {""element"": ""S"", ""value"": -2.0}]",0.3333333333333333,2.58,1.96,69.0,184.0,0.1666666666666666,465678965568.46185,0.0579710144927536,1.5e-05,1.5e-05,exact,1.5e-05,1.0,-4.823908740944319
qy4,Li12.0Na20.0Ti8.0S32.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Na"", ""value"": 1.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""S"", ""value"": -2.0}]",0.1666666666666666,2.58,1.1042857142857143,98.3061224489796,184.0,0.3888888888888889,216097266537.64493,0.0251874299275261,8.8e-06,8.8e-06,exact,8.8e-06,1.0,-5.055517327849831
ard,Li8.0Ta16.0P8.0O64.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ta"", ""value"": 5.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""P"", ""value"": 5.0}]",0.0833333333333333,3.44,1.7299999999999998,51.66666666666666,138.2,0.25,13362125382964.031,0.1463483944302358,0.0016,0.0016,exact,0.0016,1.0,-2.795880017344075
9wf,Li12.0Er4.0I24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Er"", ""value"": 3.0}, {""element"": ""I"", ""value"": -1.0}]",0.3,2.66,1.24,97.525,220.00000000000003,0.1,123693614447.82272,0.0307613432453217,0.00065,0.00065,exact,0.00065,1.0,-3.1870866433571443
fwz,Li8.0Si4.0S12.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""S"", ""value"": -2.0}]",0.3333333333333333,2.58,1.9,33.0,184.0,0.1666666666666666,4256886531984.5776,0.1212121212121212,2e-06,2e-06,exact,2e-06,1.0,-5.698970004336019
cy2,La1.28Li0.16Ti2.0O6.0,"[{""element"": ""La"", ""value"": 3.0}, {""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}]",0.0169491525423728,3.44,1.3682926829268294,83.31626016260162,138.2,0.3474576271186441,447826758008.1906,0.0501552908426833,0.000335,0.000335,exact,0.000335,1.0,-3.474955192963155
5tl,La1.24Li0.28Ti2.0O6.0,"[{""element"": ""La"", ""value"": 3.0}, {""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}]",0.0294117647058823,3.44,1.371604938271605,82.87613168724279,138.2,0.3403361344537815,452514215630.786,0.0504631691535756,0.000442,0.000442,exact,0.000442,1.0,-3.354577730650908
u2y,La1.19Li0.43Ti2.0O6.0,"[{""element"": ""La"", ""value"": 3.0}, {""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}]",0.0446985446985446,3.44,1.3758620689655174,82.31044932079415,138.2,0.3316008316008315,458538847684.9055,0.0508588748196126,0.000853,0.000853,exact,0.000853,1.0,-3.0690509688324767
ku9,Li0.4Na0.1La0.5Nb2.0O6.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Na"", ""value"": 1.0}, {""element"": ""La"", ""value"": 3.0}, {""element"": ""Nb"", ""value"": 5.0}, {""element"": ""O"", ""value"": -2.0}]",0.0444444444444444,3.44,1.478076923076923,76.27930402930403,138.2,0.2888888888888889,581866018359.9485,0.0655203580842014,9.92e-06,9.92e-06,exact,9.92e-06,1.0,-5.0034883278458215
9n0,Li0.3Na0.2La0.5Nb2.0O6.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Na"", ""value"": 1.0}, {""element"": ""La"", ""value"": 3.0}, {""element"": ""Nb"", ""value"": 5.0}, {""element"": ""O"", ""value"": -2.0}]",0.0333333333333333,3.44,1.4577777777777778,77.65520282186948,138.2,0.3,561286030594.2944,0.0634202011517051,1.11e-05,1.11e-05,exact,1.11e-05,1.0,-4.954677021213342
h5i,Li0.1Na0.4La0.5Nb2.0O6.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Na"", ""value"": 1.0}, {""element"": ""La"", ""value"": 3.0}, {""element"": ""Nb"", ""value"": 5.0}, {""element"": ""O"", ""value"": -2.0}]",0.0111111111111111,3.44,1.4213793103448276,80.12233169129722,138.2,0.3222222222222222,524383983566.225,0.0596544025141255,1.21e-05,1.21e-05,exact,1.21e-05,1.0,-4.91721462968355
o9h,Li0.07Na0.43La0.5Nb2.0O6.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Na"", ""value"": 1.0}, {""element"": ""La"", ""value"": 3.0}, {""element"": ""Nb"", ""value"": 5.0}, {""element"": ""O"", ""value"": -2.0}]",0.0077777777777777,3.44,1.4163481228668946,80.46335121079149,138.2,0.3255555555555555,519283188669.8537,0.0591338740335045,1.23e-05,1.23e-05,exact,1.23e-05,1.0,-4.910094888560602
0ii,Li0.02Na0.48La0.5Nb2.0O6.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Na"", ""value"": 1.0}, {""element"": ""La"", ""value"": 3.0}, {""element"": ""Nb"", ""value"": 5.0}, {""element"": ""O"", ""value"": -2.0}]",0.0022222222222222,3.44,1.4081879194630875,81.01645893256631,138.2,0.3311111111111111,511010087327.8643,0.0582896164307074,3.99e-06,3.99e-06,exact,3.99e-06,1.0,-5.399027104313252
5fj,Ag0.27Li0.27La1.14Ti2.0O6.0,"[{""element"": ""Ag"", ""value"": 1.0}, {""element"": ""Li"", ""value"": 1.0}, {""element"": ""La"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}]",0.027892561983471,3.44,1.423782991202346,83.65999162128193,138.2,0.3522727272727273,430488812112.45306,0.0479538694661877,2.3e-05,2.3e-05,exact,2.3e-05,1.0,-4.638272163982407
kxh,Pr1.12Li0.68Ti2.0O6.02,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Pr"", ""value"": 3.0}, {""element"": ""Ti"", ""value"": 4.0}]",0.0692464358452138,3.4399999999999995,1.392820512820513,78.2094017094017,138.2,0.3177189409368635,473921630890.40674,0.0521869265144199,1e-06,1e-06,exact,1e-06,1.0,-6.0
ubi,Li16.0In8.0Ti8.0P24.0O96.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""In"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}]",0.1052631578947368,3.44,1.978,38.3,138.2,0.2631578947368421,23536290433869.555,0.1971937287311618,8.3e-06,8.3e-06,exact,8.3e-06,1.0,-5.080921907623926
pbz,Li15.0Ge3.0V1.0O16.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""V"", ""value"": 5.0}]",0.4285714285714285,3.44,1.915,44.6875,138.2,0.1142857142857142,1885231840942.7356,0.0958922379301147,5.66e-06,5.66e-06,exact,5.66e-06,1.0,-5.247183568811729
7ek,Li14.8Ge3.4W0.6O16.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""W"", ""value"": 6.0}]",0.4252873563218391,3.44,1.9635,46.75,138.2,0.1149425287356322,1595397724040.9976,0.0915601023017902,3.8e-05,3.8e-05,exact,3.8e-05,1.0,-4.42021640338319
2uv,Li16.0Sn4.0Se16.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Sn"", ""value"": 4.0}, {""element"": ""Se"", ""value"": -2.0}]",0.4444444444444444,2.55,1.96,69.0,198.0,0.1111111111111111,465678965568.46185,0.0579710144927536,2e-05,2e-05,exact,2e-05,1.0,-4.698970004336019
kmv,Li16.0Sn4.0S16.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Sn"", ""value"": 4.0}, {""element"": ""S"", ""value"": -2.0}]",0.4444444444444444,2.58,1.96,69.0,184.0,0.1111111111111111,465678965568.46185,0.0579710144927536,7e-05,7e-05,exact,7e-05,1.0,-4.154901959985743
kmr,Li20.0Ge1.9Si0.1P4.0S24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4,2.58,2.1281666666666665,26.45,184.0,0.12,26516761659965.0,0.225634865276809,0.0086,0.0086,exact,0.0086,1.0,-2.065501548756432
e6e,Li12.8Ge0.8P3.2O16.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""P"", ""value"": 5.0}]",0.3902439024390244,3.44,2.154,22.800000000000004,138.2,0.1219512195121951,31452076289735.47,0.2526854219948849,1.14e-06,1.14e-06,exact,1.14e-06,1.0,-5.943095148663527
ylh,Li12.8Ge0.8V3.2O16.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""V"", ""value"": 5.0}]",0.3902439024390244,3.44,1.706,41.8,138.2,0.1219512195121951,2575075571670.925,0.11555081355028,1.9e-05,1.9e-05,exact,1.9e-05,1.0,-4.721246399047171
eij,Li13.6Ge1.6P2.4O16.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""P"", ""value"": 5.0}]",0.4047619047619048,3.44,2.118,28.6,138.2,0.119047619047619,23981973844499.99,0.2112531969309463,4.5e-06,4.5e-06,exact,4.5e-06,1.0,-5.346787486224656
efb,Li14.4Ge2.4P1.6O16.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""P"", ""value"": 5.0}]",0.4186046511627906,3.44,2.082,34.4,138.2,0.1162790697674418,16511871399264.514,0.1698209718670076,1.1e-05,1.1e-05,exact,1.1e-05,1.0,-4.958607314841775
lcm,Li14.4Ge2.4V1.6O16.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""V"", ""value"": 5.0}]",0.4186046511627906,3.44,1.858,43.9,138.2,0.1162790697674418,2073371040232.2417,0.1012536676447052,3.19e-05,3.19e-05,exact,3.19e-05,1.0,-4.496209316942819
mgs,Li15.2Ge3.2P0.8O16.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""P"", ""value"": 5.0}]",0.4318181818181817,3.44,2.046,40.2,138.2,0.1136363636363636,9041768954029.035,0.128388746803069,1.03e-06,1.03e-06,exact,1.03e-06,1.0,-5.987162775294828
85t,La4.56Li2.32Ti8.0O24.0,"[{""element"": ""La"", ""value"": 3.0}, {""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}]",0.0596707818930041,3.44,1.3802547770700635,81.72675159235668,138.2,0.3230452674897119,464755347001.8952,0.0512671825769248,0.0016,0.0016,exact,0.0016,1.0,-2.795880017344075
i9a,Li5.0Zn0.5P2.0S8.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Zn"", ""value"": 2.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.3225806451612903,2.58,2.082,27.066666666666663,184.0,0.1612903225806451,31187855197237.668,0.2412347117064647,0.00084,0.00084,exact,0.00084,1.0,-3.0757207139381184
dco,Li4.0Zn1.0P2.0S8.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Zn"", ""value"": 2.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.2666666666666666,2.58,2.01,33.77777777777778,184.0,0.2,26031639505415.484,0.2059794214715589,0.00013,0.00013,exact,0.00013,1.0,-3.886056647693163
tqb,Li3.0Zn1.5P2.0S8.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Zn"", ""value"": 2.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.2068965517241379,2.58,1.9585714285714284,38.57142857142857,184.0,0.2413793103448276,22348628296971.062,0.180797071303769,1.65e-05,1.65e-05,exact,1.65e-05,1.0,-4.782516055786093
1sz,Li0.66La1.12Ti1.94Al0.06O5.94F0.06,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""La"", ""value"": 3.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""F"", ""value"": -1.0}, {""element"": ""Ti"", ""value"": 4.0}]",0.0674846625766871,3.4454000000000007,1.3833974358974357,81.21399572649572,138.12425,0.3190184049079754,476315304957.85065,0.0514101154107267,0.000928,0.000928,exact,0.000928,1.0,-3.032452023781138
yh8,Li0.66La1.12Ti1.92Al0.08O5.92F0.08,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""La"", ""value"": 3.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""F"", ""value"": -1.0}, {""element"": ""Ti"", ""value"": 4.0}]",0.0674846625766871,3.4472,1.383846153846154,81.12264957264956,138.099,0.3190184049079755,479321161335.4258,0.0514020972208903,0.000622,0.000622,exact,0.000622,1.0,-3.2062096153091812
coh,Li0.66La1.12Ti1.9Al0.1O5.9F0.1,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""La"", ""value"": 3.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""F"", ""value"": -1.0}, {""element"": ""Ti"", ""value"": 4.0}]",0.0674846625766871,3.449,1.3842948717948715,81.03130341880342,138.07375,0.3190184049079755,482327017713.00085,0.0513940790310539,0.000176,0.000176,exact,0.000176,1.0,-3.75448733218585
1pw,Li0.66La1.12Ti1.88Al0.12O5.88F0.12,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""La"", ""value"": 3.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""F"", ""value"": -1.0}, {""element"": ""Ti"", ""value"": 4.0}]",0.0674846625766871,3.4508,1.3847435897435898,80.93995726495726,138.04849999999996,0.3190184049079755,485332874090.5759,0.0513860608412176,0.000106,0.000106,exact,0.000106,1.0,-3.9746941347352296
my5,Li0.66La1.12Ti1.84Al0.16O5.84F0.16,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""La"", ""value"": 3.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""F"", ""value"": -1.0}, {""element"": ""Ti"", ""value"": 4.0}]",0.0674846625766871,3.4544,1.3856410256410256,80.75726495726497,137.998,0.3190184049079754,491344586845.726,0.0513700244615448,0.000494,0.000494,exact,0.000494,1.0,-3.306273051076353
hta,La1.13Li0.61Ti2.0O6.0,"[{""element"": ""La"", ""value"": 3.0}, {""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}]",0.0626283367556468,3.44,1.3811501597444091,81.60777422790201,138.2,0.3213552361396303,466022480089.51154,0.0513504095255399,0.000957,0.000957,exact,0.000957,1.0,-3.0190880622231564
s3h,La1.0Li1.0Ti2.0O6.0,"[{""element"": ""La"", ""value"": 3.0}, {""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}]",0.1,3.44,1.393333333333333,79.98888888888888,138.2,0.3,483263937635.01215,0.0524828508730289,0.000925,0.000925,exact,0.000925,1.0,-3.0338582672609675
2lu,La1.1Li0.72Ti2.0O6.0,"[{""element"": ""La"", ""value"": 3.0}, {""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}]",0.0733197556008146,3.44,1.3838709677419354,81.24623655913979,138.2,0.3156822810590631,469872929665.42975,0.0516033120597186,0.000688,0.000688,exact,0.000688,1.0,-3.162411561764489
bd5,La1.08Li0.78Ti2.0O6.0,"[{""element"": ""La"", ""value"": 3.0}, {""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}]",0.0791075050709939,3.44,1.385714285714286,81.00129870129871,138.2,0.3123732251521298,472481567581.5822,0.0517746507895842,0.000651,0.000651,exact,0.000651,1.0,-3.1864190114318083
ukw,La1.04Li0.9Ti2.0O6.0,"[{""element"": ""La"", ""value"": 3.0}, {""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}]",0.090543259557344,3.44,1.3894736842105264,80.5017543859649,138.2,0.3058350100603622,477801815963.2088,0.0521240916202312,0.000501,0.000501,exact,0.000501,1.0,-3.300162274132754
5h8,La1.16Li0.54Ti2.0O6.0,"[{""element"": ""La"", ""value"": 3.0}, {""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}]",0.0556701030927835,3.44,1.3784810126582276,81.96244725738396,138.2,0.3257731958762887,462245140315.6677,0.0511023089382127,0.000599,0.000599,exact,0.000599,1.0,-3.2225731776106885
vwy,La1.12Li0.66Ti2.0O6.0,"[{""element"": ""La"", ""value"": 3.0}, {""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}]",0.0674846625766871,3.44,1.382051282051282,81.48803418803419,138.2,0.3190184049079754,467297735825.1255,0.0514341699802358,0.000668,0.000668,exact,0.000668,1.0,-3.175223537524454
sib,La2.52Li0.44Mg2.0W2.0O12.0,"[{""element"": ""La"", ""value"": 3.0}, {""element"": ""Li"", ""value"": 1.0}, {""element"": ""Mg"", ""value"": 2.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""W"", ""value"": 6.0}]",0.0232067510548523,3.44,1.3484662576687116,83.71104294478529,138.2,0.3438818565400843,619835831445.7682,0.0543553505071848,6.8e-06,6.8e-06,exact,6.8e-06,1.0,-5.167491087293763
r99,La2.48Li0.56Mg2.0W2.0O12.0,"[{""element"": ""La"", ""value"": 3.0}, {""element"": ""Li"", ""value"": 1.0}, {""element"": ""Mg"", ""value"": 2.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""W"", ""value"": 6.0}]",0.0294117647058823,3.44,1.35,83.49341563786008,138.2,0.3403361344537815,623241344661.0015,0.0545352159568563,1.2e-05,1.2e-05,exact,1.2e-05,1.0,-4.920818753952375
52b,Li20.1Ge2.1P3.9S24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4011976047904191,2.58,2.127,27.15,184.0,0.1197604790419161,25849499455808.86,0.2216112531969309,0.0122,0.0122,exact,0.0122,1.0,-1.9136401693252518
8po,Li20.4Ge2.4P3.6S24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4047619047619047,2.58,2.118,28.6,184.0,0.119047619047619,23981973844499.99,0.2112531969309462,0.0132,0.0132,exact,0.0132,1.0,-1.8794260687941502
j8q,Li20.0Ge2.0P4.0S24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4,2.58,2.13,26.666666666666668,184.0,0.12,26472007992911.816,0.2250639386189258,0.0121,0.0121,exact,0.0121,1.0,-1.91721462968355
izs,Li20.85Si2.85P3.15S24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4100294985250737,2.58,2.05225,24.6,184.0,0.1179941002949852,22456164938552.414,0.2119875222816399,0.00527,0.00527,exact,0.00527,1.0,-2.2781893847874533
8nc,Li20.55Si2.55P3.45S24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4065281899109793,2.58,2.0667500000000003,23.8,184.0,0.1186943620178041,24189429548701.74,0.220632798573975,0.00565,0.00565,exact,0.00565,1.0,-2.2479515521805613
