addition_id,ID,DOI,Reduced Composition,True Composition,target_temperature_c,target_temperature_k,source_temperature_c,source_temperature_k,source_conductivity_s_cm,activation_energy_ev,calculation_method,calculated_conductivity_s_cm,stored_conductivity_s_cm,structure_source,structure_temperature_k,structure_status,status,year,added_at,note
ADD-0021,nmx,10.1038/s41467-025-68210-5,Li3.2Zr0.6Al0.4Cl3.6O1.6,Li3.2Zr0.6Al0.4Cl3.6O1.6,,,,,0.00112,,mS_cm_to_S_cm,0.00112,0.00112,not available,,amorphous_no_crystal_structure,active,2026,2026-07-31,Source data/add-data-LZACO.txt; original 1.12 mS/cm
ADD-0022,azb,10.1038/s41467-025-68210-5,Li3.2Zr0.5Al0.5Cl3.5O1.6,Li3.2Zr0.5Al0.5Cl3.5O1.6,,,,,0.000921,,mS_cm_to_S_cm,0.000921,0.000921,not available,,amorphous_no_crystal_structure,active,2026,2026-07-31,Source data/add-data-LZACO.txt; original 0.921 mS/cm
ADD-0023,dax,10.1038/s41467-025-68210-5,Li3.6Zr0.8Al0.2Cl3.8O1.8,Li3.6Zr0.8Al0.2Cl3.8O1.8,,,,,0.000624,,mS_cm_to_S_cm,0.000624,0.000624,not available,,amorphous_no_crystal_structure,active,2026,2026-07-31,Source data/add-data-LZACO.txt; original 0.624 mS/cm
ADD-0024,mny,10.1038/s41467-025-68210-5,Li3.6Zr0.75Al0.25Cl3.75O1.8,Li3.6Zr0.75Al0.25Cl3.75O1.8,,,,,0.000733,,mS_cm_to_S_cm,0.000733,0.000733,not available,,amorphous_no_crystal_structure,active,2026,2026-07-31,Source data/add-data-LZACO.txt; original 0.733 mS/cm
ADD-0025,lim,10.1038/s41467-025-68210-5,Li3.6Zr0.7Al0.3Cl3.7O1.8,Li3.6Zr0.7Al0.3Cl3.7O1.8,,,,,0.001,,mS_cm_to_S_cm,0.001,0.001,not available,,amorphous_no_crystal_structure,active,2026,2026-07-31,Source data/add-data-LZACO.txt; original 1 mS/cm
ADD-0026,edx,10.1038/s41467-025-68210-5,Li3.6Zr0.6Al0.4Cl3.6O1.8,Li3.6Zr0.6Al0.4Cl3.6O1.8,,,,,0.000693,,mS_cm_to_S_cm,0.000693,0.000693,not available,,amorphous_no_crystal_structure,active,2026,2026-07-31,Source data/add-data-LZACO.txt; original 0.693 mS/cm
ADD-0027,wdm,10.1038/s41467-025-68210-5,Li3.6Zr0.5Al0.5Cl3.5O1.8,Li3.6Zr0.5Al0.5Cl3.5O1.8,,,,,0.00036,,mS_cm_to_S_cm,0.00036,0.00036,not available,,amorphous_no_crystal_structure,active,2026,2026-07-31,Source data/add-data-LZACO.txt; original 0.36 mS/cm
ADD-0028,khx,10.1038/s41467-023-39197-8,Li3.2TaCl5O1.6,Li3.2TaCl5O1.6,,,,,0.0066,,direct_S_cm_transcription,0.0066,0.0066,not available,,amorphous_no_crystal_structure,active,2023,2026-07-31,Source data/add-data-LZACO.txt; original 6.6e-3 S/cm
ADD-0029,arj,10.1038/s41467-023-39197-8,Li3TaCl5O1.5,Li3TaCl5O1.5,,,,,0.0058,,direct_S_cm_transcription,0.0058,0.0058,not available,,amorphous_no_crystal_structure,active,2023,2026-07-31,Source data/add-data-LZACO.txt; approximate original 5.8e-3 S/cm
ADD-0030,vuo,10.1038/s41467-023-39197-8,Li2.8TaCl5O1.4,Li2.8TaCl5O1.4,,,,,0.0055,,direct_S_cm_transcription,0.0055,0.0055,not available,,amorphous_no_crystal_structure,active,2023,2026-07-31,Source data/add-data-LZACO.txt; approximate original 5.5e-3 S/cm
ADD-0031,skp,10.1038/s41467-023-39197-8,Li2.4TaCl5O1.2,Li2.4TaCl5O1.2,,,,,0.0054,,direct_S_cm_transcription,0.0054,0.0054,not available,,amorphous_no_crystal_structure,active,2023,2026-07-31,Source data/add-data-LZACO.txt; approximate original 5.4e-3 S/cm
ADD-0032,mvh,10.1038/s41467-023-39197-8,Li2.2TaCl5O1.1,Li2.2TaCl5O1.1,,,,,0.0053,,direct_S_cm_transcription,0.0053,0.0053,not available,,amorphous_no_crystal_structure,active,2023,2026-07-31,Source data/add-data-LZACO.txt; original 5.3e-3 S/cm
ADD-0033,mhg,10.1038/s41467-023-39522-1,Li1.75ZrCl4.75O0.5,Li1.75ZrCl4.75O0.5,25.0,298.15,25.0,298.15,0.00242,,mS_cm_to_S_cm,0.00242,0.00242,not available,,phase_and_structure_not_provided,active,2023,2026-07-31,Source data/add-data-LZACO.txt; curator row 8; O2- substitution; original 2.42 mS/cm at 25 C
ADD-0034,jib,10.1038/s41467-023-39522-1,Li2.5ZrCl5.5O0.5,Li2.5ZrCl5.5O0.5,,,,,0.00117,,mS_cm_to_S_cm,0.00117,0.00117,not available,,phase_and_structure_not_provided,active,2023,2026-07-31,Source data/add-data-LZACO.txt; curator row 16; dual-phase room-temperature sample; corrected from review extraction 1.7 to source value 1.17 mS/cm
ADD-0035,vbk,10.1038/s41467-023-39197-8,Li2TaCl5O,Li2TaCl5O,,,,,0.00041,,direct_S_cm_transcription,0.00041,0.00041,not available,,crystalline_structure_not_provided,active,2023,2026-07-31,Source data/add-data-LZACO.txt; crystalline comparison; original 0.41e-3 S/cm
ADD-0036,fmx,10.1038/s41467-023-39197-8,Li3HfCl4O1.5,Li3HfCl4O1.5,,,,,0.00197,,direct_S_cm_transcription,0.00197,0.00197,not available,,phase_and_structure_not_provided,active,2023,2026-07-31,Source data/add-data-LZACO.txt; original 1.97e-3 S/cm
ADD-0037,qtx,10.1016/j.ensm.2024.103444,Li2ZrCl6,Li2ZrCl6,,,,,0.00012,,mS_cm_to_S_cm,0.00012,0.00012,not available,,crystalline_structure_not_provided,active,2024,2026-07-31,Source data/add-data-LZACO.txt; crystalline; original 0.12 mS/cm; Ea=0.43 eV
ADD-0038,lly,10.1016/j.ensm.2024.103444,Li2.1Zr0.9Al0.1Cl6,Li2.1Zr0.9Al0.1Cl6,,,,,0.00036,,mS_cm_to_S_cm,0.00036,0.00036,not available,,crystalline_structure_not_provided,active,2024,2026-07-31,Source data/add-data-LZACO.txt; crystalline; original 0.36 mS/cm; Ea=0.40 eV
ADD-0039,qiv,10.1016/j.ensm.2024.103444,Li2.15Zr0.85Al0.15Cl6,Li2.15Zr0.85Al0.15Cl6,,,,,0.00065,,mS_cm_to_S_cm,0.00065,0.00065,not available,,crystalline_structure_not_provided,active,2024,2026-07-31,Source data/add-data-LZACO.txt; crystalline; original 0.65 mS/cm; Ea=0.345 eV
ADD-0040,hav,10.1016/j.ensm.2024.103444,Li2.2Zr0.8Al0.2Cl6,Li2.2Zr0.8Al0.2Cl6,,,,,0.00099,,mS_cm_to_S_cm,0.00099,0.00099,not available,,crystalline_structure_not_provided,active,2024,2026-07-31,Source data/add-data-LZACO.txt; crystalline; original 0.99 mS/cm; Ea=0.335 eV
ADD-0041,wys,10.1016/j.ensm.2024.103444,Li2.25Zr0.75Al0.25Cl6,Li2.25Zr0.75Al0.25Cl6,,,,,0.00113,,mS_cm_to_S_cm,0.00113,0.00113,not available,,crystalline_structure_not_provided,active,2024,2026-07-31,Source data/add-data-LZACO.txt; crystalline; original 1.13 mS/cm; Ea=0.29 eV
ADD-0042,uby,10.1016/j.ensm.2024.103444,Li2.3Zr0.7Al0.3Cl6,Li2.3Zr0.7Al0.3Cl6,,,,,0.00087,,mS_cm_to_S_cm,0.00087,0.00087,not available,,crystalline_structure_not_provided,active,2024,2026-07-31,Source data/add-data-LZACO.txt; crystalline; original 0.87 mS/cm; Ea=0.36 eV
ADD-0043,gsp,10.1016/j.ensm.2024.103444,Li2.4Zr0.6Al0.4Cl6,Li2.4Zr0.6Al0.4Cl6,,,,,0.0005,,mS_cm_to_S_cm,0.0005,0.0005,not available,,crystalline_structure_not_provided,active,2024,2026-07-31,Source data/add-data-LZACO.txt; crystalline; original 0.50 mS/cm; Ea=0.40 eV
ADD-0044,nek,10.1016/j.est.2024.111700,Li2ZrCl6,Li2ZrCl6,,,,,0.000397,,direct_S_cm_transcription,0.000397,0.000397,not available,,phase_and_structure_not_provided,active,2024,2026-07-31,Source data/add-data-LZACO.txt; original 3.97e-4 S/cm
ADD-0045,ync,10.1016/j.est.2024.111700,Li3.4ZrCl4.6O1.4,Li3.4ZrCl4.6O1.4,,,,,0.00146,,direct_S_cm_transcription,0.00146,0.00146,not available,,phase_and_structure_not_provided,active,2024,2026-07-31,Source data/add-data-LZACO.txt; original 1.46e-3 S/cm
ADD-0046,er0,10.1021/acsenergylett.9b02599,Li3ErCl6,Li3ErCl6,25.0,298.15,25.0,298.15,0.00009,0.52,figure_digitized_mS_cm_to_S_cm,0.00009,0.00009,article Figure 1c,298.15,phase_region_only_no_matched_structure,active,2020,2026-08-04,Human-verified Figure 1c extraction; curator row 25-1; phase I (trigonal); original 0.09 mS/cm at 25 C
ADD-0047,er1,10.1021/acsenergylett.9b02599,Li2.9Er0.9Zr0.1Cl6,Li2.9Er0.9Zr0.1Cl6,25.0,298.15,25.0,298.15,0.00038,0.46,figure_digitized_mS_cm_to_S_cm,0.00038,0.00038,article Figure 1c,298.15,phase_region_only_no_matched_structure,active,2020,2026-08-04,Human-verified Figure 1c extraction; curator row 25-2; phase I; original 0.38 mS/cm at 25 C
ADD-0048,er2,10.1021/acsenergylett.9b02599,Li2.8Er0.8Zr0.2Cl6,Li2.8Er0.8Zr0.2Cl6,25.0,298.15,25.0,298.15,0.00078,0.39,figure_digitized_mS_cm_to_S_cm,0.00078,0.00078,article Figure 1c,298.15,phase_region_only_no_matched_structure,active,2020,2026-08-04,Human-verified Figure 1c extraction; curator row 25-3; phase II+III; original 0.78 mS/cm at 25 C
ADD-0049,er3,10.1021/acsenergylett.9b02599,Li2.75Er0.75Zr0.25Cl6,Li2.75Er0.75Zr0.25Cl6,25.0,298.15,25.0,298.15,0.0008,0.39,figure_digitized_mS_cm_to_S_cm,0.0008,0.0008,article Figure 1c,298.15,phase_region_only_no_matched_structure,active,2020,2026-08-04,Human-verified Figure 1c extraction; curator row 25-4; phase II+III; original 0.80 mS/cm at 25 C
ADD-0050,er4,10.1021/acsenergylett.9b02599,Li2.7Er0.7Zr0.3Cl6,Li2.7Er0.7Zr0.3Cl6,25.0,298.15,25.0,298.15,0.0011,0.375,figure_digitized_mS_cm_to_S_cm,0.0011,0.0011,article Figure 1c,298.15,phase_region_only_no_matched_structure,active,2020,2026-08-04,Human-verified Figure 1c extraction; curator row 25-5; phase II+III; original 1.1 mS/cm at 25 C
ADD-0051,er5,10.1021/acsenergylett.9b02599,Li2.633Er0.633Zr0.367Cl6,Li2.633Er0.633Zr0.367Cl6,25.0,298.15,25.0,298.15,0.0011,0.35,figure_digitized_mS_cm_to_S_cm,0.0011,0.0011,article Figure 1c,298.15,phase_region_only_no_matched_structure,active,2020,2026-08-04,Human-verified Figure 1c extraction with composition aligned to article text x=0.367; curator row 25-6; phase III (orthorhombic); original 1.1 mS/cm at 25 C
ADD-0052,er6,10.1021/acsenergylett.9b02599,Li2.5Er0.5Zr0.5Cl6,Li2.5Er0.5Zr0.5Cl6,25.0,298.15,25.0,298.15,0.00095,0.34,figure_digitized_mS_cm_to_S_cm,0.00095,0.00095,article Figure 1c,298.15,phase_region_only_no_matched_structure,active,2020,2026-08-04,Human-verified Figure 1c extraction; curator row 25-7; phase III; original 0.95 mS/cm at 25 C
ADD-0053,er7,10.1021/acsenergylett.9b02599,Li2.4Er0.4Zr0.6Cl6,Li2.4Er0.4Zr0.6Cl6,25.0,298.15,25.0,298.15,0.00085,0.355,figure_digitized_mS_cm_to_S_cm,0.00085,0.00085,article Figure 1c,298.15,phase_region_only_no_matched_structure,active,2020,2026-08-04,Human-verified Figure 1c extraction; curator row 25-8; phase III; original 0.85 mS/cm at 25 C
ADD-0054,er8,10.1021/acsenergylett.9b02599,Li2.2Er0.2Zr0.8Cl6,Li2.2Er0.2Zr0.8Cl6,25.0,298.15,25.0,298.15,0.00045,0.375,figure_digitized_mS_cm_to_S_cm,0.00045,0.00045,article Figure 1c,298.15,phase_region_only_no_matched_structure,active,2020,2026-08-04,Human-verified Figure 1c extraction; curator row 25-9; phase III; original 0.45 mS/cm at 25 C
ADD-0055,yz0,10.1021/acsenergylett.9b02599,Li3YCl6,Li3YCl6,25.0,298.15,25.0,298.15,0.00007,0.50,figure_digitized_mS_cm_to_S_cm,0.00007,0.00007,article Figure 1d,298.15,phase_region_only_no_matched_structure,active,2020,2026-08-04,Human-verified Figure 1d extraction; curator row 26-1; phase I (trigonal); original 0.07 mS/cm at 25 C
ADD-0056,yz1,10.1021/acsenergylett.9b02599,Li2.9Y0.9Zr0.1Cl6,Li2.9Y0.9Zr0.1Cl6,25.0,298.15,25.0,298.15,0.00032,0.43,figure_digitized_mS_cm_to_S_cm,0.00032,0.00032,article Figure 1d,298.15,phase_region_only_no_matched_structure,active,2020,2026-08-04,Human-verified Figure 1d extraction; curator row 26-2; phase I; original 0.32 mS/cm at 25 C
ADD-0057,yz2,10.1021/acsenergylett.9b02599,Li2.8Y0.8Zr0.2Cl6,Li2.8Y0.8Zr0.2Cl6,25.0,298.15,25.0,298.15,0.00095,0.37,figure_digitized_mS_cm_to_S_cm,0.00095,0.00095,article Figure 1d,298.15,phase_region_only_no_matched_structure,active,2020,2026-08-04,Human-verified Figure 1d extraction; curator row 26-3; phase I+II; original 0.95 mS/cm at 25 C
ADD-0058,yz3,10.1021/acsenergylett.9b02599,Li2.75Y0.75Zr0.25Cl6,Li2.75Y0.75Zr0.25Cl6,25.0,298.15,25.0,298.15,0.001,0.375,figure_digitized_mS_cm_to_S_cm,0.001,0.001,article Figure 1d,298.15,phase_region_only_no_matched_structure,active,2020,2026-08-04,Human-verified Figure 1d extraction; curator row 26-4; phase I+II; original 1.0 mS/cm at 25 C
ADD-0059,yz4,10.1021/acsenergylett.9b02599,Li2.7Y0.7Zr0.3Cl6,Li2.7Y0.7Zr0.3Cl6,25.0,298.15,25.0,298.15,0.0012,0.36,figure_digitized_mS_cm_to_S_cm,0.0012,0.0012,article Figure 1d,298.15,phase_region_only_no_matched_structure,active,2020,2026-08-04,Human-verified Figure 1d extraction; curator row 26-5; phase I+II; original 1.2 mS/cm at 25 C
ADD-0060,yz5,10.1021/acsenergylett.9b02599,Li2.633Y0.633Zr0.367Cl6,Li2.633Y0.633Zr0.367Cl6,25.0,298.15,25.0,298.15,0.0013,0.345,figure_digitized_mS_cm_to_S_cm,0.0013,0.0013,article Figure 1d,298.15,phase_region_only_no_matched_structure,active,2020,2026-08-04,Human-verified Figure 1d extraction with composition aligned to article text x=0.367; curator row 26-6; phase III; original 1.3 mS/cm at 25 C
ADD-0061,yz6,10.1021/acsenergylett.9b02599,Li2.4Y0.4Zr0.6Cl6,Li2.4Y0.4Zr0.6Cl6,25.0,298.15,25.0,298.15,0.00095,0.34,figure_digitized_mS_cm_to_S_cm,0.00095,0.00095,article Figure 1d,298.15,phase_region_only_no_matched_structure,active,2020,2026-08-04,Human-verified Figure 1d extraction; curator row 26-8; phase III; original 0.95 mS/cm at 25 C
ADD-0062,yz7,10.1021/acsenergylett.9b02599,Li2.5Y0.5Zr0.5Cl6,Li2.5Y0.5Zr0.5Cl6,25.0,298.15,25.0,298.15,0.0014,0.335,figure_digitized_mS_cm_to_S_cm,0.0014,0.0014,article Figure 1d,298.15,phase_region_only_no_matched_structure,active,2020,2026-08-04,Human-verified Figure 1d extraction; curator row 26-7; phase III (orthorhombic); original 1.4 mS/cm at 25 C; existing OBLiX record retained
ADD-0063,v01,10.1002/anie.202217581,LiTaOCl4,LiTaOCl4,,,,,0.0124,,review_table_mS_cm_to_S_cm,0.0124,0.0124,review table,,phase_and_structure_not_imported,active,2023,2026-08-04,Curator row 1; ball-milled and annealed oxychloride; original 12.4 mS/cm
ADD-0064,v02,10.1002/anie.202217581,LiNbOCl4,LiNbOCl4,,,,,0.0104,,publisher_abstract_mS_cm_to_S_cm,0.0104,0.0104,publisher abstract,,phase_and_structure_not_imported,active,2023,2026-08-04,Curator row 2; ball-milled and annealed oxychloride; corrected from LLM value 10.7 to source value 10.4 mS/cm
ADD-0065,v05,10.1021/jacs.0c00134,Li3ScCl6,Li3ScCl6,,,,,0.00302,,review_table_mS_cm_to_S_cm,0.00302,0.00302,review table,,phase_and_structure_not_imported,active,2020,2026-08-04,Curator row 5; high-temperature solid-state synthesis and annealing; monoclinic; original 3.02 mS/cm
ADD-0066,v06,10.1038/s41586-023-05899-8,Li0.388Ta0.238La0.475Cl3,Li0.388Ta0.238La0.475Cl3,,,,,0.00302,,review_table_mS_cm_to_S_cm,0.00302,0.00302,review table,,phase_and_structure_not_imported,active,2023,2026-08-04,Curator row 6; Ta5+ doped and ball-milled; original 3.02 mS/cm
ADD-0067,v09,10.1016/j.cej.2022.140509,Li2.5Sc0.5Zr0.5Cl6,Li2.5Sc0.5Zr0.5Cl6,25.0,298.15,25.0,298.15,0.00223,,review_table_mS_cm_to_S_cm,0.00223,0.00223,review table,298.15,phase_and_structure_not_imported,active,2023,2026-08-04,Curator row 9; Zr4+ doped; original 2.23 mS/cm at 25 C
ADD-0068,v10,10.1016/j.cej.2021.130630,Li2.5Y0.5Zr0.5Cl6,Li2.5Y0.5Zr0.5Cl6,,,,,0.0021,,review_table_mS_cm_to_S_cm,0.0021,0.0021,review table,,phase_and_structure_not_imported,active,2021,2026-08-04,Curator row 10; ball-milled and annealed; trigonal; tabulated value 2.1 mS/cm
ADD-0069,v11,10.1016/j.cej.2022.135413,Li2.7Zr0.3In0.7Cl6,Li2.7Zr0.3In0.7Cl6,30.0,303.15,30.0,303.15,0.0021,,review_table_mS_cm_to_S_cm,0.0021,0.0021,review table,303.15,phase_and_structure_not_imported,active,2022,2026-08-04,Curator row 11; Zr4+ doped; original 2.1 mS/cm at 30 C
ADD-0070,v12,10.1002/anie.201909805,Li3InCl6,Li3InCl6,25.0,298.15,25.0,298.15,0.00204,,direct_source_mS_cm_to_S_cm,0.00204,0.00204,article and review table,298.15,phase_and_structure_not_imported,active,2019,2026-08-04,Curator row 12; water-mediated synthesis and vacuum dehydration at 200 C; original 2.04 mS/cm at 25 C
ADD-0071,v13,10.1038/s41560-021-00952-0,Li2In0.333333Sc0.333333Cl4,Li2In0.333333Sc0.333333Cl4,,,,,0.002,,review_table_mS_cm_to_S_cm,0.002,0.002,review table,,phase_and_structure_not_imported,active,2022,2026-08-04,Curator row 13; high-temperature solid-state synthesis; spinel phase; original 2.0 mS/cm
ADD-0073,v15,10.1016/j.cej.2022.135413,Li2.5Zr0.5In0.5Cl6,Li2.5Zr0.5In0.5Cl6,,,,,0.0018,,review_table_mS_cm_to_S_cm,0.0018,0.0018,review table,,phase_and_structure_not_imported,active,2022,2026-08-04,Curator row 15; ball-milled and annealed; monoclinic; original 1.8 mS/cm
ADD-0074,v17,10.1021/acsenergylett.0c01690,Li3YBr3Cl3,Li3YBr3Cl3,,,,,0.0016,,review_table_mS_cm_to_S_cm,0.0016,0.0016,review table,,phase_and_structure_not_imported,active,2020,2026-08-04,Curator row 17; ball-milled and annealed; original 1.6 mS/cm
ADD-0075,v18,10.1016/j.nanoen.2021.106674,Li2.556Yb0.492Zr0.492Cl6,Li2.556Yb0.492Zr0.492Cl6,,,,,0.00158,,review_table_mS_cm_to_S_cm,0.00158,0.00158,review table,,phase_and_structure_not_imported,active,2022,2026-08-04,Curator row 18; orthorhombic and annealed; corrected DOI; original 1.58 mS/cm
ADD-0076,v19,10.1021/acs.chemmater.1c01348,Li2.9In0.9Zr0.1Cl6,Li2.9In0.9Zr0.1Cl6,20.0,293.15,20.0,293.15,0.00154,,review_table_mS_cm_to_S_cm,0.00154,0.00154,review table,293.15,phase_and_structure_not_imported,active,2021,2026-08-04,Curator row 19; Zr4+ doped; original 1.54 mS/cm at 20 C
ADD-0077,v20,10.1039/D0EE01017K,Li2Sc0.666667Cl4,Li2Sc0.666667Cl4,,,,,0.0015,,review_table_mS_cm_to_S_cm,0.0015,0.0015,review table,,phase_and_structure_not_imported,active,2020,2026-08-04,Curator row 20; high-temperature solid-state synthesis for 48 h; disordered spinel; original 1.5 mS/cm
ADD-0078,v21,10.1016/j.cej.2021.130630,Li2.6Yb0.6Hf0.4Cl6,Li2.6Yb0.6Hf0.4Cl6,,,,,0.0015,,review_table_mS_cm_to_S_cm,0.0015,0.0015,review table,,phase_and_structure_not_imported,active,2021,2026-08-04,Curator row 21; ball-milled and annealed; monoclinic; original 1.5 mS/cm
ADD-0079,v22,10.1016/j.nanoen.2020.105015,Li3InCl6,Li3InCl6,,,,,0.0015,,review_table_mS_cm_to_S_cm,0.0015,0.0015,review table,,phase_and_structure_not_imported,active,2020,2026-08-04,Curator row 22; aqueous in situ growth on LiCoO2 surface; original 1.5 mS/cm
