ID,True Composition,Z_by_element,n_Li,χ⁻,χ⁺(excl Li⁺),r⁺(excl Li⁺) (pm),r⁻ (pm),nₕₒₛₜ cₐₜᵢₒₙ,ρ⁺(excl Li⁺) (C m⁻³),Φ⁺(excl Li⁺) (|Z| pm⁻¹),Ionic conductivity (S cm-1)
cy2,La1.28Li0.16Ti2.0O6.0,"[{""element"": ""La"", ""value"": 3.0}, {""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}]",0.01694915254237288,3.44,1.3682926829268294,83.31626016260162,138.2,0.3474576271186441,447826758008.1906,0.050155290842683324,0.000335
5tl,La1.24Li0.28Ti2.0O6.0,"[{""element"": ""La"", ""value"": 3.0}, {""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}]",0.029411764705882356,3.44,1.371604938271605,82.87613168724279,138.2,0.3403361344537815,452514215630.786,0.0504631691535756,0.000442
u2y,La1.19Li0.43Ti2.0O6.0,"[{""element"": ""La"", ""value"": 3.0}, {""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}]",0.044698544698544694,3.44,1.3758620689655174,82.31044932079415,138.2,0.33160083160083154,458538847684.9055,0.050858874819612696,0.000853
ku9,Li0.4Na0.1La0.5Nb2.0O6.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Na"", ""value"": 1.0}, {""element"": ""La"", ""value"": 3.0}, {""element"": ""Nb"", ""value"": 5.0}, {""element"": ""O"", ""value"": -2.0}]",0.044444444444444446,3.44,1.478076923076923,76.27930402930403,138.2,0.2888888888888889,581866018359.9485,0.06552035808420148,9.92e-06
9n0,Li0.3Na0.2La0.5Nb2.0O6.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Na"", ""value"": 1.0}, {""element"": ""La"", ""value"": 3.0}, {""element"": ""Nb"", ""value"": 5.0}, {""element"": ""O"", ""value"": -2.0}]",0.03333333333333333,3.44,1.4577777777777778,77.65520282186948,138.2,0.30000000000000004,561286030594.2944,0.06342020115170516,1.11e-05
h5i,Li0.1Na0.4La0.5Nb2.0O6.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Na"", ""value"": 1.0}, {""element"": ""La"", ""value"": 3.0}, {""element"": ""Nb"", ""value"": 5.0}, {""element"": ""O"", ""value"": -2.0}]",0.011111111111111112,3.44,1.4213793103448276,80.12233169129722,138.2,0.3222222222222222,524383983566.22504,0.05965440251412558,1.21e-05
o9h,Li0.07Na0.43La0.5Nb2.0O6.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Na"", ""value"": 1.0}, {""element"": ""La"", ""value"": 3.0}, {""element"": ""Nb"", ""value"": 5.0}, {""element"": ""O"", ""value"": -2.0}]",0.007777777777777778,3.44,1.4163481228668946,80.46335121079149,138.2,0.32555555555555554,519283188669.8537,0.05913387403350451,1.23e-05
0ii,Li0.02Na0.48La0.5Nb2.0O6.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Na"", ""value"": 1.0}, {""element"": ""La"", ""value"": 3.0}, {""element"": ""Nb"", ""value"": 5.0}, {""element"": ""O"", ""value"": -2.0}]",0.0022222222222222222,3.44,1.4081879194630875,81.01645893256631,138.2,0.33111111111111113,511010087327.8643,0.058289616430707465,3.99e-06
5fj,Ag0.27Li0.27La1.14Ti2.0O6.0,"[{""element"": ""Ag"", ""value"": 1.0}, {""element"": ""Li"", ""value"": 1.0}, {""element"": ""La"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}]",0.02789256198347108,3.44,1.423782991202346,83.65999162128193,138.2,0.3522727272727273,430488812112.45306,0.04795386946618773,2.3e-05
kxh,Pr1.12Li0.68Ti2.0O6.02,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Pr"", ""value"": 3.0}, {""element"": ""Ti"", ""value"": 4.0}]",0.06924643584521385,3.4399999999999995,1.392820512820513,78.2094017094017,138.2,0.31771894093686354,473921630890.40674,0.05218692651441996,1e-06
ubi,Li16.0In8.0Ti8.0P24.0O96.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""In"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}]",0.10526315789473684,3.44,1.9780000000000002,38.3,138.2,0.2631578947368421,23536290433869.555,0.19719372873116187,8.3e-06
pbz,Li15.0Ge3.0V1.0O16.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""V"", ""value"": 5.0}]",0.42857142857142855,3.44,1.9149999999999998,44.6875,138.2,0.11428571428571428,1885231840942.7354,0.0958922379301147,5.66e-06
7ek,Li14.8Ge3.4W0.6O16.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""W"", ""value"": 6.0}]",0.4252873563218391,3.44,1.9634999999999998,46.75,138.2,0.1149425287356322,1595397724040.9976,0.09156010230179026,3.8e-05
2uv,Li16.0Sn4.0Se16.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Sn"", ""value"": 4.0}, {""element"": ""Se"", ""value"": -2.0}]",0.4444444444444444,2.55,1.96,69.0,198.0,0.1111111111111111,465678965568.46185,0.057971014492753624,2e-05
kmv,Li16.0Sn4.0S16.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Sn"", ""value"": 4.0}, {""element"": ""S"", ""value"": -2.0}]",0.4444444444444444,2.58,1.96,69.0,184.0,0.1111111111111111,465678965568.46185,0.057971014492753624,7e-05
kmr,Li20.0Ge1.9Si0.1P4.0S24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4,2.58,2.1281666666666665,26.45,184.0,0.12,26516761659965.0,0.225634865276809,0.0086
e6e,Li12.8Ge0.8P3.2O16.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""P"", ""value"": 5.0}]",0.39024390243902446,3.44,2.154,22.800000000000004,138.2,0.12195121951219513,31452076289735.47,0.2526854219948849,1.14e-06
ylh,Li12.8Ge0.8V3.2O16.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""V"", ""value"": 5.0}]",0.39024390243902446,3.44,1.706,41.800000000000004,138.2,0.12195121951219513,2575075571670.925,0.11555081355028007,1.9e-05
eij,Li13.6Ge1.6P2.4O16.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""P"", ""value"": 5.0}]",0.4047619047619048,3.44,2.118,28.6,138.2,0.11904761904761907,23981973844499.99,0.2112531969309463,4.5e-06
efb,Li14.4Ge2.4P1.6O16.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""P"", ""value"": 5.0}]",0.41860465116279066,3.44,2.082,34.4,138.2,0.11627906976744184,16511871399264.514,0.16982097186700768,1.1e-05
lcm,Li14.4Ge2.4V1.6O16.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""V"", ""value"": 5.0}]",0.41860465116279066,3.44,1.8579999999999997,43.9,138.2,0.11627906976744184,2073371040232.2417,0.10125366764470525,3.19e-05
mgs,Li15.2Ge3.2P0.8O16.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""P"", ""value"": 5.0}]",0.43181818181818177,3.44,2.046,40.2,138.2,0.11363636363636363,9041768954029.037,0.12838874680306905,1.03e-06
85t,La4.56Li2.32Ti8.0O24.0,"[{""element"": ""La"", ""value"": 3.0}, {""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}]",0.05967078189300412,3.44,1.3802547770700637,81.72675159235668,138.2,0.32304526748971196,464755347001.89514,0.05126718257692486,0.0016
i9a,Li5.0Zn0.5P2.0S8.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Zn"", ""value"": 2.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.3225806451612903,2.58,2.082,27.066666666666663,184.0,0.16129032258064516,31187855197237.668,0.24123471170646477,0.00084
dco,Li4.0Zn1.0P2.0S8.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Zn"", ""value"": 2.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.26666666666666666,2.58,2.01,33.77777777777778,184.0,0.2,26031639505415.484,0.20597942147155893,0.00013
tqb,Li3.0Zn1.5P2.0S8.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Zn"", ""value"": 2.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.20689655172413793,2.58,1.9585714285714284,38.57142857142857,184.0,0.2413793103448276,22348628296971.062,0.18079707130376904,1.65e-05
1sz,Li0.66La1.12Ti1.94Al0.06O5.94F0.06,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""La"", ""value"": 3.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""F"", ""value"": -1.0}, {""element"": ""Ti"", ""value"": 4.0}]",0.06748466257668712,3.4454000000000007,1.3833974358974357,81.21399572649572,138.12425,0.31901840490797545,476315304957.85065,0.05141011541072673,0.000928
yh8,Li0.66La1.12Ti1.92Al0.08O5.92F0.08,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""La"", ""value"": 3.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""F"", ""value"": -1.0}, {""element"": ""Ti"", ""value"": 4.0}]",0.06748466257668713,3.4472,1.383846153846154,81.12264957264956,138.099,0.3190184049079755,479321161335.4258,0.05140209722089036,0.000622
coh,Li0.66La1.12Ti1.9Al0.1O5.9F0.1,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""La"", ""value"": 3.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""F"", ""value"": -1.0}, {""element"": ""Ti"", ""value"": 4.0}]",0.06748466257668713,3.449,1.3842948717948715,81.03130341880342,138.07375,0.3190184049079755,482327017713.00085,0.05139407903105399,0.000176
1pw,Li0.66La1.12Ti1.88Al0.12O5.88F0.12,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""La"", ""value"": 3.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""F"", ""value"": -1.0}, {""element"": ""Ti"", ""value"": 4.0}]",0.06748466257668713,3.4507999999999996,1.3847435897435898,80.93995726495726,138.04849999999996,0.3190184049079755,485332874090.57587,0.05138606084121762,0.000106
my5,Li0.66La1.12Ti1.84Al0.16O5.84F0.16,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""La"", ""value"": 3.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""F"", ""value"": -1.0}, {""element"": ""Ti"", ""value"": 4.0}]",0.06748466257668712,3.4544,1.3856410256410256,80.75726495726497,137.998,0.31901840490797545,491344586845.726,0.05137002446154488,0.000494
hta,La1.13Li0.61Ti2.0O6.0,"[{""element"": ""La"", ""value"": 3.0}, {""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}]",0.06262833675564682,3.44,1.3811501597444091,81.60777422790201,138.2,0.32135523613963035,466022480089.51154,0.05135040952553992,0.000957
s3h,La1.0Li1.0Ti2.0O6.0,"[{""element"": ""La"", ""value"": 3.0}, {""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}]",0.1,3.44,1.3933333333333333,79.98888888888888,138.2,0.3,483263937635.01215,0.052482850873028924,0.000925
2lu,La1.1Li0.72Ti2.0O6.0,"[{""element"": ""La"", ""value"": 3.0}, {""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}]",0.07331975560081466,3.44,1.3838709677419354,81.24623655913979,138.2,0.31568228105906315,469872929665.42975,0.0516033120597186,0.000688
bd5,La1.08Li0.78Ti2.0O6.0,"[{""element"": ""La"", ""value"": 3.0}, {""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}]",0.07910750507099393,3.44,1.385714285714286,81.00129870129871,138.2,0.31237322515212984,472481567581.5822,0.05177465078958426,0.000651
ukw,La1.04Li0.9Ti2.0O6.0,"[{""element"": ""La"", ""value"": 3.0}, {""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}]",0.09054325955734407,3.44,1.3894736842105264,80.5017543859649,138.2,0.3058350100603622,477801815963.2088,0.052124091620231294,0.000501
5h8,La1.16Li0.54Ti2.0O6.0,"[{""element"": ""La"", ""value"": 3.0}, {""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}]",0.055670103092783516,3.44,1.3784810126582276,81.96244725738396,138.2,0.3257731958762887,462245140315.6677,0.05110230893821272,0.000599
vwy,La1.12Li0.66Ti2.0O6.0,"[{""element"": ""La"", ""value"": 3.0}, {""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}]",0.06748466257668712,3.44,1.382051282051282,81.48803418803419,138.2,0.31901840490797545,467297735825.1255,0.05143416998023586,0.000668
sib,La2.52Li0.44Mg2.0W2.0O12.0,"[{""element"": ""La"", ""value"": 3.0}, {""element"": ""Li"", ""value"": 1.0}, {""element"": ""Mg"", ""value"": 2.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""W"", ""value"": 6.0}]",0.02320675105485232,3.44,1.3484662576687116,83.71104294478529,138.2,0.34388185654008435,619835831445.7682,0.05435535050718486,6.8e-06
r99,La2.48Li0.56Mg2.0W2.0O12.0,"[{""element"": ""La"", ""value"": 3.0}, {""element"": ""Li"", ""value"": 1.0}, {""element"": ""Mg"", ""value"": 2.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""W"", ""value"": 6.0}]",0.029411764705882356,3.44,1.35,83.49341563786008,138.2,0.3403361344537815,623241344661.0015,0.0545352159568563,1.2e-05
52b,Li20.1Ge2.1P3.9S24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.40119760479041916,2.58,2.1270000000000002,27.150000000000002,184.0,0.11976047904191617,25849499455808.86,0.22161125319693095,0.0122
8po,Li20.4Ge2.4P3.6S24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.40476190476190477,2.58,2.118,28.599999999999998,184.0,0.11904761904761905,23981973844499.99,0.21125319693094627,0.0132
j8q,Li20.0Ge2.0P4.0S24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4,2.58,2.13,26.666666666666668,184.0,0.12,26472007992911.816,0.22506393861892585,0.0121
izs,Li20.85Si2.85P3.15S24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.41002949852507375,2.58,2.05225,24.599999999999998,184.0,0.11799410029498525,22456164938552.418,0.21198752228163995,0.00527
8nc,Li20.55Si2.55P3.45S24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4065281899109793,2.58,2.0667500000000003,23.8,184.0,0.11869436201780416,24189429548701.74,0.22063279857397508,0.00565
xga,Li20.01Sn1.98P4.02S24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Sn"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.40011997600479904,2.58,2.1141,34.16,184.0,0.11997600479904018,26231533811068.125,0.2161892583120205,0.00373
sg4,Li19.71Sn1.68P4.32S24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Sn"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.39649969824984915,2.58,2.1256,31.560000000000002,184.0,0.12070006035003017,28154358799538.254,0.22799658994032398,0.00436
ns3,Li19.62Sn1.62P4.38S24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Sn"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.39540507859733975,2.58,2.1279,31.040000000000003,184.0,0.12091898428053204,28538923797232.277,0.23035805626598468,0.00496
9lx,Li20.0Sn2.0P4.0S24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Sn"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4,2.58,2.1133333333333333,34.333333333333336,184.0,0.12,26103345478503.453,0.2154021028701336,0.007
mtn,Li20.0Ge2.0P4.0S24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4,2.58,2.13,26.666666666666668,184.0,0.12,26472007992911.816,0.22506393861892585,0.0246
9rc,Li20.0Ge1.55Sn0.45P4.0S24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""Sn"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4,2.58,2.12625,28.391666666666666,184.0,0.12,26389058927169.934,0.22289002557544757,0.0141
13q,Li20.0Sn2.0P4.0S24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Sn"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4,2.58,2.1133333333333333,34.333333333333336,184.0,0.12,26103345478503.453,0.2154021028701336,0.00398
ik8,Li20.0Ge0.83Sn1.17P4.0S24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""Sn"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4,2.58,2.12025,31.151666666666667,184.0,0.12,26256340421982.92,0.21941176470588233,0.00743
nip,Li19.62Sn1.62P4.38S24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Sn"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.39540507859733975,2.58,2.1279,31.040000000000003,184.0,0.12091898428053204,28538923797232.277,0.23035805626598468,0.0055
1hh,Li20.0Ge2.0P4.0S24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4,2.58,2.13,26.666666666666668,184.0,0.12,26472007992911.816,0.22506393861892585,0.012
