ID,True Composition,Z_by_element,χₐₗₗ,χ⁻,χ⁺(incl Li⁺),χ⁺(excl Li⁺),χ⁺(incl Li⁺) - χ⁻,χ⁺(excl Li⁺) - χ⁻,χₘₐₓ - χₘᵢₙ,rₐₗₗ (pm),r⁻ (pm),r⁺(incl Li⁺) (pm),r⁺(excl Li⁺) (pm),r⁺(excl Li⁺) - r⁻,r⁺(incl Li⁺) - r⁻,r⁺(excl Li⁺) / r⁻,r⁺(incl Li⁺) / r⁻,ρₐₗₗ (C m⁻³),ρ⁻ (C m⁻³),ρ⁺(incl Li⁺) (C m⁻³),ρ⁺(excl Li⁺) (C m⁻³),ρ⁺(incl Li⁺) / ρ⁻,ρ⁺(incl Li⁺) - ρ⁻,Φ⁺(incl Li⁺) (|Z| pm⁻¹),Φ⁺(excl Li⁺) (|Z| pm⁻¹),nₕₐₗᵢdₑ,nₕₒₛₜ cₐₜᵢₒₙ,nₐₙᵢₒₙ,n_Li,Ionic conductivity (S cm-1),ir_mean_nonLi,d_electrons_mean_nonLi,covalent_radius_mean_nonLi,cation_entropy,d_electrons_std_nonLi,s_electrons_mean_nonLi,p_electrons_mean_nonLi,atomic_mass_mean_nonLi,ir_std_nonLi,n_elements
5e2,Li86.4Si14.4P9.6S96.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",1.8446511627906976,2.58,1.2052173913043476,2.016,-1.3747826086956525,-0.5640000000000001,1.6,116.93023255813954,184.0,58.60869565217391,26.6,-157.4,-125.3913043478261,0.1445652173913043,0.3185255198487712,2165092477105.872,12278644599.949677,4037104505371.8906,18123003413179.125,328.7907286923539,4024825860771.941,0.0529799271487251,0.1903743315508021,0.0,0.1162790697674418,0.4651162790697674,0.4186046511627907,7.19e-05,136.0,0.0,101.2,0.0,0.0,6.000000000000001,9.68,31.500160960000002,68.0,4
dj2,Li81.6Si9.6P14.4S96.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",1.872142857142857,2.58,1.2286363636363635,2.074,-1.3513636363636363,-0.5060000000000002,1.6,117.72619047619048,184.0,57.477272727272734,23.4,-160.6,-126.52272727272728,0.1271739130434782,0.3123764822134388,3039045569280.478,12278644599.949677,5790651864444.596,25056061853776.4,471.60350780641767,5778373219844.646,0.0625740470660256,0.2249554367201426,0.0,0.119047619047619,0.4761904761904762,0.4047619047619047,0.000662,136.0,0.0,100.80000000000001,0.0,0.0,6.000000000000001,9.72,31.615691440000003,68.0,4
10u,Li76.8Si4.8P19.2S96.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",1.9009756097560973,2.58,1.2542857142857142,2.132,-1.3257142857142858,-0.4480000000000004,1.6,118.56097560975608,184.0,56.238095238095234,20.2,-163.8,-127.76190476190476,0.1097826086956521,0.3056418219461697,3955630519609.9424,12278644599.949677,7711203733905.175,31989120294373.67,628.0175039789635,7698925089305.226,0.0730818926897358,0.2595365418894831,0.0,0.1219512195121951,0.4878048780487805,0.3902439024390243,3.2e-06,136.0,0.0,100.4,0.0,0.0,6.000000000000001,9.76,31.731221920000003,68.0,4
y2l,Li10.0Al2.0S8.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""S"", ""value"": -2.0}]",1.6830000000000005,2.58,1.0850000000000002,1.61,-1.495,-0.97,1.6,111.975,184.0,63.958333333333336,46.25,-137.75,-120.04166666666666,0.2513586956521739,0.3475996376811594,183062677825.8899,12278644599.949677,296918699976.5167,1159738156065.2483,24.181716276545185,284640055376.567,0.0231564898231564,0.0648648648648648,0.0,0.1,0.4,0.5,1.4e-09,149.5,0.0,105.0,0.0,0.0,6.000000000000001,9.4,31.04830772,41.0,3
gl0,Li8.4Si1.6Al0.4S8.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""S"", ""value"": -2.0}]",1.7693478260869566,2.58,1.1457692307692309,1.842,-1.4342307692307694,-0.738,1.6,114.69021739130436,184.0,61.37499999999999,35.650000000000006,-148.35,-122.625,0.19375,0.3335597826086956,457484959998.62463,12278644599.949677,799951356459.1437,3637456856800.712,65.14980948812723,787672711859.194,0.0331086331086331,0.1099426699426699,0.0,0.108695652173913,0.4347826086956522,0.4565217391304348,2.4e-08,138.7,0.0,102.6,0.0,0.0,6.000000000000001,9.56,31.224941544000004,63.75390184137752,4
wmr,Li8.8Si1.2Al0.8S8.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""S"", ""value"": -2.0}]",1.7463829787234042,2.58,1.1288888888888888,1.784,-1.4511111111111112,-0.796,1.6,113.96808510638296,184.0,62.09259259259259,38.3,-145.7,-121.90740740740742,0.2081521739130434,0.3374597423510467,384500310484.59937,12278644599.949677,660220062991.7473,3018027181616.846,53.76978359602112,647941418391.7976,0.0303441488626673,0.0986732186732186,0.0,0.1063829787234042,0.425531914893617,0.4680851063829787,3.05e-08,141.4,0.0,103.2,0.0,0.0,6.000000000000001,9.52,31.180783088000002,59.0807921409319,4
xxq,Li9.2Si0.8Al1.2S8.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""S"", ""value"": -2.0}]",1.7243750000000002,2.58,1.1132142857142855,1.726,-1.4667857142857144,-0.8540000000000001,1.6,113.27604166666669,184.0,62.75892857142858,40.95,-143.05,-121.24107142857142,0.2225543478260869,0.3410811335403726,314556688033.6586,12278644599.949677,530469576200.5936,2398597506432.98,43.20261669620828,518190931600.6439,0.0277771277771277,0.0874037674037674,0.0,0.1041666666666666,0.4166666666666667,0.4791666666666666,1.46e-08,144.1,0.0,103.8,0.0,0.0,6.000000000000001,9.48,31.136624632,53.86965750772878,4
h8o,Li9.6Si0.4Al1.6S8.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""S"", ""value"": -2.0}]",1.703265306122449,2.58,1.0986206896551725,1.668,-1.4813793103448276,-0.912,1.6,112.61224489795916,184.0,63.3793103448276,43.6,-140.4,-120.6206896551724,0.2369565217391304,0.3444527736131934,247467907315.40924,12278644599.949677,409667398843.3125,1779167831249.1145,33.364219927417025,397388754243.3628,0.0253871426285219,0.0761343161343161,0.0,0.1020408163265306,0.4081632653061224,0.4897959183673468,2.29e-07,146.8,0.0,104.4,0.0,0.0,6.000000000000001,9.44,31.092466176000002,47.945385596530556,4
pe2,Li17.0Sb13.0S28.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Sb"", ""value"": 3.0}, {""element"": ""S"", ""value"": -2.0}]",1.992241379310345,2.5800000000000005,1.4436666666666669,2.05,-1.136333333333334,-0.5300000000000007,1.6,125.94540229885057,184.0,71.7611111111111,77.33333333333333,-106.66666666666669,-112.2388888888889,0.4202898550724637,0.3900060386473429,97980994145.39894,12278644599.949677,177969853721.15158,248081835595.03476,14.494258895797095,165691209121.2019,0.0252054065559812,0.0387931034482758,0.0,0.2241379310344827,0.4827586206896552,0.293103448275862,1.05e-09,116.09756097560977,6.341463414634147,114.26829268292684,0.0,9.306723916262884,7.2682926829268295,13.487804878048781,60.50487804878049,79.10715328823451,3
opo,Li4.8Sn4.8S12.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Sn"", ""value"": 4.0}, {""element"": ""S"", ""value"": -2.0}]",2.0866666666666664,2.58,1.47,1.96,-1.11,-0.6200000000000001,1.6,132.55555555555554,184.0,68.25000000000001,69.0,-115.0,-115.75,0.375,0.3709239130434783,137940085739.35696,12278644599.949677,295016887163.6161,465678965568.46185,24.02682843062541,282738242563.6664,0.0363929146537842,0.0579710144927536,0.0,0.2222222222222222,0.5555555555555555,0.2222222222222222,0.00012,121.42857142857143,5.7142857142857135,112.85714285714286,0.0,9.035079029052513,7.142857142857142,12.857142857142858,56.82071428571429,76.79817174694635,3
lkm,Li24.0Ge8.0O28.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""O"", ""value"": -2.0}]",2.265333333333333,3.44,1.2374999999999998,2.01,-2.2025,-1.4300000000000002,2.46,97.62666666666664,138.2,62.125,46.0,-92.2,-76.07499999999999,0.3328509406657019,0.4495296671490594,272820878436.705,28978758058.690765,486182733767.4674,1571666508793.5586,16.777210837772966,457203975708.7766,0.0328502415458937,0.0869565217391304,0.0,0.1333333333333333,0.4666666666666667,0.4,8.5e-07,98.0,2.2222222222222223,74.44444444444444,0.0,4.15739709641549,4.888888888888889,6.222222222222221,28.5862,52.38320341483518,3
bv2,Li4.0Y4.0O8.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Y"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}]",2.27,3.44,1.1,1.22,-2.34,-2.22,2.46,109.9625,138.2,81.725,95.95,-42.25,-56.475,0.6942836468885673,0.5913531114327062,78049422529.50528,28978758058.690765,127120087000.3198,129885365241.86926,4.386664423053021,98141328941.62904,0.0230405496690019,0.0312662845231891,0.0,0.25,0.5,0.25,1.8e-08,118.66666666666666,3.6666666666666665,100.0,0.0,5.185449728701348,6.0,8.666666666666666,40.30155,10.370899457402697,3
be9,Li4.0Ga4.0Br16.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ga"", ""value"": 3.0}, {""element"": ""Br"", ""value"": -1.0}]",2.438333333333333,2.96,1.395,1.81,-1.565,-1.15,1.98,151.0,196.0,61.0,54.5,-141.5,-135.0,0.2780612244897959,0.3112244897959184,142240436975.12537,5079321332.016004,416562668261.3441,708770527763.9178,82.01148165910753,411483346929.3281,0.0349303431872239,0.055045871559633,0.6666666666666666,0.1666666666666666,0.0,0.1666666666666666,7e-06,160.79999999999998,10.0,118.0,0.0,0.0,8.0,16.200000000000003,77.8678,42.400000000000006,3
n27,Li4.0B4.0O8.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""B"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}]",2.475,3.44,1.51,2.04,-1.93,-1.4,2.46,87.475,138.2,36.75,6.0,-132.2,-101.45,0.0434153400868306,0.2659189580318379,132840483723519.2,28978758058.690765,265651988688979.7,531179622569200.6,9167.128147830004,265623009930921.0,0.2574074074074074,0.5,0.0,0.25,0.5,0.25,1e-08,97.66666666666667,0.0,68.33333333333333,0.0,0.0,4.0,3.0,14.26993333333333,40.069384267237695,3
lrh,Li10.0V8.0P12.0O48.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""V"", ""value"": 3.0}, {""element"": ""P"", ""value"": 5.0}]",2.7466666666666666,3.44,1.6373333333333335,1.966,-1.8026666666666664,-1.474,2.46,102.87948717948716,138.2,46.36666666666667,35.8,-102.4,-91.83333333333331,0.2590448625180897,0.3355041003376749,6066693608591.944,28978758058.690765,15727037369445.148,23528378649788.336,542.7091574315618,15698058611386.455,0.1350853304284676,0.1952205882352941,0.0,0.2564102564102564,0.6153846153846154,0.1282051282051282,1.9e-07,96.94117647058825,0.3529411764705882,75.88235294117648,0.0,0.9665692191267637,4.8235294117647065,5.8235294117647065,22.75276976470588,48.507695675968655,4
1xt,Li8.0Sb8.0O16.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Sb"", ""value"": 3.0}]",2.4775,3.44,1.515,2.05,-1.925,-1.39,2.46,105.30833333333332,138.2,72.41666666666666,77.33333333333333,-60.86666666666666,-65.78333333333333,0.5595754944524843,0.5239990352146647,107598540117.79666,28978758058.690765,186218322176.90256,248081835595.0348,6.426028396377582,157239564118.2118,0.0268039591315453,0.0387931034482758,0.0,0.25,0.5,0.25,<1E-10,84.0,6.666666666666666,88.33333333333333,0.0,9.428090415820634,6.0,9.666666666666666,51.25293333333333,59.39696961966999,3
kbo,Li8.0Sr8.0Al4.0P12.0O48.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Sr"", ""value"": 2.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""P"", ""value"": 5.0}]",2.666,3.44,1.505,1.68,-1.935,-1.76,2.49,107.46583333333334,138.2,61.364583333333336,59.31944444444445,-78.88055555555553,-76.83541666666665,0.4292289757195691,0.4440273757838881,5929672129962.873,28978758058.690765,14780712187819.145,19666164647505.938,510.05333485595634,14751733429760.451,0.1259719088403139,0.1630242735154803,0.0,0.3,0.6,0.1,<1E-10,102.41666666666666,1.1111111111111112,85.83333333333333,0.6365141682948128,3.1426968052735447,5.111111111111111,6.555555555555555,27.063090255555554,47.7907040007666,5
5zv,Li16.0Zn4.0P8.0O32.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Zn"", ""value"": 2.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""P"", ""value"": 5.0}]",2.498,3.44,1.4214285714285713,2.01,-2.0185714285714287,-1.4300000000000002,2.46,98.4622222222222,138.2,53.04761904761904,33.77777777777778,-104.42222222222222,-85.15238095238095,0.244412284933269,0.3838467369581697,5254944521050.071,28978758058.690765,11227476821611.646,26031639505415.484,387.438164150189,11198498063552.955,0.0967425033819908,0.2059794214715589,0.0,0.2,0.5333333333333333,0.2666666666666666,5.55e-18,99.63636363636364,0.9090909090909092,74.0909090909091,0.0,2.8747978728803445,4.7272727272727275,5.636363636363637,23.213793090909093,48.19519539854707,4
5bz,Li12.0B4.0N8.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""B"", ""value"": 3.0}, {""element"": ""N"", ""value"": -3.0}]",1.8433333333333333,3.04,1.245,2.04,-1.795,-1.0,2.06,83.41666666666667,146.0,52.125,6.0,-140.0,-93.875,0.0410958904109589,0.3570205479452055,88604403465032.03,36866897357.61785,132888171748869.23,531179622569200.6,3604.539065487983,132851304851511.6,0.1361111111111111,0.5,0.0,0.1666666666666666,0.3333333333333333,0.5,8.7e-08,101.66666666666667,0.0,71.66666666666666,0.0,0.0,4.0,2.3333333333333335,12.941466666666667,42.89781139198388,3
883,Li4.0Al4.0H16.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""H"", ""value"": -1.0}]",1.8983333333333332,2.2,1.295,1.61,-0.9050000000000002,-0.5900000000000001,1.2200000000000002,112.29166666666669,140.0,56.875,46.25,-93.75,-83.125,0.3303571428571428,0.40625,223307265960.70444,13937657735.05191,642046482412.0094,1159738156065.2483,46.065593991257394,628108824676.9575,0.0398398398398398,0.0648648648648648,0.0,0.1666666666666666,0.6666666666666666,0.1666666666666666,8.7e-09,13.5,0.0,45.0,0.0,0.0,2.0,1.4000000000000001,6.202659720000001,27.0,3
uu4,Li8.0V8.0O24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""V"", ""value"": 5.0}]",2.586,3.44,1.305,1.63,-2.135,-1.81,2.46,104.56999999999998,138.2,54.125,40.75,-97.45,-84.07499999999999,0.2948625180897251,0.3916425470332851,607443784065.0217,28978758058.690765,1475141323074.5183,2825927837390.266,50.90422854171011,1446162565015.8276,0.0687571006589411,0.1226993865030674,0.0,0.2,0.6,0.2,2.05e-09,111.5,0.75,78.75,0.0,1.299038105676658,5.0,6.0,24.734924999999997,25.11473670974872,3
tws,Li24.0Zr8.0O28.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Zr"", ""value"": 4.0}, {""element"": ""O"", ""value"": -2.0}]",2.1746666666666665,3.44,1.0675,1.33,-2.3725,-2.11,2.46,101.89333333333332,138.2,70.125,78.0,-60.19999999999999,-68.07499999999999,0.5643994211287989,0.5074167872648336,106247561910.50172,28978758058.690765,173857765280.8363,322366634847.03424,5.999489865256532,144879007222.14554,0.0239316239316239,0.0512820512820512,0.0,0.1333333333333333,0.4666666666666667,0.4,5.2e-10,117.11111111111111,2.6666666666666665,81.11111111111111,0.0,4.988876515698589,5.333333333333334,7.111111111111111,32.71597777777778,16.62958838566196,3
l9v,Li36.0Al12.0F72.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""F"", ""value"": -1.0}]",2.8430000000000004,3.98,1.1375,1.61,-2.8425,-2.37,3.0,103.25,130.625,62.1875,46.25,-84.375,-68.4375,0.354066985645933,0.4760765550239234,163575729775.4573,17159119235.502205,383200645585.3899,1159738156065.2483,22.332186187770525,366041526349.8877,0.0273273273273273,0.0648648648648648,0.6,0.1,0.0,0.3,5e-07,111.64285714285714,0.0,60.71428571428571,0.0,0.0,4.285714285714286,5.285714285714286,20.138851114285714,18.021245964761953,3
t0h,Li8.0Zr4.0O12.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Zr"", ""value"": 4.0}, {""element"": ""O"", ""value"": -2.0}]",2.268333333333333,3.44,1.096666666666667,1.33,-2.3433333333333333,-2.11,2.46,104.59999999999998,138.2,71.0,78.0,-60.19999999999999,-67.19999999999999,0.5643994211287989,0.5137481910274965,109668754423.4412,28978758058.690765,190358750788.19165,322366634847.03424,6.56890645219017,161379992729.5009,0.0269705603038936,0.0512820512820512,0.0,0.1666666666666666,0.5,0.3333333333333333,6.1e-10,116.0,3.0,83.75,0.0,5.196152422706632,5.5,7.5,34.80555,17.320508075688775,3
4kt,Li8.0Cr4.0Cl16.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Cl"", ""value"": -1.0}, {""element"": ""Cr"", ""value"": 2.0}]",2.322857142857143,3.16,1.2066666666666668,1.66,-1.9533333333333331,-1.5000000000000002,2.18,133.64285714285714,181.0,70.5,76.5,-104.5,-110.5,0.4226519337016574,0.3895027624309392,63622878785.20343,6449680150.445433,139853810298.21408,170851813377.10156,21.683836568012666,133404130147.76865,0.0185911401597676,0.0261437908496732,0.5714285714285714,0.1428571428571428,0.0,0.2857142857142857,<1E-10,133.6,1.0,108.0,0.0,2.0,6.200000000000001,11.200000000000001,38.76162000000001,66.8,3
