split,ID,Reduced Composition,Family,Ref,ID,True Composition,Z_by_element,n_Li,χ⁻,χ⁺(excl Li⁺),r⁺(excl Li⁺) (pm),r⁻ (pm),nₕₒₛₜ cₐₜᵢₒₙ,ρ⁺(excl Li⁺) (C m⁻³),Φ⁺(excl Li⁺) (|Z| pm⁻¹),Ionic conductivity (S cm-1)
test,ish,Li6.175P0.825Si0.175S5Br,argyrodites,D2 - 168,ish,Li24.7P3.3Si0.7S20.0Br4.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""Br"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4686907020872864,2.643333333333333,2.13925,19.8,186.0,0.0759013282732447,32855752599448.33,0.2638591800356506,0.000931
test,iiy,Li6.2P0.8Si0.2S5Br,argyrodites,D2 - 168,iiy,Li24.8P3.2Si0.8S20.0Br4.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""Br"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4696969696969697,2.643333333333333,2.132,20.200000000000003,186.0,0.0757575757575757,31989120294373.67,0.2595365418894831,0.00169
train,3zo,Li6.225P0.775Si0.225S5Br,argyrodites,D2 - 168,3zo,Li24.9P3.1Si0.9S20.0Br4.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""Br"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4706994328922495,2.643333333333333,2.12475,20.6,186.0,0.0756143667296786,31122487989299.016,0.2552139037433155,0.00108
train,10s,Li6.35P0.65Si0.35S5Br,argyrodites,D2 - 168,10s,Li25.4P2.6Si1.4S20.0Br4.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""Br"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4756554307116105,2.643333333333333,2.0885,22.6,186.0,0.0749063670411985,26789326463925.72,0.2336007130124777,0.00234
train,fkj,Li6.5P0.5Si0.5S5Br,argyrodites,D2 - 168,fkj,Li26.0P2.0Si2.0S20.0Br4.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""Br"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4814814814814814,2.643333333333333,2.045,25.0,186.0,0.074074074074074,21589532633477.76,0.2076648841354723,0.00219
test,tt3,Li6PS5Cl,argyrodites,D2 - 171,tt3,Li24.0P4.0S20.0Cl4.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Cl"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4615384615384615,2.676666666666667,2.19,17.0,183.5,0.0769230769230769,38922178734970.95,0.2941176470588235,0.0013
train,nig,Li6PS5Br,argyrodites,D2 - 172,nig,Li24.0P4.0S20.0Br4.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Br"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4615384615384615,2.643333333333333,2.19,17.0,186.0,0.0769230769230769,38922178734970.95,0.2941176470588235,0.00277
train,z16,Li6P(S4.9Se0.1)Br,argyrodites,D2 - 172,z16,Li24.0P4.0S19.6Se0.4Br4.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Br"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}, {""element"": ""Se"", ""value"": -2.0}]",0.4615384615384615,2.642833333333334,2.19,17.0,186.23333333333332,0.0769230769230769,38922178734970.95,0.2941176470588235,0.0032
train,hbz,Li6P(S4.8Se0.2)Br,argyrodites,D2 - 172,hbz,Li24.0P4.0S19.2Se0.8Br4.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Br"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}, {""element"": ""Se"", ""value"": -2.0}]",0.4615384615384615,2.642333333333333,2.19,17.0,186.46666666666667,0.0769230769230769,38922178734970.95,0.2941176470588235,0.00392
train,uut,Li6P(S4.7Se0.3)Br,argyrodites,D2 - 172,uut,Li24.0P4.0S18.8Se1.2Br4.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Br"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}, {""element"": ""Se"", ""value"": -2.0}]",0.4615384615384615,2.641833333333334,2.19,17.0,186.7,0.0769230769230769,38922178734970.95,0.2941176470588235,0.00362
train,cju,Li6P(S4.6Se0.4)Br,argyrodites,D2 - 172,cju,Li24.0P4.0S18.4Se1.6Br4.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Br"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}, {""element"": ""Se"", ""value"": -2.0}]",0.4615384615384615,2.6413333333333333,2.19,17.0,186.9333333333333,0.0769230769230769,38922178734970.95,0.2941176470588235,0.00364
train,1kq,Li6P(S4.3Se0.7)Br,argyrodites,D2 - 172,1kq,Li24.0P4.0S17.2Se2.8Br4.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Br"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}, {""element"": ""Se"", ""value"": -2.0}]",0.4615384615384615,2.6398333333333333,2.19,17.0,187.63333333333333,0.0769230769230769,38922178734970.95,0.2941176470588235,0.00301
test,c6e,Li6P(S4.2Se0.8)Br,argyrodites,D2 - 172,c6e,Li24.0P4.0S16.8Se3.2Br4.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Br"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}, {""element"": ""Se"", ""value"": -2.0}]",0.4615384615384615,2.639333333333333,2.19,17.0,187.86666666666667,0.0769230769230769,38922178734970.95,0.2941176470588235,0.00348
train,w87,Li6PS5Br,argyrodites,D2 - 174,w87,Li24.0P4.0S20.0Br4.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Br"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4615384615384615,2.643333333333333,2.19,17.0,186.0,0.0769230769230769,38922178734970.95,0.2941176470588235,3.2e-05
train,97p,Li6PS5Cl,argyrodites,D2 - 174,97p,Li24.0P4.0S20.0Cl4.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Cl"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4615384615384615,2.676666666666667,2.19,17.0,183.5,0.0769230769230769,38922178734970.95,0.2941176470588235,3.3e-05
train,p9u,Li6PS5I,argyrodites,D2 - 174,p9u,Li24.0P4.0S20.0I4.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""I"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4615384615384615,2.5933333333333333,2.19,17.0,190.0,0.0769230769230769,38922178734970.95,0.2941176470588235,0.00022
train,5wz,Li6PS5I,argyrodites,D2 - 175,5wz,Li24.0P4.0S20.0I4.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""I"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4615384615384615,2.5933333333333333,2.19,17.0,190.0,0.0769230769230769,38922178734970.95,0.2941176470588235,1.26e-06
train,t17,Li6.15P0.85Ge0.15S5I,argyrodites,D2 - 175,t17,Li24.6P3.4Ge0.6S20.0I4.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""I"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.467680608365019,2.5933333333333333,2.163,21.35,190.0,0.0760456273764258,33319601901044.336,0.2630434782608695,3.93e-05
test,kf7,Li6.2P0.8Ge0.2S5I,argyrodites,D2 - 175,kf7,Li24.8P3.2Ge0.8S20.0I4.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""I"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4696969696969697,2.5933333333333333,2.154,22.800000000000004,190.0,0.0757575757575757,31452076289735.47,0.2526854219948849,3.19e-05
test,utv,Li6.25P0.75Ge0.25S5I,argyrodites,D2 - 175,utv,Li25.0P3.0Ge1.0S20.0I4.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""I"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4716981132075472,2.5933333333333333,2.145,24.25,190.0,0.0754716981132075,29584550678426.6,0.2423273657289002,0.00015
test,q9f,Li6.3P0.7Ge0.3S5I,argyrodites,D2 - 175,q9f,Li25.2P2.8Ge1.2S20.0I4.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""I"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4736842105263157,2.5933333333333333,2.136,25.7,190.0,0.075187969924812,27717025067117.727,0.2319693094629155,0.00065
train,pa1,Li6.6P0.4Ge0.6S5I,argyrodites,D2 - 175,pa1,Li26.4P1.6Ge2.4S20.0I4.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""I"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4852941176470588,2.5933333333333333,2.082,34.4,190.0,0.0735294117647058,16511871399264.514,0.1698209718670076,0.00521
train,lxk,Li6.7P0.3Ge0.7S5I,argyrodites,D2 - 175,lxk,Li26.8P1.2Ge2.8S20.0I4.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""I"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4890510948905109,2.5933333333333333,2.064,37.3,190.0,0.072992700729927,12776820176646.771,0.1491048593350383,0.00554
train,1m8,Li6.8P0.2Ge0.8S5I,argyrodites,D2 - 175,1m8,Li27.2P0.8Ge3.2S20.0I4.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""I"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4927536231884057,2.5933333333333333,2.046,40.2,190.0,0.072463768115942,9041768954029.035,0.128388746803069,0.00258
train,ij5,Li6PS5Cl0.5Br0.5,argyrodites,D2 - 167,ij5,Li24.0P4.0S20.0Cl2.0Br2.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Cl"", ""value"": -1.0}, {""element"": ""Br"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4615384615384615,2.66,2.19,17.0,184.75,0.0769230769230769,38922178734970.95,0.2941176470588235,0.00333
train,ywe,Li6PS5I,argyrodites,D2 - 167,ywe,Li24.0P4.0S20.0I4.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""I"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4615384615384615,2.5933333333333333,2.19,17.0,190.0,0.0769230769230769,38922178734970.95,0.2941176470588235,1.3e-06
train,bnh,Li6.1P0.95Si0.1S5Br,argyrodites,D2 - 168,bnh,Li24.4P3.8Si0.4S20.0Br4.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""Br"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4638783269961977,2.643333333333333,2.162380952380952,18.52380952380952,186.0,0.0798479087452471,35620722334686.53,0.2776504541210424,0.000799
train,vj7,Li6.25P0.75Si0.25S5Br,argyrodites,D2 - 168,vj7,Li25.0P3.0Si1.0S20.0Br4.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""Br"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4716981132075472,2.643333333333333,2.1175,21.0,186.0,0.0754716981132075,30255855684224.355,0.2508912655971479,0.00141
test,wsd,Li6.3P0.7Si0.3S5Br,argyrodites,D2 - 168,wsd,Li25.2P2.8Si1.2S20.0Br4.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""Br"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4736842105263157,2.643333333333333,2.103,21.8,186.0,0.075187969924812,28522591074075.035,0.2422459893048128,0.00165
train,24k,Li7Ge3PS12,argyrodites,D2- 169; D1 - 488,24k,Li28.0Ge12.0P4.0S48.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.3043478260869565,2.58,2.055,38.75,184.0,0.1739130434782608,10909294565337.906,0.1387468030690537,0.00011
train,d9l,Li6P(S4.5Se0.5)Br,argyrodites,D2 - 172,d9l,Li24.0P4.0S18.0Se2.0Br4.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Br"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}, {""element"": ""Se"", ""value"": -2.0}]",0.4615384615384615,2.640833333333333,2.19,17.0,187.16666666666663,0.0769230769230769,38922178734970.95,0.2941176470588235,0.00268
test,96f,Li6P(S4.4Se0.6)Br,argyrodites,D2 - 172,96f,Li24.0P4.0S17.6Se2.4Br4.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Br"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}, {""element"": ""Se"", ""value"": -2.0}]",0.4615384615384615,2.640333333333334,2.19,17.0,187.4,0.0769230769230769,38922178734970.95,0.2941176470588235,0.00278
train,t2c,Li6P(S4.1Se0.9)Br,argyrodites,D2 - 172,t2c,Li24.0P4.0S16.4Se3.6Br4.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Br"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}, {""element"": ""Se"", ""value"": -2.0}]",0.4615384615384615,2.638833333333333,2.19,17.0,188.1,0.0769230769230769,38922178734970.95,0.2941176470588235,0.00382
train,dlj,Li6P(S4Se)Br,argyrodites,D2 - 172,dlj,Li24.0P4.0S16.0Se4.0Br4.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Br"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}, {""element"": ""Se"", ""value"": -2.0}]",0.4615384615384615,2.6383333333333336,2.19,17.0,188.33333333333331,0.0769230769230769,38922178734970.95,0.2941176470588235,0.00361
test,5gj,Li6.1P0.90Ge0.1S5I,argyrodites,D2 - 175,5gj,Li24.4P3.6Ge0.4S20.0I4.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""I"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.465648854961832,2.5933333333333333,2.172,19.9,190.0,0.0763358778625954,35187127512353.21,0.2734015345268542,8.86e-06
train,5qw,Li6.4P0.6Ge0.4S5I,argyrodites,D2 - 175,5qw,Li25.6P2.4Ge1.6S20.0I4.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""I"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4776119402985074,2.5933333333333333,2.118,28.6,190.0,0.0746268656716417,23981973844499.99,0.2112531969309463,0.0015
train,znj,Li6.5P0.5Ge0.5S5I,argyrodites,D2 - 175,znj,Li26.0P2.0Ge2.0S20.0I4.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""I"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4814814814814814,2.5933333333333333,2.1,31.5,190.0,0.074074074074074,20246922621882.25,0.1905370843989769,0.00186
train,xnb,Li5PS4(BH4)2,argyrodites,D1 - 583,xnb,Li20.0P4.0S16.0B8.0H32.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""B"", ""value"": 3.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}, {""element"": ""H"", ""value"": -1.0}]",0.25,2.3266666666666667,2.09,9.666666666666666,154.66666666666666,0.15,367093807957790.8,0.4313725490196078,0.0018
train,ga9,LiCe(BH4)3Cl,argyrodites,D2 - 178,ga9,Li8.0Ce8.0B24.0H96.0Cl8.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""B"", ""value"": 3.0}, {""element"": ""Cl"", ""value"": -1.0}, {""element"": ""Ce"", ""value"": 3.0}, {""element"": ""H"", ""value"": -1.0}]",0.0555555555555555,2.273846153846154,1.81,33.704166666666666,143.15384615384616,0.2222222222222222,398402710637739.5,0.3814203167356256,0.000103
