ID,化学式,电导率（室温，S/cm）,电导率测得温度（°C）,电导率（其他温度，S/cm）,化合物制备方法,family,非晶,对应文献DOI,文献年份,备注
ur9,LiZr2(PO4)3,1e-09,RT,,unknow,NASICON,unknow,10.1016/0025-5408(86)90194-7,1986,
0x9,Li1.2Sc0.2Ti1.8(PO4)3,0.000246,RT,,unknow,NASICON,unknow,10.1016/0167-2738(86)90179-7,1986,
iwe,Li1.3Sc0.3Ti1.7(PO4)3,0.000407,RT,,unknow,NASICON,unknow,10.1016/0167-2738(86)90179-7,1986,
ib2,Li1.1Sc0.1Ti1.9(PO4)3,0.000158,RT,,unknow,NASICON,unknow,10.1016/0167-2738(86)90179-7,1986,
ppz,Li1.3In0.3Hf1.7(PO4)3,1e-05,RT,,unknow,NASICON,unknow,10.1016/0167-2738(86)90179-7,1986,
ci1,LiTi0.2Zr1.8(PO4)3,5.6e-08,RT,,unknow,NASICON,unknow,10.1016/0167-2738(86)90179-7,1986,
08e,LiTi1.8Zr0.2(PO4)3,8.5e-08,RT,,unknow,NASICON,unknow,10.1016/0167-2738(86)90179-7,1986,
xkh,LiTi0.1Zr1.9(PO4)3,3.2e-08,RT,,unknow,NASICON,unknow,10.1016/0167-2738(86)90179-7,1986,
wng,Li1.2In0.2Hf1.8(PO4)3,4e-06,RT,,unknow,NASICON,unknow,10.1016/0167-2738(86)90179-7,1986,
5bz,Li3BN2,8.7e-08,RT,,unknow,boron nitride,unknow,10.1016/0022-4596(87)90135-6,1987,phase: β-Li3BN2 (space group P21/c); conductivity difference from qa9 is phase-related
qa9,Li3BN2,1.6e-10,RT,,unknow,boron nitride,unknow,10.1016/0022-4596(87)90135-6,1987,changed space group to reflect actual higher symmetry; phase: α-Li3BN2 (space group P42/mnm); conductivity difference from 5bz is phase-related
tka,LiSi2N3,6.17e-08,RT,,unknow,nitride,unknow,10.1016/0167-2738(87)90119-6,1987,
4kt,Li2CrCl4,<1E-10,RT,,unknow,halides,unknow,10.1016/0022-4596(88)90301-5,1988,
cmn,Li1.8Cr0.8Ti1.2(PO4)3,0.00024,RT,,unknow,NASICON,unknow,10.1016/0167-2738(88)90291-3,1988,
fwz,Li2SiS3,2e-06,RT,,unknow,thio-LISICON,unknow,10.1016/0025-5408(89)90053-6,1989,appendix: diffraction data available；close match: Yes；close match DOI: mp-1210789
x94,Li4SiS4,4.93e-08,RT,,unknow,thio-LISICON,unknow,10.1016/0025-5408(89)90053-6,1989,appendix: diffraction data available
11b,Li3P,0.000703,RT,,unknow,phosphates,unknow,10.1016/0167-2738(89)90438-4,1989,
fkt,Li1.2La0.2Ti1.8(PO4)3,0.000528,RT,,unknow,NASICON,unknow,10.1149/1.2096693,1989,duplicate with line 273
ctg,Li1.3La0.3Ti1.7(PO4)3,0.000528,RT,,unknow,NASICON,unknow,10.1149/1.2096693,1989,duplicate with line 274
qea,LiTi2(PO4)3,2e-06,RT,,unknow,NASICON,unknow,10.1149/1.2086597,1990,
mdj,Li1.2Ti2Si0.2P2.8O12,8.6e-05,RT,,unknow,NASICON,unknow,10.1149/1.2086597,1990,
t1l,Li1.3Ti2Si0.3P2.7O12,0.00032,RT,,unknow,NASICON,unknow,10.1149/1.2086597,1990,
my9,Li1.2Al0.2Ti1.8(PO4)3,0.000595,RT,,unknow,NASICON,unknow,10.1149/1.2086597,1990,close match: Yes；close match DOI: 10.1016/j.solidstatesciences.2016.08.011
9s4,Li1.3Al0.3Ti1.7(PO4)3,0.000722,RT,,unknow,NASICON,unknow,10.1149/1.2086597,1990,close match: Yes；close match DOI: 10.1021/acs.chemmater.9b04419
iqt,Li1.4Al0.4Ti1.6(PO4)3,0.000388,RT,,unknow,NASICON,unknow,10.1149/1.2086597,1990,close match: Yes；close match DOI: 10.1016/j.ssi.2019.115192
xa0,Li1.5Al0.5Ti1.5(PO4)3,0.000248,RT,,unknow,NASICON,unknow,10.1149/1.2086597,1990,close match: Yes；close match DOI: 10.1016/j.ssi.2019.115192
f4x,Li1.2Cr0.2Ti1.8(PO4)3,1.82e-05,RT,,unknow,NASICON,unknow,10.1149/1.2086597,1990,
txm,Li1.3Cr0.3Ti1.7(PO4)3,3.51e-05,RT,,unknow,NASICON,unknow,10.1149/1.2086597,1990,
v1t,Li1.4Cr0.4Ti1.6(PO4)3,0.000149,RT,,unknow,NASICON,unknow,10.1149/1.2086597,1990,
d6b,Li1.5Cr0.5Ti1.5(PO4)3,0.000386,RT,,unknow,NASICON,unknow,10.1149/1.2086597,1990,
x9a,Li1.2Ga0.2Ti1.8(PO4)3,0.000162,RT,,unknow,NASICON,unknow,10.1149/1.2086597,1990,
3ta,Li1.3Ga0.3Ti1.7(PO4)3,0.000261,RT,,unknow,NASICON,unknow,10.1149/1.2086597,1990,
gjy,Li1.4Ga0.4Ti1.6(PO4)3,0.000128,RT,,unknow,NASICON,unknow,10.1149/1.2086597,1990,
lz8,Li1.5Ga0.5Ti1.5(PO4)3,0.000122,RT,,unknow,NASICON,unknow,10.1149/1.2086597,1990,
6st,Li1.2Fe0.2Ti1.8(PO4)3,0.00018,RT,,unknow,NASICON,unknow,10.1149/1.2086597,1990,
t9r,Li1.3Fe0.3Ti1.7(PO4)3,0.000246,RT,,unknow,NASICON,unknow,10.1149/1.2086597,1990,
xr7,Li1.4Fe0.4Ti1.6(PO4)3,0.000392,RT,,unknow,NASICON,unknow,10.1149/1.2086597,1990,
pg8,Li1.5Fe0.5Ti1.5(PO4)3,0.000174,RT,,unknow,NASICON,unknow,10.1149/1.2086597,1990,close match: Yes；close match DOI: 10.1039/b312865b
1wm,Li1.2Sc0.2Ti1.8(PO4)3,0.00069,RT,,unknow,NASICON,unknow,10.1149/1.2086597,1990,
do2,Li1.3Sc0.3Ti1.7(PO4)3,0.000703,RT,,unknow,NASICON,unknow,10.1149/1.2086597,1990,
uaj,Li1.4Sc0.4Ti1.6(PO4)3,0.000515,RT,,unknow,NASICON,unknow,10.1149/1.2086597,1990,
5u3,Li1.2In0.2Ti1.8(PO4)3,0.00039,RT,,unknow,NASICON,unknow,10.1149/1.2086597,1990,
2eq,Li1.3In0.3Ti1.7(PO4)3,0.000393,RT,,unknow,NASICON,unknow,10.1149/1.2086597,1990,
yn6,Li1.4In0.4Ti1.6(PO4)3,0.000302,RT,,unknow,NASICON,unknow,10.1149/1.2086597,1990,
8jy,Li1.5In0.5Ti1.5(PO4)3,0.000204,RT,,unknow,NASICON,unknow,10.1149/1.2086597,1990,
p4l,Li1.2La0.2Ti1.8(PO4)3,8e-05,RT,,unknow,NASICON,unknow,10.1149/1.2086597,1990,
qkr,Li1.3La0.3Ti1.7(PO4)3,0.000523,RT,,unknow,NASICON,unknow,10.1149/1.2086597,1990,
e0z,Li1.4La0.4Ti1.6(PO4)3,0.000498,RT,,unknow,NASICON,unknow,10.1149/1.2086597,1990,
vus,Li1.5La0.5Ti1.5(PO4)3,0.000281,RT,,unknow,NASICON,unknow,10.1149/1.2086597,1990,
lkm,Li6Ge2O7,8.5e-07,RT,,unknow,germanates,unknow,10.4028/www.scientific.net/msf.76.107,1991,
a3l,LiHf2(PO4)3,2.83e-07,RT,,unknow,NASICON,unknow,10.1002/chin.199345017,1993,
4ba,LiGe2(PO4)3,3.33e-07,RT,,unknow,NASICON,unknow,10.1002/chin.199345017,1993,Precision of IC is not good non linear extrapolation；close match: Yes；close match DOI: 10.1016/0022-4596(91)90134-4
ncr,LiHf2(PO4)3,6.85e-07,RT,,unknow,NASICON,unknow,10.1016/0167-2738(93)90387-i,1993,
dx2,Li1.1Fe0.1Hf1.9(PO4)3,0.000107,RT,,unknow,NASICON,unknow,10.1016/0167-2738(93)90387-i,1993,
6xc,Li1.1In0.1Hf1.9(PO4)3,5.13e-05,RT,,unknow,NASICON,unknow,10.1016/0167-2738(93)90387-i,1993,
21m,Li1.1Lu0.1Hf1.9(PO4)3,5.88e-05,RT,,unknow,NASICON,unknow,10.1016/0167-2738(93)90387-i,1993,
4k1,Li1.1Sc0.1Hf1.9(PO4)3,2.45e-05,RT,,unknow,NASICON,unknow,10.1016/0167-2738(93)90387-i,1993,
gzp,Li1.2Lu0.2Hf1.8(PO4)3,9.79e-05,RT,,unknow,NASICON,unknow,10.1016/0167-2738(93)90387-i,1993,
lh8,Li1.3Cr0.3Hf1.7(PO4)3,5.26e-07,RT,,unknow,NASICON,unknow,10.1016/0167-2738(93)90387-i,1993,
ew5,Li1.3Fe0.3Hf1.7(PO4)3,5.4e-05,RT,,unknow,NASICON,unknow,10.1016/0167-2738(93)90387-i,1993,
9l3,Li1.3In0.3Hf1.7(PO4)3,0.000142,RT,,unknow,NASICON,unknow,10.1016/0167-2738(93)90387-i,1993,
jdk,Li1.3Lu0.3Hf1.7(PO4)3,3.56e-05,RT,,unknow,NASICON,unknow,10.1016/0167-2738(93)90387-i,1993,
h8a,Li1.3Sc0.3Hf1.7(PO4)3,8.32e-05,RT,,unknow,NASICON,unknow,10.1016/0167-2738(93)90387-i,1993,
jq7,Li1.3Y0.3Hf1.7(PO4)3,3.19e-05,RT,,unknow,NASICON,unknow,10.1016/0167-2738(93)90387-i,1993,
ylt,Li1.4In0.4Hf1.6(PO4)3,0.000142,RT,,unknow,NASICON,unknow,10.1016/0167-2738(93)90387-i,1993,
gnq,Li1.4Lu0.4Hf1.6(PO4)3,2.06e-05,RT,,unknow,NASICON,unknow,10.1016/0167-2738(93)90387-i,1993,
sso,Li1.4Y0.4Hf1.6(PO4)3,2.09e-05,RT,,unknow,NASICON,unknow,10.1016/0167-2738(93)90387-i,1993,
ia5,LiLaNb2O7,<1E-8,RT,,unknow,perovskites,unknow,10.1016/0925-8388(93)90192-p,1993,
sv7,La0.51Li0.34TiO2.94,0.001,RT,,unknow,perovskites,unknow,10.1016/0167-2738(94)90309-3,1994,
kxh,Pr0.56Li0.34TiO3.01,1e-06,RT,,unknow,perovskites,unknow,10.1016/0167-2738(94)90310-7,1994,
3we,Nd0.55Li0.34TiO3,8e-08,RT,,unknow,perovskites,unknow,10.1016/0167-2738(94)90310-7,1994,
i6k,Sm0.52Li0.38TiO2.97,2e-07,RT,,unknow,perovskites,unknow,10.1016/0167-2738(94)90310-7,1994,IC number should be read from the graph
w7d,Li3PO4,4.2e-18,RT,,unknow,LISICON,unknow,10.1006/jssc.1995.1140,1995,close match: Yes
uxo,Li2.88PO3.73N0.14,1.4e-13,RT,,unknow,LISICON,unknow,10.1006/jssc.1995.1140,1995,refer 79426-ICSD; po information is missing
ux3,Li0.284Sm4.512Si3O12.91,<1E-10,RT,,unknow,silicates,unknow,10.1016/0167-2738(95)00240-5,1996,
dnt,Li2CrTi(PO4)3,4.41e-07,RT,,unknow,NASICON,unknow,10.1016/s0167-2738(96)00565-6,1997,
g5g,Li2CrZr(PO4)3,5.91e-07,RT,,unknow,NASICON,unknow,10.1016/s0167-2738(96)00565-6,1997,
hpu,Li2CrHf(PO4)3,4.2e-08,RT,,unknow,NASICON,unknow,10.1016/s0167-2738(96)00565-6,1997,
c6h,Li2FeTi(PO4)3,3.34e-07,RT,,unknow,NASICON,unknow,10.1016/s0167-2738(96)00565-6,1997,
vzu,Li2FeZr(PO4)3,1.44e-07,RT,,unknow,NASICON,unknow,10.1016/s0167-2738(96)00565-6,1997,
a3e,Li2InHf(PO4)3,2.74e-08,RT,,unknow,NASICON,unknow,10.1016/s0167-2738(96)00565-6,1997,
ubi,Li2InTi(PO4)3,8.3e-06,RT,,unknow,NASICON,unknow,10.1016/s0167-2738(96)00565-6,1997,
9z8,Li2InZr(PO4)3,8.22e-08,RT,,unknow,NASICON,unknow,10.1016/s0167-2738(96)00565-6,1997,
t3k,Li1.9Mn0.9Ga0.1Cl4,2.37e-07,RT,,unknow,chlorides,unknow,10.1016/s0167-2738(96)00592-9,1997,
uxi,Li1.65Mn0.65In0.35Cl4,9.9e-08,RT,,unknow,chlorides,unknow,10.1016/s0167-2738(96)00592-9,1997,
w1l,Li0.5Sr0.5Cr0.25Ta0.75O3,6e-05,RT,,unknow,perovskites,unknow,10.1016/s0378-7753(97)02645-1,1997,
jce,Li0.5Sr0.5Fe0.25Ta0.75O3,0.0001,RT,,unknow,perovskites,unknow,10.1016/s0378-7753(97)02645-1,1997,
ix1,Li0.91Hf2.022(PO4)3,3.2e-07,RT,,unknow,NASICON,unknow,10.1021/cm970078n,1997,true formula: Hf2.032 Li0.87 O12 P3;  partial occupancy corrected
z7n,Li0.86Hf2.035(PO4)3,9.2e-08,RT,,unknow,NASICON,unknow,10.1021/cm970078n,1997,double check with ID 11
86o,La0.61Li0.18TiO3,0.000412,RT,,unknow,perovskites,unknow,10.1016/s0167-2738(98)00070-8,1998,
2lu,La0.55Li0.36TiO3,0.000688,RT,,退火（有序相，P4/mmm）,perovskites,unknow,10.1016/s0167-2738(98)00070-8,1998,
bd5,La0.54Li0.39TiO3,0.000651,RT,,退火（有序相，P4/mmm）,perovskites,unknow,10.1016/s0167-2738(98)00070-8,1998,
ukw,La0.52Li0.45TiO3,0.000501,RT,,退火（有序相，P4/mmm）,perovskites,unknow,10.1016/s0167-2738(98)00070-8,1998,
5h8,La0.58Li0.27TiO3,0.000599,RT,,退火（有序相，P4/mmm）,perovskites,unknow,10.1016/s0167-2738(98)00070-8,1998,
vwy,La0.56Li0.33TiO3,0.000668,RT,,退火（有序相，P4/mmm）,perovskites,unknow,10.1016/s0167-2738(98)00070-8,1998,close match: Yes；close match DOI: 10.1006/jssc.1996.0385
epv,La0.58Li0.27TiO3,0.000832,RT,,淬火（无序相，Pm-3m）,perovskites,unknow,10.1016/s0167-2738(98)00070-8,1998,
v7r,La0.56Li0.33TiO3,0.0013,RT,,淬火（无序相，Pm-3m）,perovskites,unknow,10.1016/s0167-2738(98)00070-8,1998,
yhc,La0.55Li0.36TiO3,0.00154,RT,,淬火（无序相，Pm-3m）,perovskites,unknow,10.1016/s0167-2738(98)00070-8,1998,
q3c,La0.54Li0.39TiO3,0.00125,RT,,淬火（无序相，Pm-3m）,perovskites,unknow,10.1016/s0167-2738(98)00070-8,1998,
pdv,La0.52Li0.45TiO3,0.000785,RT,,淬火（无序相，Pm-3m）,perovskites,unknow,10.1016/s0167-2738(98)00070-8,1998,
qno,LiTi2(PO4)3,3.83e-07,RT,,unknow,NASICON,unknow,10.1021/jp973296c,1998,close match: Yes；close match DOI: 10.1021/ic400577v
dl7,Li2MgTi3O8,<1E-10,RT,,unknow,oxides,unknow,10.1039/a800234g,1998,
i12,Li2CoTi3O8,<1E-10,RT,,unknow,oxides,unknow,10.1039/a800234g,1998,
aui,Li2CoGe3O8,<1E-10,RT,,unknow,oxides,unknow,10.1039/a800234g,1998,
mfs,Li2ZnGe3O8,<1E-10,RT,,unknow,oxides,unknow,10.1039/a800234g,1998,
il5,Nd0.25Li0.25TaO3,1.31e-08,RT,,unknow,perovskites,unknow,10.1016/s0167-2738(98)00414-7,1999,
r1m,Sm0.25Li0.25TaO3,4.32e-10,RT,,unknow,perovskites,unknow,10.1016/s0167-2738(98)00414-7,1999,
o23,Li0.25La0.25TaO3,2.61e-05,RT,,unknow,perovskites,unknow,10.1016/s0167-2738(98)00414-7,1999,
za6,Li1.1Al0.1Ge1.9(PO4)3,2.9e-06,RT,,unknow,NASICON,unknow,10.1016/s0955-2219(99)00055-2,1999,
ag1,Li1.3Al0.3Ge1.7(PO4)3,3.9e-05,RT,,unknow,NASICON,unknow,10.1016/s0955-2219(99)00055-2,1999,
u5t,Li1.5Al0.5Ge1.5(PO4)3,0.00028,RT,,unknow,NASICON,unknow,10.1016/s0955-2219(99)00055-2,1999,
0y6,Li1.6Al0.6Ge1.4(PO4)3,0.00014,RT,,unknow,NASICON,unknow,10.1016/s0955-2219(99)00055-2,1999,
yq2,Li1.1Al0.1Ti1.9(PO4)3,3e-05,RT,,unknow,NASICON,unknow,10.1016/s0955-2219(99)00055-2,1999,close match: Yes；close match DOI: 10.1016/j.solidstatesciences.2016.08.011
kab,Li1.3Al0.3Ti1.7(PO4)3,3.75e-05,RT,,unknow,NASICON,unknow,10.1016/s0955-2219(99)00055-2,1999,close match: Yes；close match DOI: 10.1021/acs.chemmater.9b04419
tp2,Li1.6Al0.6Ti1.4(PO4)3,2.3e-05,RT,,unknow,NASICON,unknow,10.1016/s0955-2219(99)00055-2,1999,
xq3,Li4Sr3Nb5.77Fe0.23O19.77,<1E-10,RT,,unknow,perovskites,unknow,10.1021/cm980736j,1999,partial occupancy incorrect
wgw,Li4Sr3Nb6O20,<1E-10,RT,,unknow,perovskites,unknow,10.1021/cm980736j,1999,partial occupancy incorrect
lc1,Li1.2Al1.1Ta0.9(PO4)3,6.5e-07,RT,,unknow,NASICON,unknow,10.1039/a807007e,1999,
sxv,LiAlTa(PO4)3,6.5e-07,RT,,unknow,NASICON,unknow,10.1039/a807007e,1999,
e6b,Li4GeS4,2e-07,RT,,unknow,thio-LISICON,unknow,10.1016/s0167-2738(00)00277-0,2000,partial occupancy corrected
be9,LiGaBr4,7e-06,RT,,unknow,halides,unknow,10.1016/s0167-2738(00)00491-4,2000,
7kf,Li1.7Al0.3Ti1.6(PO4)3,0.00122,RT,,unknow,NASICON,unknow,10.1016/s0167-2738(00)00493-8,2000,ic # check
cy2,La0.64Li0.08TiO3,0.000335,RT,,unknow,perovskites,unknow,10.1016/s0167-2738(00)00761-x,2000,
5tl,La0.62Li0.14TiO3,0.000442,RT,,unknow,perovskites,unknow,10.1016/s0167-2738(00)00761-x,2000,
u2y,La0.595Li0.215TiO3,0.000853,RT,,unknow,perovskites,unknow,10.1016/s0167-2738(00)00761-x,2000,
hta,La0.565Li0.305TiO3,0.000957,RT,,unknow,perovskites,unknow,10.1016/s0167-2738(00)00761-x,2000,
s3h,La0.5Li0.5TiO3,0.000925,RT,,unknow,perovskites,unknow,10.1016/s0167-2738(00)00761-x,2000,
nua,Li(LaTiO4),<1E-10,RT,,unknow,perovskites,unknow,10.4028/www.scientific.net/msf.321-324.965,2000,
3rx,Li(NdTiO4),<1E-10,RT,,unknow,perovskites,unknow,10.4028/www.scientific.net/msf.321-324.965,2000,
uu4,LiVO3,2.05e-09,RT,,unknow,oxides,unknow,10.1006/jssc.2000.9009,2001,
81x,(Ag0.33Li0.67)0.27La0.57TiO3,0.0001,RT,,unknow,perovskites,unknow,10.1021/cm001207u,2001,
5fj,(Ag0.5Li0.5)0.27La0.57TiO3,2.3e-05,RT,,unknow,perovskites,unknow,10.1021/cm001207u,2001,
0vd,(Ag0.67Li0.33)0.27La0.57TiO3,2e-07,RT,,unknow,perovskites,unknow,10.1021/cm001207u,2001,
0lo,Li0.27La0.57TiO3,0.00034,RT,,unknow,perovskites,unknow,10.1021/cm001207u,2001,
o4u,Li3.8Ge0.8P0.2S4,1.78e-06,RT,,unknow,thio-LISICON,unknow,10.1149/1.1379028,2001,
yy9,Li3.6Ge0.6P0.4S4,0.000175,RT,,unknow,thio-LISICON,unknow,10.1149/1.1379028,2001,
mvq,Li3.4Ge0.4P0.6S4,0.000654,RT,,unknow,thio-LISICON,unknow,10.1149/1.1379028,2001,
2yl,Li3.35Ge0.35P0.65S4,0.00154,RT,,unknow,thio-LISICON,unknow,10.1149/1.1379028,2001,
5qm,Li3.3Ge0.3P0.7S4,0.00174,RT,,unknow,thio-LISICON,unknow,10.1149/1.1379028,2001,
3jh,Li3.25Ge0.25P0.75S4,0.0022,RT,,unknow,thio-LISICON,unknow,10.1149/1.1379028,2001,
j3x,Li3.2Ge0.2P0.8S4,0.000555,RT,,unknow,thio-LISICON,unknow,10.1149/1.1379028,2001,
na5,Li3(Mo8S8O8(OH)8(HWO5(H2O)))*(H2O)18,3.8e-07,RT,,unknow,polyoxometalates,unknow,10.1002/1521-3765(20020118)8:2<349::aid-chem349>3.0.co;2-5,2002,
hai,Pb6.12Ca1.9Li1.96(PO4)6,<1E-10,RT,,unknow,phosphates,unknow,10.1006/jssc.2002.9596,2002,
b4c,Li4SiS4,1.59e-08,RT,,unknow,thio-LISICON,unknow,10.1006/jssc.2002.9701,2002,
7se,Li3.8Si0.8P0.2S4,8.11e-07,RT,,unknow,thio-LISICON,unknow,10.1006/jssc.2002.9701,2002,
5e2,Li3.6Si0.6P0.4S4,7.19e-05,RT,,unknow,thio-LISICON,unknow,10.1006/jssc.2002.9701,2002,
dj2,Li3.4Si0.4P0.6S4,0.000662,RT,,unknow,thio-LISICON,unknow,10.1006/jssc.2002.9701,2002,
10u,Li3.2Si0.2P0.8S4,3.2e-06,RT,,unknow,thio-LISICON,unknow,10.1006/jssc.2002.9701,2002,
gl0,Li4.2Si0.8Al0.2S4,2.4e-08,RT,,unknow,thio-LISICON,unknow,10.1006/jssc.2002.9701,2002,
wmr,Li4.4Si0.6Al0.4S4,3.05e-08,RT,,unknow,thio-LISICON,unknow,10.1006/jssc.2002.9701,2002,
xxq,Li4.6Si0.4Al0.6S4,1.46e-08,RT,,unknow,thio-LISICON,unknow,10.1006/jssc.2002.9701,2002,
h8o,Li4.8Si0.2Al0.8S4,2.29e-07,RT,,unknow,thio-LISICON,unknow,10.1006/jssc.2002.9701,2002,
l2w,Li3.333Mg0.333P2S6,8.2e-08,RT,,unknow,thio-phosphate,unknow,10.1016/s0167-2738(02)00007-3,2002,partial occupancy corrected
ob9,Li2.667Mg0.667P2S6,4e-06,RT,,unknow,thio-phosphate,unknow,10.1016/s0167-2738(02)00007-3,2002,partial occupancy corrected
nf0,Li1.5Al0.5Ti1.5(PO4)3,1.1e-05,RT,,unknow,NASICON,unknow,10.1021/cm010528i,2002,refer D2 - 134
lcx,La0.6Sr0.06Li0.06TiO3,1.13e-05,RT,,unknow,perovskites,unknow,10.1021/cm020609u,2003,lattice parameter should be checked
mam,La0.56Sr0.1Li0.1TiO3,1.37e-05,RT,,unknow,perovskites,unknow,10.1021/cm020609u,2003,lattice parameter should be checked
0jx,La0.51Sr0.15Li0.15TiO3,5.3e-05,RT,,unknow,perovskites,unknow,10.1021/cm020609u,2003,lattice parameter should be checked
lyq,La0.41Sr0.25Li0.25TiO3,7.64e-05,RT,,unknow,perovskites,unknow,10.1021/cm020609u,2003,lattice parameter should be checked
2tt,La0.385Sr0.275Li0.275TiO3,6.04e-05,RT,,unknow,perovskites,unknow,10.1021/cm020609u,2003,lattice parameter should be checked
xy0,La0.36Sr0.3Li0.3TiO3,1.92e-05,RT,,unknow,perovskites,unknow,10.1021/cm020609u,2003,lattice parameter should be checked
nng,Li1.6Al0.6Ge0.8Ti0.6(PO4)3,0.0007,RT,,unknow,NASICON,unknow,10.1021/cm021717j,2003,bulk Ic
pbz,Li3.75Ge0.75V0.25O4,5.66e-06,RT,,unknow,LISICON,unknow,10.1023/a:1026135806929,2003,partial occupancy corrected
7ek,Li3.70Ge0.85W0.15O4,3.8e-05,RT,,unknow,LISICON,unknow,10.1023/a:1026135806929,2003,partial occupancy corrected
2r7,Li3Cr(MoO4)3,3.19e-09,RT,,unknow,molybdates,unknow,10.1039/b301189e,2003,close match: Yes；close match DOI: 10.1016/j.jssc.2009.09.012
b56,Li2Mg2(MoO4)3,<1E-10,RT,,unknow,molybdates,unknow,10.1039/b301189e,2003,
mfu,Li3Fe(MoO4)3,5.89e-10,RT,,unknow,molybdates,unknow,10.1039/b301189e,2003,close match: Yes；close match DOI: icsd-16176
gas,Li0.31La0.63(Ti0.9Co0.1)O3,0.00026,RT,,unknow,perovskites,unknow,10.1016/j.mseb.2004.07.003,2004,
9ph,Li0.19La0.67(Ti0.9Co0.1)O3,0.000108,RT,,unknow,perovskites,unknow,10.1016/j.mseb.2004.07.003,2004,
86k,Li0.2Ca0.4TaO3,3.53e-09,RT,,unknow,perovskites,unknow,10.1016/j.solidstatesciences.2004.05.006,2004,"structure avialble for x=0.15, but no conductivity"
7e5,La0.65Li0.05(Mg0.5W0.5)O3,1.8e-07,RT,,unknow,perovskites,unknow,10.1016/j.ssi.2004.05.010,2004,partial occupancy corrected
sib,La0.63Li0.11(Mg0.5W0.5)O3,6.8e-06,RT,,unknow,perovskites,unknow,10.1016/j.ssi.2004.05.010,2004,partial occupancy corrected
r99,La0.62Li0.14(Mg0.5W0.5)O3,1.2e-05,RT,,unknow,perovskites,unknow,10.1016/j.ssi.2004.05.010,2004,partial occupancy corrected
i8k,Li1.2In0.2Ti1.8(PO4)3,8.22e-05,RT,,unknow,NASICON,unknow,10.1021/cm030422i,2004,
lrh,Li2.5V2(PO4)3,1.9e-07,RT,,unknow,NASICON,unknow,10.1021/cm034802f,2004,
oi6,Li7SbO6,6.7e-08,RT,,unknow,hexaoxometalates,unknow,10.1021/ic030208w,2004,partial occupancy not correct
7ta,Li7TaO6,2.36e-08,27（外推）,50°C: 1.53e-07,unknow,hexaoxometalates,unknow,10.1021/ic030208w,2004,Missing OBLiX row reconstructed from article Tables 1 and 7；由50°C按Ea=0.68 eV外推至27°C
7bi,Li7BiO6,8.81e-07,27（外推）,50°C: 4.348e-06,unknow,hexaoxometalates,unknow,10.1021/ic030208w,2004,Missing conductivity row reconstructed from article Table 7; no matched structure in source；由50°C按Ea=0.58 eV外推至27°C
544,Li6BaLa2Ta2O12,4e-05,RT,,unknow,garnet-like,unknow,10.1002/adfm.200400044,2005,
ps0,Li6SrLa2Ta2O12,7e-06,RT,,unknow,garnet-like,unknow,10.1002/adfm.200400044,2005,
jqc,Li7BiO6,1.58489e-06,RT,,unknow,hexaoxometalates,unknow,10.1002/zaac.200500231,2005,partial occupancy not correct
lf5,Li6BaLa2Nb2O12,6e-06,RT,,unknow,garnet,unknow,10.1111/j.1551-2916.2005.00060.x,2005,
