ID,True Composition,Z_by_element,χₐₗₗ,χ⁻,χ⁺(incl Li⁺),χ⁺(excl Li⁺),χ⁺(incl Li⁺) - χ⁻,χ⁺(excl Li⁺) - χ⁻,χₘₐₓ - χₘᵢₙ,rₐₗₗ (pm),r⁻ (pm),r⁺(incl Li⁺) (pm),r⁺(excl Li⁺) (pm),r⁺(excl Li⁺) - r⁻,r⁺(incl Li⁺) - r⁻,r⁺(excl Li⁺) / r⁻,r⁺(incl Li⁺) / r⁻,ρₐₗₗ (C m⁻³),ρ⁻ (C m⁻³),ρ⁺(incl Li⁺) (C m⁻³),ρ⁺(excl Li⁺) (C m⁻³),ρ⁺(incl Li⁺) / ρ⁻,ρ⁺(incl Li⁺) - ρ⁻,Φ⁺(incl Li⁺) (|Z| pm⁻¹),Φ⁺(excl Li⁺) (|Z| pm⁻¹),nₕₐₗᵢdₑ,nₕₒₛₜ cₐₜᵢₒₙ,nₐₙᵢₒₙ,n_Li,Ionic conductivity (S cm-1),conductivity_value,conductivity_qualifier,conductivity_used,sample_weight,log10_conductivity,r_ratio_x_chi_diff,log_rho_ratio,n_Li × r⁻ (pm),chi_range_x_r_avg,field_x_r_diff
s3r,Li8.0Al0.66Si0.66P0.66O8.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""P"", ""value"": 5.0}]",2.1758620689655173,3.44,1.1625250501002002,1.9000000000000004,-2.2774749498997995,-1.5399999999999996,2.46,95.05700778642937,138.2,60.47344689378757,32.083333333333336,-106.11666666666665,-77.72655310621242,0.2321514712976363,0.437579210519447,1695788586970.712,28978758058.690765,3031908690307.001,14779601141006.926,104.62521147961095,3002929932248.3105,0.0436319615619391,0.1600648777119365,0.0,0.1101223581757508,0.4449388209121245,0.4449388209121245,3.25e-06,3.25e-06,exact,3.25e-06,1.0,-5.488116639021126,-0.9965756905549713,2.019636348844425,61.4905450500556,233.84023915461623,-3.391361977472279
de5,Li6.0In2.0Cl12.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""In"", ""value"": 3.0}, {""element"": ""Cl"", ""value"": -1.0}]",2.368,3.16,1.18,1.78,-1.98,-1.38,2.18,136.85,181.0,70.625,80.0,-101.0,-110.375,0.4419889502762431,0.3901933701657458,63585391045.03652,6449680150.445432,149288957386.92316,224091403271.3816,23.146722613308643,142839277236.47772,0.0204861111111111,0.0375,0.6,0.1,0.0,0.3,0.00204,0.00204,exact,0.00204,1.0,-2.6903698325741012,-0.7725828729281766,1.3644895071588188,54.3,298.333,-2.2611545138888878
opo,Li4.8Sn4.8S12.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Sn"", ""value"": 4.0}, {""element"": ""S"", ""value"": -2.0}]",2.0866666666666664,2.58,1.47,1.96,-1.11,-0.6200000000000001,1.6,132.55555555555554,184.0,68.25000000000001,69.0,-115.0,-115.75,0.375,0.3709239130434783,137940085739.35696,12278644599.949677,295016887163.6161,465678965568.46185,24.02682843062541,282738242563.6664,0.0363929146537842,0.0579710144927536,0.0,0.2222222222222222,0.5555555555555555,0.2222222222222222,0.00012,0.00012,exact,0.00012,1.0,-3.9208187539523753,-0.41172554347826096,1.3806964472090921,40.888888888888886,212.08888888888887,-4.212479871175521
elz,Li6.0Y2.0Br12.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Y"", ""value"": 3.0}, {""element"": ""Br"", ""value"": -1.0}]",2.192,2.9599999999999995,1.04,1.22,-1.9199999999999997,-1.7399999999999995,1.98,147.445,196.0,74.6125,95.95,-100.05,-121.3875,0.4895408163265305,0.3806760204081632,53342571951.02763,5079321332.016004,125737447879.54507,129885365241.86926,24.75477325819025,120658126547.52908,0.0189276822419084,0.0312662845231891,0.6,0.1,0.0,0.3,0.00192,0.00192,exact,0.00192,1.0,-2.7166987712964503,-0.7308979591836732,1.3936589527572718,58.8,291.9411,-2.297584028139656
p81,Li4.0Al4.0Cl16.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""Cl"", ""value"": -1.0}]",2.5383333333333336,3.16,1.295,1.61,-1.865,-1.55,2.18,139.625,181.0,56.875,46.25,-134.75,-124.125,0.255524861878453,0.3142265193370165,218315280904.30008,6449680150.445433,642046482412.0094,1159738156065.2483,99.54702674173195,635596802261.564,0.0398398398398398,0.0648648648648648,0.6666666666666666,0.1666666666666666,0.0,0.1666666666666666,1e-06,1e-06,exact,1e-06,1.0,-6.0,-0.5860324585635358,1.9980282931033315,30.166666666666654,304.38250000000005,-4.945120120120115
be9,Li4.0Ga4.0Br16.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ga"", ""value"": 3.0}, {""element"": ""Br"", ""value"": -1.0}]",2.438333333333333,2.96,1.395,1.81,-1.565,-1.15,1.98,151.0,196.0,61.0,54.5,-141.5,-135.0,0.2780612244897959,0.3112244897959184,142240436975.12537,5079321332.016004,416562668261.3441,708770527763.9178,82.01148165910753,411483346929.3281,0.0349303431872239,0.055045871559633,0.6666666666666666,0.1666666666666666,0.0,0.1666666666666666,7e-06,7e-06,exact,7e-06,1.0,-5.154901959985743,-0.48706632653061227,1.9138746581413526,32.66666666666666,298.98,-4.715596330275226
xas,Li16.0Sn8.0S24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Sn"", ""value"": 4.0}, {""element"": ""S"", ""value"": -2.0}]",1.9433333333333331,2.58,1.3066666666666666,1.96,-1.2733333333333334,-0.6200000000000001,1.6,126.0,184.0,68.0,69.0,-115.0,-116.0,0.375,0.3695652173913043,125204086147.64192,12278644599.949677,238129527695.3342,465678965568.46185,19.39379593219191,225850883095.3845,0.029200214707461,0.0579710144927536,0.0,0.1666666666666666,0.5,0.3333333333333333,1.5e-05,1.5e-05,exact,1.5e-05,1.0,-4.823908740944319,-0.47057971014492755,1.2876628215108443,61.33333333333333,201.60000000000002,-3.387224906065476
qy4,Li12.0Na20.0Ti8.0S32.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Na"", ""value"": 1.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""S"", ""value"": -2.0}]",1.7394444444444446,2.58,1.067,1.1042857142857143,-1.513,-1.4757142857142858,1.65,131.2579365079365,184.0,89.06428571428572,98.3061224489796,-85.6938775510204,-94.93571428571428,0.5342724046140195,0.4840450310559006,110220802713.30128,12278644599.949677,188574529203.9825,216097266537.64493,15.357927144886611,176295884604.03287,0.0220756453937127,0.0251874299275261,0.0,0.3888888888888889,0.4444444444444444,0.1666666666666666,8.8e-06,8.8e-06,exact,8.8e-06,1.0,-5.055517327849831,-0.7323601319875775,1.1863326030466221,30.666666666666654,216.57559523809522,-2.0957671637702533
ard,Li8.0Ta16.0P8.0O64.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ta"", ""value"": 5.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""P"", ""value"": 5.0}]",2.8075,3.44,1.5425,1.7299999999999998,-1.8975,-1.7100000000000002,2.46,110.675,138.2,55.625,51.66666666666666,-86.53333333333333,-82.57499999999999,0.3738543174143753,0.4024963820549928,3370213418510.0327,28978758058.690765,10052682739412.717,13362125382964.031,346.898328736276,10023703981354.023,0.1134649995263806,0.1463483944302358,0.0,0.25,0.6666666666666666,0.0833333333333333,0.0016,0.0016,exact,0.0016,1.0,-2.795880017344075,-0.7637368849493488,2.540202207531995,11.51666666666666,272.2605,-9.369372335890876
9wf,Li12.0Er4.0I24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Er"", ""value"": 3.0}, {""element"": ""I"", ""value"": -1.0}]",2.014,2.66,1.045,1.24,-1.6150000000000002,-1.4200000000000002,1.6800000000000002,162.0025,220.00000000000003,75.00625,97.525,-122.47500000000004,-144.99375000000003,0.4432954545454544,0.3409374999999999,51830852879.23057,3591748011.3619866,124189510181.03345,123693614447.82272,34.576342713402354,120597762169.67143,0.0188014469224415,0.0307613432453217,0.6,0.1,0.0,0.3,0.00065,0.00065,exact,0.00065,1.0,-3.1870866433571443,-0.5506140624999999,1.5387790541956297,66.0,272.1642,-2.726092294710753
fwz,Li8.0Si4.0S12.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""S"", ""value"": -2.0}]",1.9333333333333331,2.58,1.2866666666666666,1.9,-1.2933333333333334,-0.6800000000000002,1.6,120.0,184.0,56.0,33.0,-151.0,-128.0,0.1793478260869565,0.3043478260869565,757072013883.6611,12278644599.949677,1501865383167.3728,4256886531984.5776,122.31524179578648,1489586738567.423,0.0502805836139169,0.1212121212121212,0.0,0.1666666666666666,0.5,0.3333333333333333,2e-06,2e-06,exact,2e-06,1.0,-5.698970004336019,-0.3936231884057971,2.087480578175789,61.33333333333333,192.0,-6.435914702581363
cy2,La1.28Li0.16Ti2.0O6.0,"[{""element"": ""La"", ""value"": 3.0}, {""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}]",2.678474576271187,3.44,1.350232558139535,1.3682926829268294,-2.089767441860465,-2.0717073170731704,2.46,117.9319209039548,138.2,82.58062015503876,83.31626016260162,-54.883739837398366,-55.61937984496123,0.6028672949537021,0.597544284768732,176127233476.73865,28978758058.690765,432781551066.35706,447826758008.1906,14.934440951190638,403802793007.6663,0.0485115477716196,0.0501552908426833,0.0,0.3474576271186441,0.6355932203389831,0.0169491525423728,0.000335,0.000335,exact,0.000335,1.0,-3.474955192963155,-1.248728591379494,1.1741889700698933,2.342372881355921,290.1125254237288,-2.698182202376693
5tl,La1.24Li0.28Ti2.0O6.0,"[{""element"": ""La"", ""value"": 3.0}, {""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}]",2.6636974789915966,3.44,1.3404545454545451,1.371604938271605,-2.0995454545454546,-2.068395061728395,2.46,117.2918767507003,138.2,81.6530303030303,82.87613168724279,-55.3238683127572,-56.54696969696968,0.5996825737137684,0.5908323466210587,175928356454.6583,28978758058.690765,426410626447.7848,452514215630.786,14.71459286088707,397431868389.094,0.0476275046039014,0.0504631691535756,0.0,0.3403361344537815,0.6302521008403361,0.0294117647058823,0.000442,0.000442,exact,0.000442,1.0,-3.354577730650908,-1.2404793677466681,1.1677482500770644,4.064705882352934,288.53801680672274,-2.6931910595790964
u2y,La1.19Li0.43Ti2.0O6.0,"[{""element"": ""La"", ""value"": 3.0}, {""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}]",2.6455717255717257,3.44,1.3288397790055246,1.3758620689655174,-2.111160220994475,-2.0641379310344825,2.46,116.50679140679138,138.2,80.551197053407,82.31044932079415,-55.88955067920584,-57.648802946592994,0.59558935832702,0.5828596024124963,175684411666.6595,28978758058.690765,418842953558.3204,458538847684.9055,14.453447339255757,389864195499.6296,0.0465773980787112,0.0508588748196126,0.0,0.3316008316008315,0.6237006237006236,0.0446985446985446,0.000853,0.000853,exact,0.000853,1.0,-3.0690509688324767,-1.2305100070379176,1.1599714444528089,6.177338877338863,286.60670686070677,-2.685131243604641
ku9,Li0.4Na0.1La0.5Nb2.0O6.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Na"", ""value"": 1.0}, {""element"": ""La"", ""value"": 3.0}, {""element"": ""Nb"", ""value"": 5.0}, {""element"": ""O"", ""value"": -2.0}]",2.763888888888889,3.44,1.4116666666666668,1.478076923076923,-2.0283333333333333,-1.9619230769230769,2.51,117.1695767195767,138.2,75.10873015873015,76.27930402930403,-61.92069597069596,-63.09126984126984,0.5519486543364981,0.543478510555211,192940679954.6132,28978758058.690765,520864523746.4582,581866018359.9485,17.97401126340714,491885765687.76746,0.0587596189816166,0.0655203580842014,0.0,0.2888888888888889,0.6666666666666666,0.0444444444444444,9.92e-06,9.92e-06,exact,9.92e-06,1.0,-5.0034883278458215,-1.1023555789094863,1.2546450095051744,6.142222222222215,294.0956375661375,-3.7072189769393744
9n0,Li0.3Na0.2La0.5Nb2.0O6.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Na"", ""value"": 1.0}, {""element"": ""La"", ""value"": 3.0}, {""element"": ""Nb"", ""value"": 5.0}, {""element"": ""O"", ""value"": -2.0}]",2.7633333333333336,3.44,1.41,1.4577777777777778,-2.03,-1.982222222222222,2.51,117.67989417989416,138.2,76.63968253968254,77.65520282186948,-60.54479717813051,-61.56031746031745,0.5619045066705463,0.5545563136011762,191850141509.3745,28978758058.690765,517592908410.742,561286030594.2944,17.86111424659606,488614150352.0513,0.0585596625180161,0.0634202011517051,0.0,0.3,0.6666666666666666,0.0333333333333333,1.11e-05,1.11e-05,exact,1.11e-05,1.0,-4.954677021213342,-1.1257493166103876,1.2519085483965193,4.606666666666661,295.37653439153434,-3.6049514149781237
h5i,Li0.1Na0.4La0.5Nb2.0O6.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Na"", ""value"": 1.0}, {""element"": ""La"", ""value"": 3.0}, {""element"": ""Nb"", ""value"": 5.0}, {""element"": ""O"", ""value"": -2.0}]",2.7622222222222224,3.44,1.406666666666667,1.4213793103448276,-2.033333333333333,-2.0186206896551724,2.51,118.70052910052908,138.2,79.70158730158731,80.12233169129722,-58.07766830870277,-58.49841269841268,0.5797563798212535,0.5767119196931065,189669064618.89716,28978758058.690765,511049677739.3099,524383983566.225,17.635320212973912,482070919680.6192,0.0581597495908152,0.0596544025141255,0.0,0.3222222222222222,0.6666666666666666,0.0111111111111111,1.21e-05,1.21e-05,exact,1.21e-05,1.0,-4.91721462968355,-1.17264757004265,1.246383349768467,1.5355555555555538,297.93832804232795,-3.4022530339998456
o9h,Li0.07Na0.43La0.5Nb2.0O6.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Na"", ""value"": 1.0}, {""element"": ""La"", ""value"": 3.0}, {""element"": ""Nb"", ""value"": 5.0}, {""element"": ""O"", ""value"": -2.0}]",2.7620555555555555,3.44,1.4061666666666668,1.4163481228668946,-2.033833333333333,-2.0236518771331053,2.51,118.85362433862434,138.2,80.16087301587301,80.46335121079149,-57.7366487892085,-58.03912698412698,0.5822239595571019,0.5800352606068959,189341903085.32556,28978758058.690765,510068193138.59503,519283188669.8537,17.60145110793059,481089435079.9043,0.058099762651735,0.0591338740335045,0.0,0.3255555555555555,0.6666666666666666,0.0077777777777777,1.23e-05,1.23e-05,exact,1.23e-05,1.0,-4.910094888560602,-1.1796950475309915,1.2455484736202984,1.0748888888888781,298.32259708994707,-3.3720595022916857
0ii,Li0.02Na0.48La0.5Nb2.0O6.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Na"", ""value"": 1.0}, {""element"": ""La"", ""value"": 3.0}, {""element"": ""Nb"", ""value"": 5.0}, {""element"": ""O"", ""value"": -2.0}]",2.761777777777778,3.44,1.405333333333333,1.4081879194630875,-2.0346666666666664,-2.0318120805369126,2.51,119.10878306878308,138.2,80.9263492063492,81.01645893256631,-57.18354106743368,-57.27365079365079,0.5862261861980197,0.5855741621298785,188796633862.70615,28978758058.690765,508432385470.737,511010087327.8643,17.545002599525052,479453627412.0463,0.0579997844199348,0.0582896164307074,0.0,0.3311111111111111,0.6666666666666666,0.0022222222222222,3.99e-06,3.99e-06,exact,3.99e-06,1.0,-5.399027104313252,-1.191448228546926,1.2441534368979226,0.307111111111108,298.9630455026455,-3.3218593989743734
5fj,Ag0.27Li0.27La1.14Ti2.0O6.0,"[{""element"": ""Ag"", ""value"": 1.0}, {""element"": ""Li"", ""value"": 1.0}, {""element"": ""La"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}]",2.6611260330578514,3.44,1.3912228260869566,1.423782991202346,-2.048777173913044,-2.016217008797654,2.46,117.0150383707202,138.2,82.4743400621118,83.65999162128193,-54.540008378718056,-55.72565993788818,0.6053544979832267,0.5967752537055847,173080082233.52042,28978758058.690765,408027893388.134,430488812112.45306,14.080240863385306,379049135329.4432,0.0455224714347011,0.0479538694661877,0.0,0.3522727272727273,0.6198347107438017,0.027892561983471,2.3e-05,2.3e-05,exact,2.3e-05,1.0,-4.638272163982407,-1.2226595177481676,1.148610084120327,3.8547520661156915,287.8569943919717,-2.536769762702382
kxh,Pr1.12Li0.68Ti2.0O6.02,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Pr"", ""value"": 3.0}, {""element"": ""Ti"", ""value"": 4.0}]",2.6192260692464355,3.4399999999999995,1.3189473684210526,1.392820512820513,-2.121052631578947,-2.047179487179487,2.46,114.24412763068564,138.2,76.29298245614035,78.2094017094017,-59.990598290598285,-61.90701754385964,0.565914628866872,0.5520476299286567,176949987968.16205,28978758058.690765,411367567982.6402,473921630890.40674,14.19548647148702,382388809923.9495,0.0454992854734379,0.0521869265144199,0.0,0.3177189409368635,0.6130346232179226,0.0692464358452138,1e-06,1e-06,exact,1e-06,1.0,-6.0,-1.1709220782170982,1.1521502801491104,9.569857433808545,281.04055397148664,-2.816725064037198
ubi,Li16.0In8.0Ti8.0P24.0O96.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""In"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}]",2.7963157894736845,3.44,1.692857142857143,1.978,-1.7471428571428569,-1.4619999999999995,2.46,104.46842105263156,138.2,46.642857142857146,38.3,-99.9,-91.55714285714284,0.2771345875542692,0.3375025842464338,6225152993872.084,28978758058.690765,16847165969552.186,23536290433869.555,581.3625944711491,16818187211493.494,0.1450854676122055,0.1971937287311618,0.0,0.2631578947368421,0.631578947368421,0.1052631578947368,8.3e-06,8.3e-06,exact,8.3e-06,1.0,-5.080921907623926,-0.5896652293334121,2.7644470853336647,14.547368421052624,256.99231578947365,-13.28361088466607
pbz,Li15.0Ge3.0V1.0O16.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""V"", ""value"": 5.0}]",2.2114285714285717,3.44,1.1768421052631577,1.915,-2.2631578947368425,-1.525,2.46,97.21285714285712,138.2,62.69736842105263,44.6875,-93.5125,-75.50263157894736,0.3233538350217076,0.453671262091553,281997417831.1872,28978758058.690765,495065762902.7631,1885231840942.7356,17.083746718893366,466087004844.07227,0.0318837459969832,0.0958922379301147,0.0,0.1142857142857142,0.4571428571428571,0.4285714285714285,5.66e-06,5.66e-06,exact,5.66e-06,1.0,-5.247183568811729,-1.0267296984177254,1.232583124016646,59.22857142857141,239.1436285714285,-2.40730672736696
