ID,Reduced Composition,Z,True Composition,Ionic conductivity (S cm-1),IC (Total),IC (Bulk),Space group,Space group #,a,b,c,alpha,beta,gamma,Family,DOI,Checked,Ref,Cif ID,Cif ref_1,Cif ref_2,note,close match,close match DOI,ICSD ID,Laskowski ID,Liion ID,conductivity_value,conductivity_qualifier,conductivity_used,sample_weight,log10_conductivity,Z_by_element,χₐₗₗ,χ⁻,χ⁺(incl Li⁺),χ⁺(excl Li⁺),χ⁺(incl Li⁺) - χ⁻,χ⁺(excl Li⁺) - χ⁻,χₘₐₓ - χₘᵢₙ,rₐₗₗ (pm),r⁻ (pm),r⁺(incl Li⁺) (pm),r⁺(excl Li⁺) (pm),r⁺(excl Li⁺) - r⁻,r⁺(incl Li⁺) - r⁻,r⁺(excl Li⁺) / r⁻,r⁺(incl Li⁺) / r⁻,ρₐₗₗ (C m⁻³),ρ⁻ (C m⁻³),ρ⁺(incl Li⁺) (C m⁻³),ρ⁺(excl Li⁺) (C m⁻³),ρ⁺(incl Li⁺) / ρ⁻,ρ⁺(incl Li⁺) - ρ⁻,Φ⁺(incl Li⁺) (|Z| pm⁻¹),Φ⁺(excl Li⁺) (|Z| pm⁻¹),nₕₐₗᵢdₑ,nₕₒₛₜ cₐₜᵢₒₙ,nₐₙᵢₒₙ,n_Li,delta_anion,tau_cationic,family,r_ratio_x_chi_diff,log_rho_ratio,n_Li × r⁻ (pm),chi_range_x_r_avg,field_x_r_diff,ir_mean_square_all,d_mean_c,r_mean_l,s_mean_square_c,entropy_c_l,Vs_variance_c_l,mp_variance_c_l,atwt_geometric_mean_all
v1t,Li1.4Ti1.6Cr0.4P3O12,,Li1.4 Ti1.6 Cr0.4 P3 O12,0.000149,,,,,,,,,,,nasicon,10.1149/1.2086597,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1990,,,,,,0.000149,exact,0.000149,1.0,-3.826813731587726,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""Cr"", ""value"": 3.0}, {""element"": ""P"", ""value"": 5.0}]",2.8451086956521743,3.44,1.7296875,1.9396,-1.7103125,-1.5004,2.46,104.63586956521739,138.2,41.70312499999999,34.480000000000004,-103.71999999999998,-96.49687499999999,0.24949348769898702,0.30175922575976843,6445162965520.937,28978758058.690765,18475508354512.645,23613831347323.727,637.5534906324882,18446529596453.953,0.16068609390720384,0.20153005205307278,0.0,0.27173913043478265,0.6521739130434783,0.07608695652173914,0.0,1.875,nasicon,-0.5161025758072539,2.804516627869868,10.515217391304347,257.4042391304348,-15.50570591800171,13250.322282608695,0.8125,79.28235294117647,37.90625,0.8731726364245316,51577488033724.96,674194.6839999999,18.87108714717807
d6b,Li1.5Ti1.5Cr0.5P3O12,,Li1.5 Ti1.5 Cr0.5 P3 O12,0.000386,,,,,,,,,,,nasicon,10.1149/1.2086597,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1990,,,,,,0.000386,exact,0.000386,1.0,-3.413412695328245,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""Cr"", ""value"": 3.0}, {""element"": ""P"", ""value"": 5.0}]",2.8356756756756756,3.44,1.72,1.9420000000000002,-1.72,-1.4979999999999998,2.46,104.44054054054054,138.2,42.11538461538461,34.5,-103.69999999999999,-96.08461538461538,0.24963820549927643,0.3047422909941,6409928481016.528,28978758058.690765,18190143354169.457,23609879917792.664,627.7061051867339,18161164596110.766,0.15817522477232926,0.20118334775958355,0.0,0.2702702702702703,0.6486486486486487,0.08108108108108109,0.0,1.8461538461538463,nasicon,-0.524156740509852,2.79775635270044,11.205405405405406,256.9237297297297,-15.198205635624342,13203.986756756756,0.8461538461538463,79.20588235294119,37.23076923076923,0.8979457248567797,50642105528385.81,684445.0115999999,18.777734264205822
x9a,Li1.2Ti1.8Ga0.2P3O12,,Li1.2 Ti1.8 Ga0.2 P3 O12,0.000162,,,,,,,,,,,nasicon,10.1149/1.2086597,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1990,,,,,,0.000162,exact,0.000162,1.0,-3.7904849854573692,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ga"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}]",2.8659340659340664,3.44,1.7548387096774194,1.9408,-1.6851612903225806,-1.4991999999999999,2.46,104.95604395604396,138.2,40.612903225806456,34.160000000000004,-104.03999999999999,-97.58709677419353,0.24717800289435604,0.2938705009103217,6519161834493.122,28978758058.690765,19080806498559.76,23630354904112.0,658.4411402281405,19051827740501.07,0.1661529286659653,0.20247407599024142,0.0,0.27472527472527475,0.6593406593406593,0.06593406593406594,0.0,1.9354838709677418,nasicon,-0.49521919250178076,2.818516958315815,9.112087912087912,258.19186813186815,-16.214381929041227,13335.5978021978,0.903225806451613,79.50588235294119,39.80645161290323,0.8030448563658358,51977552941568.2,608107.81418304,19.123855055385715
3ta,Li1.3Ti1.7Ga0.3P3O12,,Li1.3 Ti1.7 Ga0.3 P3 O12,0.000261,,,,,,,,,,,nasicon,10.1149/1.2086597,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1990,,,,,,0.000261,exact,0.000261,1.0,-3.583359492661719,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ga"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}]",2.857103825136612,3.44,1.7468253968253966,1.9462,-1.6931746031746033,-1.4938,2.46,104.71857923497267,138.2,40.94444444444444,34.04,-104.16,-97.25555555555555,0.2463096960926194,0.2962694967036501,6484315599197.308,28978758058.690765,18780195296604.195,23630713823444.008,648.0676383221327,18751216538545.504,0.16357502478071362,0.20225267937184732,0.0,0.27322404371584696,0.6557377049180327,0.07103825136612021,0.0,1.9047619047619049,nasicon,-0.5016359875139422,2.81162033521796,9.817486338797814,257.60770491803277,-15.908579910062068,13283.852732240437,1.0158730158730158,79.46470588235294,39.317460317460316,0.8420953021316528,50178851821399.05,592573.51185684,19.057362767748653
gjy,Li1.4Ti1.6Ga0.4P3O12,,Li1.4 Ti1.6 Ga0.4 P3 O12,0.000128,,,,,,,,,,,nasicon,10.1149/1.2086597,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1990,,,,,,0.000128,exact,0.000128,1.0,-3.8927900303521317,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ga"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}]",2.848369565217392,3.44,1.7390625,1.9516000000000002,-1.7009375,-1.4883999999999997,2.46,104.48369565217392,138.2,41.265625,33.92,-104.27999999999999,-96.93437499999999,0.2454413892908828,0.2985935238784371,6449848127328.622,28978758058.690765,18488978194709.74,23631072742776.016,638.0183083506876,18459999436651.047,0.16107768039187606,0.20203128275345322,0.0,0.27173913043478265,0.6521739130434783,0.07608695652173914,0.0,1.875,nasicon,-0.5078889220219791,2.8048331412628436,10.515217391304347,257.0298913043478,-15.61396427523626,13232.670108695651,1.125,79.42352941176472,38.84375,0.8731726364245316,48271401710494.97,574892.53845216,18.991820658476026
lz8,Li1.5Ti1.5Ga0.5P3O12,,Li1.5 Ti1.5 Ga0.5 P3 O12,0.000122,,,,,,,,,,,nasicon,10.1149/1.2086597,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1990,,,,,,0.000122,exact,0.000122,1.0,-3.9136401693252516,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ga"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}]",2.83972972972973,3.44,1.7315384615384617,1.957,-1.7084615384615383,-1.4829999999999999,2.46,104.25135135135135,138.2,41.57692307692308,33.8,-104.39999999999999,-96.62307692307691,0.24457308248914617,0.30084604252476904,6415753276777.436,28978758058.690765,18206721619027.426,23631431662108.023,628.2781885322103,18177742860968.734,0.15865717736884888,0.20180988613505907,0.0,0.2702702702702703,0.6486486486486487,0.08108108108108109,0.0,1.8461538461538463,nasicon,-0.5139838926519322,2.7981519828982915,11.205405405405406,256.4583243243243,-15.329944653308543,13182.040810810811,1.2307692307692308,79.38235294117649,38.38461538461539,0.8979457248567797,46255202608855.92,555064.893969,18.927208885647996
xr7,Li1.4Ti1.6Fe0.4P3O12,,Li1.4 Ti1.6 Fe0.4 P3 O12,0.000392,,,,,,,,,,,nasicon,10.1149/1.2086597,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1990,,,,,,0.000392,exact,0.000392,1.0,-3.406713932979543,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""Fe"", ""value"": 3.0}, {""element"": ""P"", ""value"": 5.0}]",2.8488043478260874,3.44,1.7403125000000002,1.9532000000000003,-1.6996874999999998,-1.4867999999999997,2.46,104.53260869565217,138.2,41.40625,34.1,-104.1,-96.79374999999999,0.24674384949348774,0.2996110709117222,6448087152077.8,28978758058.690765,18483915390863.625,23624592353852.99,637.8436009379041,18454936632804.934,0.1609412781771082,0.20185668791855038,0.0,0.27173913043478265,0.6521739130434783,0.07608695652173914,0.0,1.875,nasicon,-0.5092451920902678,2.8047142028961733,10.515217391304347,257.15021739130435,-15.578109844555465,13238.111684782609,0.875,79.23529411764707,38.84375,0.8731726364245316,49679648937385.78,613716.4696,18.90040573544991
pg8,Li1.5Ti1.5Fe0.5P3O12,,Li1.5 Ti1.5 Fe0.5 P3 O12,0.000174,,,,,,,,,,,nasicon,10.1149/1.2086597,1,data/database/obelix/processed/all-v1.csv,,,,close match: Yes；close match DOI: 10.1039/b312865b; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1990,,,,,,0.000174,exact,0.000174,1.0,-3.7594507517174005,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""Fe"", ""value"": 3.0}, {""element"": ""P"", ""value"": 5.0}]",2.8402702702702705,3.44,1.7330769230769232,1.959,-1.7069230769230768,-1.4809999999999999,2.46,104.31216216216215,138.2,41.75,34.025,-104.17499999999998,-96.44999999999999,0.24620115774240234,0.30209840810419686,6413563956195.332,28978758058.690765,18200490475832.207,23623331175954.24,628.0631640241689,18171511717773.516,0.15848929771990386,0.2015916425914306,0.0,0.2702702702702703,0.6486486486486487,0.08108108108108109,0.0,1.8461538461538463,nasicon,-0.5156587442947791,2.7980033227303553,11.205405405405406,256.60791891891887,-15.286292765084726,13188.806013513513,0.9230769230769231,79.14705882352942,38.38461538461539,0.8979457248567797,48233749978570.734,608927.6856,18.81401093741378
do2,Li1.3Sc0.3Ti1.7P3O12,,Li1.3 Sc0.3 Ti1.7 P3 O12,0.000703,,,,,,,,,,,nasicon,10.1149/1.2086597,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1990,,,,,,0.000703,exact,0.000703,1.0,-3.153044674980176,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Sc"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}]",2.8497267759562845,3.44,1.7253968253968257,1.9192,-1.7146031746031742,-1.5208,2.46,105.14890710382512,138.2,42.19444444444444,35.614999999999995,-102.585,-96.00555555555555,0.25770622286541245,0.30531435922173983,6476268626363.936,28978758058.690765,18756820756469.164,23601261902873.867,647.2610288709033,18727841998410.473,0.1627229215057967,0.20117902924545197,0.0,0.27322404371584696,0.6557377049180327,0.07103825136612021,0.0,1.9047619047619049,nasicon,-0.5234929695735291,2.8110794592412742,9.817486338797814,258.6663114754098,-15.62230448078707,13342.054576502733,0.5873015873015872,79.80000000000001,39.317460317460316,0.8420953021316528,57817793569570.34,618798.9683999999,18.920751729438308
uaj,Li1.4Sc0.4Ti1.6P3O12,,Li1.4 Sc0.4 Ti1.6 P3 O12,0.000515,,,,,,,,,,,nasicon,10.1149/1.2086597,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1990,,,,,,0.000515,exact,0.000515,1.0,-3.288192770958809,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Sc"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}]",2.8385869565217394,3.44,1.7109375,1.9156000000000002,-1.7290625,-1.5243999999999998,2.46,105.05434782608697,138.2,42.90625,36.02,-102.17999999999998,-95.29374999999999,0.2606367583212736,0.31046490593342985,6439177141614.804,28978758058.690765,18458299110782.51,23591803515349.164,636.9596334459491,18429320352723.82,0.15995929484354757,0.20059974925159274,0.0,0.27173913043478265,0.6521739130434783,0.07608695652173914,0.0,1.875,nasicon,-0.536813226415521,2.804111910314678,10.515217391304347,258.4336956521739,-15.24312105299731,13309.85081521739,0.5625,79.87058823529412,38.84375,0.8731726364245316,58666965947061.11,614127.3496,18.811496925209813
