ID,True Composition,Z_by_element,χₐₗₗ,χ⁻,χ⁺(incl Li⁺),χ⁺(excl Li⁺),χ⁺(incl Li⁺) - χ⁻,χ⁺(excl Li⁺) - χ⁻,χₘₐₓ - χₘᵢₙ,rₐₗₗ (pm),r⁻ (pm),r⁺(incl Li⁺) (pm),r⁺(excl Li⁺) (pm),r⁺(excl Li⁺) - r⁻,r⁺(incl Li⁺) - r⁻,r⁺(excl Li⁺) / r⁻,r⁺(incl Li⁺) / r⁻,ρₐₗₗ (C m⁻³),ρ⁻ (C m⁻³),ρ⁺(incl Li⁺) (C m⁻³),ρ⁺(excl Li⁺) (C m⁻³),ρ⁺(incl Li⁺) / ρ⁻,ρ⁺(incl Li⁺) - ρ⁻,Φ⁺(incl Li⁺) (|Z| pm⁻¹),Φ⁺(excl Li⁺) (|Z| pm⁻¹),nₕₐₗᵢdₑ,nₕₒₛₜ cₐₜᵢₒₙ,nₐₙᵢₒₙ,n_Li,Ionic conductivity (S cm-1),conductivity_value,conductivity_qualifier,conductivity_used,sample_weight,log10_conductivity,r_ratio_x_chi_diff,log_rho_ratio,Li_channel_size,chi_range_x_r_avg,field_x_r_diff
skm,Li10.0Bi2.0O10.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Bi"", ""value"": 5.0}]",2.1818181818181817,3.44,1.1333333333333335,1.9,-2.306666666666666,-1.54,2.46,100.4090909090909,138.2,68.91666666666667,76.0,-62.19999999999999,-69.28333333333332,0.5499276410998554,0.4986734201640135,109298467189.18188,28978758058.690765,176231558131.2578,435615304993.695,6.081404792239043,147252800072.56705,0.0233105912930474,0.0657894736842105,0.0,0.0909090909090909,0.4545454545454545,0.4545454545454545,3.9e-09,3.9e-09,exact,3.9e-09,1.0,-8.4089353929735,-1.150273355844991,0.7840039120107324,62.818181818181806,247.00636363636363,-1.6150354667533005
o4u,Li91.2Ge19.2P4.8S96.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",1.8284090909090909,2.58,1.2020833333333332,2.046,-1.377916666666667,-0.5340000000000003,1.6,117.35227272727272,184.0,61.8125,40.2,-143.8,-122.1875,0.2184782608695652,0.3359375,1086753614285.4728,12278644599.949677,1982149422356.7424,9041768954029.035,161.43063725167727,1969870777756.7925,0.0384760506457011,0.128388746803069,0.0,0.1136363636363636,0.4545454545454546,0.4318181818181819,1.78e-06,1.78e-06,exact,1.78e-06,1.0,-5.749579997691106,-0.4628938802083334,2.2079859611584056,79.45454545454547,187.76363636363635,-4.7012924382716035
2yl,Li80.4Ge8.4P15.6S96.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",1.8838323353293407,2.58,1.2436781609195402,2.127,-1.33632183908046,-0.4529999999999998,1.6,118.4760479041916,184.0,58.22413793103448,27.15,-156.85,-125.77586206896552,0.1475543478260869,0.316435532233883,3151521274676.711,12278644599.949677,6038181164402.469,25849499455808.86,491.76284200189457,6025902519802.52,0.0623542259371403,0.2216112531969309,0.0,0.1197604790419161,0.4790419161676646,0.4011976047904191,0.00154,0.00154,exact,0.00154,1.0,-2.812479279163537,-0.4228597123851867,2.6917557100000913,73.82035928143712,189.5616766467066,-7.842656520886871
5qm,Li79.2Ge7.2P16.8S96.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",1.8903614457831328,2.58,1.2488372093023254,2.136,-1.3311627906976746,-0.4439999999999999,1.6,118.60843373493977,184.0,57.77906976744186,25.7,-158.3,-126.22093023255816,0.1396739130434782,0.3140166835187057,3394760302942.3457,12278644599.949677,6541254868842.249,27717025067117.73,532.7342782499835,6528976224242.3,0.065315860081815,0.2319693094629156,0.0,0.1204819277108433,0.4819277108433735,0.3975903614457832,0.00174,0.00174,exact,0.00174,1.0,-2.7594507517174,-0.41800732475838875,2.726510641924434,73.15662650602411,189.77349397590365,-8.244228618466302
3jh,Li78.0Ge6.0P18.0S96.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",1.8969696969696968,2.58,1.2541176470588236,2.145,-1.3258823529411763,-0.435,1.6,118.74242424242424,184.0,57.3235294117647,24.25,-159.75,-126.6764705882353,0.1317934782608695,0.3115409207161125,3640947683065.7456,12278644599.949677,7056165601621.789,29584550678426.6,574.6697482921453,7043886957021.84,0.068347179735776,0.2423273657289002,0.0,0.1212121212121212,0.4848484848484848,0.3939393939393939,0.0022,0.0022,exact,0.0022,1.0,-2.657577319177794,-0.4130666089965397,2.759418335648415,72.48484848484848,189.9878787878788,-8.65797950358786
j3x,Li76.8Ge4.8P19.2S96.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",1.9036585365853655,2.58,1.2595238095238093,2.1539999999999995,-1.3204761904761908,-0.4260000000000006,1.6,118.8780487804878,184.0,56.85714285714285,22.8,-161.2,-127.14285714285714,0.1239130434782608,0.3090062111801242,3890137348312.6006,12278644599.949677,7583336113753.222,31452076289735.47,617.6036819067392,7571057469153.272,0.0714506736672124,0.2526854219948849,0.0,0.1219512195121951,0.4878048780487805,0.3902439024390243,0.000555,0.000555,exact,0.000555,1.0,-3.2557070168773237,-0.40803534457261176,2.790709876425823,71.80487804878047,190.2048780487805,-9.084442794831292
b4c,Li8.0Si2.0S8.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""S"", ""value"": -2.0}]",1.7933333333333334,2.58,1.164,1.9,-1.416,-0.6800000000000002,1.6,115.44444444444444,184.0,60.6,33.0,-151.0,-123.4,0.1793478260869565,0.3293478260869565,533713371713.27313,12278644599.949677,950861153403.932,4256886531984.5776,77.44023745160186,938582508803.9822,0.036094276094276,0.1212121212121212,0.0,0.1111111111111111,0.4444444444444444,0.4444444444444444,1.59e-08,1.59e-08,exact,1.59e-08,1.0,-7.798602875679548,-0.4663565217391304,1.888966675960491,81.77777777777777,184.7111111111111,-4.454033670033659
dj2,Li81.6Si9.6P14.4S96.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",1.872142857142857,2.58,1.2286363636363635,2.074,-1.3513636363636363,-0.5060000000000002,1.6,117.72619047619048,184.0,57.477272727272734,23.4,-160.6,-126.52272727272728,0.1271739130434782,0.3123764822134388,3039045569280.478,12278644599.949677,5790651864444.596,25056061853776.4,471.60350780641767,5778373219844.646,0.0625740470660256,0.2249554367201426,0.0,0.119047619047619,0.4761904761904762,0.4047619047619047,0.000662,0.000662,exact,0.000662,1.0,-3.1791420105603,-0.4221342189184334,2.6735770267354035,74.47619047619047,188.36190476190478,-7.917039091285557
10u,Li76.8Si4.8P19.2S96.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",1.9009756097560973,2.58,1.2542857142857142,2.132,-1.3257142857142858,-0.4480000000000004,1.6,118.56097560975608,184.0,56.238095238095234,20.2,-163.8,-127.76190476190476,0.1097826086956521,0.3056418219461697,3955630519609.9424,12278644599.949677,7711203733905.175,31989120294373.67,628.0175039789635,7698925089305.226,0.0730818926897358,0.2595365418894831,0.0,0.1219512195121951,0.4878048780487805,0.3902439024390243,3.2e-06,3.2e-06,exact,3.2e-06,1.0,-5.494850021680094,-0.40519372966577927,2.7979717484753093,71.80487804878047,189.69756097560975,-9.337081813645769
s3r,Li8.0Al0.66Si0.66P0.66O8.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""P"", ""value"": 5.0}]",2.1758620689655173,3.44,1.1625250501002002,1.9000000000000004,-2.2774749498997995,-1.5399999999999996,2.46,95.05700778642937,138.2,60.47344689378757,32.083333333333336,-106.11666666666665,-77.72655310621242,0.2321514712976363,0.437579210519447,1695788586970.712,28978758058.690765,3031908690307.001,14779601141006.926,104.62521147961095,3002929932248.3105,0.0436319615619391,0.1600648777119365,0.0,0.1101223581757508,0.4449388209121245,0.4449388209121245,3.25e-06,3.25e-06,exact,3.25e-06,1.0,-5.488116639021126,-0.9965756905549713,2.019636348844425,61.4905450500556,233.84023915461623,-3.391361977472279
max,Li8.5Si1.5Al0.5O8.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}]",2.135405405405405,3.44,1.1414285714285717,1.8275,-2.2985714285714285,-1.6125,2.46,94.70135135135136,138.2,61.55952380952381,36.3125,-101.8875,-76.64047619047618,0.2627532561505065,0.4454379436289711,446164584590.7332,28978758058.690765,764020452424.6703,3482599438004.745,26.36484458296306,735041694365.9795,0.032397765731099,0.1071253071253071,0.0,0.1081081081081081,0.4324324324324324,0.4594594594594595,2.02e-08,2.02e-08,exact,2.02e-08,1.0,-7.694648630553377,-1.0238709304271636,1.4210252155703664,63.497297297297294,232.96532432432434,-2.482980193138918
k5y,Li7.5Si1.5P0.5O8.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""P"", ""value"": 5.0}]",2.218,3.44,1.1889473684210523,1.9725,-2.2510526315789474,-1.4675000000000002,2.46,95.42,138.2,59.39473684210526,29.0,-109.2,-78.80526315789473,0.2098408104196816,0.4297737832279686,1543480588321.294,28978758058.690765,2818850550647.697,12923209582731.17,97.27299371969876,2789871792589.006,0.0463145385746004,0.1644385026737967,0.0,0.1142857142857142,0.4571428571428571,0.4285714285714285,5.54e-07,5.54e-07,exact,5.54e-07,1.0,-6.2564902352715706,-0.9674434057189588,1.987992282133714,59.22857142857141,234.7332,-3.649829400407851
y2l,Li10.0Al2.0S8.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""S"", ""value"": -2.0}]",1.6830000000000005,2.58,1.0850000000000002,1.61,-1.495,-0.97,1.6,111.975,184.0,63.958333333333336,46.25,-137.75,-120.04166666666666,0.2513586956521739,0.3475996376811594,183062677825.8899,12278644599.949677,296918699976.5167,1159738156065.2483,24.181716276545185,284640055376.567,0.0231564898231564,0.0648648648648648,0.0,0.1,0.4,0.5,1.4e-09,1.4e-09,exact,1.4e-09,1.0,-8.853871964321762,-0.5196614583333333,1.3834871212965227,92.0,179.16,-2.779743632521399
gl0,Li8.4Si1.6Al0.4S8.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""S"", ""value"": -2.0}]",1.7693478260869566,2.58,1.1457692307692309,1.842,-1.4342307692307694,-0.738,1.6,114.69021739130436,184.0,61.37499999999999,35.650000000000006,-148.35,-122.625,0.19375,0.3335597826086956,457484959998.62463,12278644599.949677,799951356459.1437,3637456856800.712,65.14980948812723,787672711859.194,0.0331086331086331,0.1099426699426699,0.0,0.108695652173913,0.4347826086956522,0.4565217391304348,2.4e-08,2.4e-08,exact,2.4e-08,1.0,-7.619788758288394,-0.47840170359531775,1.8139131500812045,84.0,183.50434782608698,-4.059946134946134
wmr,Li8.8Si1.2Al0.8S8.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""S"", ""value"": -2.0}]",1.7463829787234042,2.58,1.1288888888888888,1.784,-1.4511111111111112,-0.796,1.6,113.96808510638296,184.0,62.09259259259259,38.3,-145.7,-121.90740740740742,0.2081521739130434,0.3374597423510467,384500310484.59937,12278644599.949677,660220062991.7473,3018027181616.846,53.76978359602112,647941418391.7976,0.0303441488626673,0.0986732186732186,0.0,0.1063829787234042,0.425531914893617,0.4680851063829787,3.05e-08,3.05e-08,exact,3.05e-08,1.0,-7.515700160653214,-0.4896915816782967,1.73053828860204,86.12765957446808,182.34893617021274,-3.699176517832201
xxq,Li9.2Si0.8Al1.2S8.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""S"", ""value"": -2.0}]",1.7243750000000002,2.58,1.1132142857142855,1.726,-1.4667857142857144,-0.8540000000000001,1.6,113.27604166666669,184.0,62.75892857142858,40.95,-143.05,-121.24107142857142,0.2225543478260869,0.3410811335403726,314556688033.6586,12278644599.949677,530469576200.5936,2398597506432.98,43.20261669620828,518190931600.6439,0.0277771277771277,0.0874037674037674,0.0,0.1041666666666666,0.4166666666666667,0.4791666666666666,1.46e-08,1.46e-08,exact,1.46e-08,1.0,-7.835647144215563,-0.5002929340893966,1.6355100519609338,88.16666666666664,181.2416666666667,-3.367728732907295
h8o,Li9.6Si0.4Al1.6S8.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""S"", ""value"": -2.0}]",1.703265306122449,2.58,1.0986206896551725,1.668,-1.4813793103448276,-0.912,1.6,112.61224489795916,184.0,63.3793103448276,43.6,-140.4,-120.6206896551724,0.2369565217391304,0.3444527736131934,247467907315.40924,12278644599.949677,409667398843.3125,1779167831249.1145,33.364219927417025,397388754243.3628,0.0253871426285219,0.0761343161343161,0.0,0.1020408163265306,0.4081632653061224,0.4897959183673468,2.29e-07,2.29e-07,exact,2.29e-07,1.0,-6.640164517660112,-0.5102652122214755,1.5232809752776435,90.12244897959181,180.17959183673466,-3.0622146522265377
de5,Li6.0In2.0Cl12.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""In"", ""value"": 3.0}, {""element"": ""Cl"", ""value"": -1.0}]",2.368,3.16,1.18,1.78,-1.98,-1.38,2.18,136.85,181.0,70.625,80.0,-101.0,-110.375,0.4419889502762431,0.3901933701657458,63585391045.03652,6449680150.445432,149288957386.92316,224091403271.3816,23.146722613308643,142839277236.47772,0.0204861111111111,0.0375,0.6,0.1,0.0,0.3,0.00204,0.00204,exact,0.00204,1.0,-2.6903698325741012,-0.7725828729281766,1.3644895071588188,54.3,298.333,-2.2611545138888878
cfy,Li4.0P4.0S12.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",2.182,2.58,1.585,2.19,-0.995,-0.3900000000000001,1.6,127.3,184.0,42.25,17.0,-167.0,-141.75,0.092391304347826,0.2296195652173913,7816673895505.914,12278644599.949677,19523266771864.86,38922178734970.95,1590.0180686022034,19510988127264.91,0.1544662309368192,0.2941176470588235,0.0,0.2,0.6,0.2,1e-10,1e-10,exact,1e-10,1.0,-10.0,-0.22847146739130433,3.201402059571801,36.800000000000004,203.68,-21.89558823529412
na5,Li6.0Mo16.0S16.0O80.0H94.0W2.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Mo"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}, {""element"": ""H"", ""value"": 1.0}, {""element"": ""W"", ""value"": 6.0}]",2.650093457943925,3.296666666666667,1.8266666666666669,2.108888888888889,-1.47,-1.1877777777777778,2.46,71.78971962616822,145.83333333333334,56.79166666666666,53.22222222222222,-92.61111111111111,-89.04166666666669,0.3649523809523809,0.3894285714285714,124770849581.90608,26195405815.56725,1007758452176.3934,1302226333315.601,38.47080893770727,981563046360.8262,0.0758129212224869,0.0961456233583776,0.0,0.0841121495327102,0.4485981308411215,0.02803738317757,3.8e-07,3.8e-07,exact,3.8e-07,1.0,-6.42021640338319,-0.57246,1.5851313184484535,4.088785046728958,176.60271028037383,-6.750508860518939
pe2,Li17.0Sb13.0S28.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Sb"", ""value"": 3.0}, {""element"": ""S"", ""value"": -2.0}]",1.992241379310345,2.5800000000000005,1.4436666666666669,2.05,-1.136333333333334,-0.5300000000000007,1.6,125.94540229885057,184.0,71.7611111111111,77.33333333333333,-106.66666666666669,-112.2388888888889,0.4202898550724637,0.3900060386473429,97980994145.39894,12278644599.949677,177969853721.15158,248081835595.03476,14.494258895797095,165691209121.2019,0.0252054065559812,0.0387931034482758,0.0,0.2241379310344827,0.4827586206896552,0.293103448275862,1.05e-09,1.05e-09,exact,1.05e-09,1.0,-8.978810700930062,-0.44317686191626426,1.1611960143999418,53.931034482758605,201.5126436781609,-2.8290268258360456
opo,Li4.8Sn4.8S12.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Sn"", ""value"": 4.0}, {""element"": ""S"", ""value"": -2.0}]",2.0866666666666664,2.58,1.47,1.96,-1.11,-0.6200000000000001,1.6,132.55555555555554,184.0,68.25000000000001,69.0,-115.0,-115.75,0.375,0.3709239130434783,137940085739.35696,12278644599.949677,295016887163.6161,465678965568.46185,24.02682843062541,282738242563.6664,0.0363929146537842,0.0579710144927536,0.0,0.2222222222222222,0.5555555555555555,0.2222222222222222,0.00012,0.00012,exact,0.00012,1.0,-3.9208187539523753,-0.41172554347826096,1.3806964472090921,40.888888888888886,212.08888888888887,-4.212479871175521
elz,Li6.0Y2.0Br12.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Y"", ""value"": 3.0}, {""element"": ""Br"", ""value"": -1.0}]",2.192,2.9599999999999995,1.04,1.22,-1.9199999999999997,-1.7399999999999995,1.98,147.445,196.0,74.6125,95.95,-100.05,-121.3875,0.4895408163265305,0.3806760204081632,53342571951.02763,5079321332.016004,125737447879.54507,129885365241.86926,24.75477325819025,120658126547.52908,0.0189276822419084,0.0312662845231891,0.6,0.1,0.0,0.3,0.00192,0.00192,exact,0.00192,1.0,-2.7166987712964503,-0.7308979591836732,1.3936589527572718,58.8,291.9411,-2.297584028139656
lkm,Li24.0Ge8.0O28.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""O"", ""value"": -2.0}]",2.265333333333333,3.44,1.2374999999999998,2.01,-2.2025,-1.4300000000000002,2.46,97.62666666666664,138.2,62.125,46.0,-92.2,-76.07499999999999,0.3328509406657019,0.4495296671490594,272820878436.705,28978758058.690765,486182733767.4674,1571666508793.5586,16.777210837772966,457203975708.7766,0.0328502415458937,0.0869565217391304,0.0,0.1333333333333333,0.4666666666666667,0.4,8.5e-07,8.5e-07,exact,8.5e-07,1.0,-6.070581074285707,-0.9900890918958034,1.2247197623062827,55.28,240.16159999999994,-2.499082125603863
