ID,True Composition,Z_by_element,n_Li,χ⁻,χ⁺(excl Li⁺),r⁺(excl Li⁺) (pm),r⁻ (pm),nₕₒₛₜ cₐₜᵢₒₙ,ρ⁺(excl Li⁺) (C m⁻³),Φ⁺(excl Li⁺) (|Z| pm⁻¹),Ionic conductivity (S cm-1),conductivity_value,conductivity_qualifier,conductivity_used,sample_weight,log10_conductivity
x9d,Li24.5P3.5Si0.5S20.0Br4.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""Br"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4666666666666667,2.643333333333333,2.15375,19.0,186.0,0.0761904761904762,34589017209597.65,0.2725044563279857,0.000902,0.000902,exact,0.000902,1.0,-3.0447934624580584
3zo,Li24.9P3.1Si0.9S20.0Br4.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""Br"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4706994328922495,2.643333333333333,2.12475,20.6,186.0,0.0756143667296786,31122487989299.016,0.2552139037433155,0.00108,0.00108,exact,0.00108,1.0,-2.96657624451305
10s,Li25.4P2.6Si1.4S20.0Br4.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""Br"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4756554307116105,2.643333333333333,2.0885,22.6,186.0,0.0749063670411985,26789326463925.72,0.2336007130124777,0.00234,0.00234,exact,0.00234,1.0,-2.630784142589857
fkj,Li26.0P2.0Si2.0S20.0Br4.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""Br"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4814814814814814,2.643333333333333,2.045,25.0,186.0,0.074074074074074,21589532633477.76,0.2076648841354723,0.00219,0.00219,exact,0.00219,1.0,-2.6595558851598815
nig,Li24.0P4.0S20.0Br4.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Br"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4615384615384615,2.643333333333333,2.19,17.0,186.0,0.0769230769230769,38922178734970.95,0.2941176470588235,0.00277,0.00277,exact,0.00277,1.0,-2.5575202309355514
z16,Li24.0P4.0S19.6Se0.4Br4.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Br"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}, {""element"": ""Se"", ""value"": -2.0}]",0.4615384615384615,2.642833333333334,2.19,17.0,186.2333333333333,0.0769230769230769,38922178734970.95,0.2941176470588235,0.0032,0.0032,exact,0.0032,1.0,-2.494850021680094
hbz,Li24.0P4.0S19.2Se0.8Br4.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Br"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}, {""element"": ""Se"", ""value"": -2.0}]",0.4615384615384615,2.642333333333333,2.19,17.0,186.46666666666667,0.0769230769230769,38922178734970.95,0.2941176470588235,0.00392,0.00392,exact,0.00392,1.0,-2.406713932979543
uut,Li24.0P4.0S18.8Se1.2Br4.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Br"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}, {""element"": ""Se"", ""value"": -2.0}]",0.4615384615384615,2.641833333333334,2.19,17.0,186.7,0.0769230769230769,38922178734970.95,0.2941176470588235,0.00362,0.00362,exact,0.00362,1.0,-2.441291429466834
cju,Li24.0P4.0S18.4Se1.6Br4.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Br"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}, {""element"": ""Se"", ""value"": -2.0}]",0.4615384615384615,2.6413333333333333,2.19,17.0,186.9333333333333,0.0769230769230769,38922178734970.95,0.2941176470588235,0.00364,0.00364,exact,0.00364,1.0,-2.438898616350944
1kq,Li24.0P4.0S17.2Se2.8Br4.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Br"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}, {""element"": ""Se"", ""value"": -2.0}]",0.4615384615384615,2.6398333333333333,2.19,17.0,187.63333333333333,0.0769230769230769,38922178734970.95,0.2941176470588235,0.00301,0.00301,exact,0.00301,1.0,-2.5214335044061564
w87,Li24.0P4.0S20.0Br4.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Br"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4615384615384615,2.643333333333333,2.19,17.0,186.0,0.0769230769230769,38922178734970.95,0.2941176470588235,3.2e-05,3.2e-05,exact,3.2e-05,1.0,-4.494850021680094
97p,Li24.0P4.0S20.0Cl4.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Cl"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4615384615384615,2.676666666666667,2.19,17.0,183.5,0.0769230769230769,38922178734970.95,0.2941176470588235,3.3e-05,3.3e-05,exact,3.3e-05,1.0,-4.481486060122112
p9u,Li24.0P4.0S20.0I4.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""I"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4615384615384615,2.5933333333333333,2.19,17.0,190.0,0.0769230769230769,38922178734970.95,0.2941176470588235,0.00022,0.00022,exact,0.00022,1.0,-3.657577319177794
5wz,Li24.0P4.0S20.0I4.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""I"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4615384615384615,2.5933333333333333,2.19,17.0,190.0,0.0769230769230769,38922178734970.95,0.2941176470588235,1.26e-06,1.26e-06,exact,1.26e-06,1.0,-5.8996294548824375
t17,Li24.6P3.4Ge0.6S20.0I4.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""I"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.467680608365019,2.5933333333333333,2.163,21.35,190.0,0.0760456273764258,33319601901044.336,0.2630434782608695,3.93e-05,3.93e-05,exact,3.93e-05,1.0,-4.405607449624573
pa1,Li26.4P1.6Ge2.4S20.0I4.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""I"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4852941176470588,2.5933333333333333,2.082,34.4,190.0,0.0735294117647058,16511871399264.514,0.1698209718670076,0.00521,0.00521,exact,0.00521,1.0,-2.2831622767004753
lxk,Li26.8P1.2Ge2.8S20.0I4.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""I"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4890510948905109,2.5933333333333333,2.064,37.3,190.0,0.072992700729927,12776820176646.771,0.1491048593350383,0.00554,0.00554,exact,0.00554,1.0,-2.25649023527157
1m8,Li27.2P0.8Ge3.2S20.0I4.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""I"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4927536231884057,2.5933333333333333,2.046,40.2,190.0,0.072463768115942,9041768954029.035,0.128388746803069,0.00258,0.00258,exact,0.00258,1.0,-2.58838029403677
ij5,Li24.0P4.0S20.0Cl2.0Br2.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Cl"", ""value"": -1.0}, {""element"": ""Br"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4615384615384615,2.66,2.19,17.0,184.75,0.0769230769230769,38922178734970.95,0.2941176470588235,0.00333,0.00333,exact,0.00333,1.0,-2.4775557664936803
ywe,Li24.0P4.0S20.0I4.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""I"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4615384615384615,2.5933333333333333,2.19,17.0,190.0,0.0769230769230769,38922178734970.95,0.2941176470588235,1.3e-06,1.3e-06,exact,1.3e-06,1.0,-5.886056647693163
bnh,Li24.4P3.8Si0.4S20.0Br4.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""Br"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4638783269961977,2.643333333333333,2.162380952380952,18.52380952380952,186.0,0.0798479087452471,35620722334686.53,0.2776504541210424,0.000799,0.000799,exact,0.000799,1.0,-3.097453220686009
vj7,Li25.0P3.0Si1.0S20.0Br4.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""Br"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4716981132075472,2.643333333333333,2.1175,21.0,186.0,0.0754716981132075,30255855684224.355,0.2508912655971479,0.00141,0.00141,exact,0.00141,1.0,-2.85078088734462
24k,Li28.0Ge12.0P4.0S48.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.3043478260869565,2.58,2.055,38.75,184.0,0.1739130434782608,10909294565337.906,0.1387468030690537,0.00011,0.00011,exact,0.00011,1.0,-3.958607314841775
d9l,Li24.0P4.0S18.0Se2.0Br4.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Br"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}, {""element"": ""Se"", ""value"": -2.0}]",0.4615384615384615,2.640833333333333,2.19,17.0,187.16666666666663,0.0769230769230769,38922178734970.95,0.2941176470588235,0.00268,0.00268,exact,0.00268,1.0,-2.571865205971211
t2c,Li24.0P4.0S16.4Se3.6Br4.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Br"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}, {""element"": ""Se"", ""value"": -2.0}]",0.4615384615384615,2.638833333333333,2.19,17.0,188.1,0.0769230769230769,38922178734970.95,0.2941176470588235,0.00382,0.00382,exact,0.00382,1.0,-2.417936637088291
dlj,Li24.0P4.0S16.0Se4.0Br4.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Br"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}, {""element"": ""Se"", ""value"": -2.0}]",0.4615384615384615,2.6383333333333336,2.19,17.0,188.3333333333333,0.0769230769230769,38922178734970.95,0.2941176470588235,0.00361,0.00361,exact,0.00361,1.0,-2.4424927980943423
5qw,Li25.6P2.4Ge1.6S20.0I4.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""I"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4776119402985074,2.5933333333333333,2.118,28.6,190.0,0.0746268656716417,23981973844499.99,0.2112531969309463,0.0015,0.0015,exact,0.0015,1.0,-2.8239087409443187
znj,Li26.0P2.0Ge2.0S20.0I4.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""I"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4814814814814814,2.5933333333333333,2.1,31.5,190.0,0.074074074074074,20246922621882.25,0.1905370843989769,0.00186,0.00186,exact,0.00186,1.0,-2.7304870557820835
xnb,Li20.0P4.0S16.0B8.0H32.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""B"", ""value"": 3.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}, {""element"": ""H"", ""value"": -1.0}]",0.25,2.3266666666666667,2.09,9.666666666666666,154.66666666666666,0.15,367093807957790.8,0.4313725490196078,0.0018,0.0018,exact,0.0018,1.0,-2.744727494896694
ga9,Li8.0Ce8.0B24.0H96.0Cl8.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""B"", ""value"": 3.0}, {""element"": ""Cl"", ""value"": -1.0}, {""element"": ""Ce"", ""value"": 3.0}, {""element"": ""H"", ""value"": -1.0}]",0.0555555555555555,2.273846153846154,1.81,33.704166666666666,143.15384615384616,0.2222222222222222,398402710637739.5,0.3814203167356256,0.000103,0.000103,exact,0.000103,1.0,-3.987162775294828
